
[00:00:00.000 --> 00:00:03.000]  各位兄弟姐妹 各位嘉賓 親友
[00:00:03.000 --> 00:00:06.000]  很歡迎你們今天來到崇拜
[00:00:06.000 --> 00:00:08.000]  母親節快樂
[00:00:08.000 --> 00:00:12.000]  來到是否很快樂
[00:00:12.000 --> 00:00:14.000]  今天出門的時候是否很快樂
[00:00:14.000 --> 00:00:16.000]  為甚麼
[00:00:16.000 --> 00:00:18.000]  因為回到崇拜
[00:00:18.000 --> 00:00:21.000]  因為今天可以回到崇拜就快樂
[00:00:21.000 --> 00:00:24.000]  如果你出門的時候悠悠愁愁
[00:00:24.000 --> 00:00:29.000]  你家人很難被你吸引信耶穌
[00:00:29.000 --> 00:00:33.000]  每一次教會有些電影姊妹
[00:00:33.000 --> 00:00:35.000]  有一次姊妹感恩祈禱
[00:00:35.000 --> 00:00:38.000]  她說 律師真的要感恩
[00:00:38.000 --> 00:00:41.000]  因為今早我不記得起床
[00:00:41.000 --> 00:00:43.000]  我媽媽 她媽媽是微信主
[00:00:43.000 --> 00:00:45.000]  她媽媽催我起床
[00:00:45.000 --> 00:00:47.000]  快點起床 回教會
[00:00:47.000 --> 00:00:49.000]  她說很感恩
[00:00:49.000 --> 00:00:51.000]  我聽完之後 有一點感恩
[00:00:51.000 --> 00:00:54.000]  不過有一點不是很感恩
[00:00:54.000 --> 00:00:57.000]  因為你自己都不著緊
[00:00:57.000 --> 00:00:59.000]  你媽媽都未信
[00:00:59.000 --> 00:01:01.000]  反而她還著緊你
[00:01:01.000 --> 00:01:03.000]  叫你回教會
[00:01:03.000 --> 00:01:05.000]  每一次出門的時候
[00:01:05.000 --> 00:01:07.000]  應該是很開心地出門
[00:01:07.000 --> 00:01:09.000]  因為你可以跟我們弟兄姊妹
[00:01:09.000 --> 00:01:11.000]  一起去敬拜神
[00:01:11.000 --> 00:01:13.000]  家人就覺得很奇怪
[00:01:13.000 --> 00:01:16.000]  為甚麼逢禮拜日早上
[00:01:16.000 --> 00:01:19.000]  我的子女或者你的家人
[00:01:19.000 --> 00:01:21.000]  為甚麼他們是這麼開心
[00:01:21.000 --> 00:01:24.000]  這麼踴躍 這麼熱切地出去崇拜
[00:01:24.000 --> 00:01:27.000]  有點古怪
[00:01:27.000 --> 00:01:28.000]  然後怎樣
[00:01:28.000 --> 00:01:30.000]  就跟過來看看
[00:01:30.000 --> 00:01:33.000]  今天我們中間都有一些親友嘉賓
[00:01:33.000 --> 00:01:35.000]  在我們當中
[00:01:35.000 --> 00:01:37.000]  你都要去感恩 你都要快樂
[00:01:37.000 --> 00:01:39.000]  為甚麼
[00:01:39.000 --> 00:01:42.000]  因為今天帶你來的弟兄姊妹
[00:01:42.000 --> 00:01:44.000]  你的家人或者你朋友
[00:01:44.000 --> 00:01:46.000]  我多肯定
[00:01:46.000 --> 00:01:48.000]  他們多愛你
[00:01:48.000 --> 00:01:50.000]  因為如果他們不愛你
[00:01:50.000 --> 00:01:53.000]  今天就不會帶你回來崇拜了
[00:01:53.000 --> 00:01:55.000]  好像我當日信耶穌的時候
[00:01:55.000 --> 00:01:57.000]  信主之後我就想
[00:01:57.000 --> 00:02:00.000]  我要跟我媽媽傳福音
[00:02:00.000 --> 00:02:02.000]  因為聖經教導
[00:02:02.000 --> 00:02:05.000]  當你得著了一個這麼好的救恩之後
[00:02:05.000 --> 00:02:07.000]  你不要自己藏起來
[00:02:07.000 --> 00:02:10.000]  自己享受這份平安和喜樂
[00:02:10.000 --> 00:02:13.000]  你要將它告訴身邊你愛的人知道
[00:02:13.000 --> 00:02:16.000]  我第一個想起就是我媽媽
[00:02:16.000 --> 00:02:18.000]  用盡各人的方法
[00:02:18.000 --> 00:02:20.000]  經常叫她回來教會
[00:02:20.000 --> 00:02:22.000]  聽聽 認識一下
[00:02:22.000 --> 00:02:23.000]  不過我第一個想起
[00:02:23.000 --> 00:02:25.000]  我不想跟她傳福音
[00:02:25.000 --> 00:02:27.000]  我不帶她回教會
[00:02:27.000 --> 00:02:28.000]  我立志
[00:02:28.000 --> 00:02:29.000]  我們經常都可以立志
[00:02:29.000 --> 00:02:32.000]  我立志不帶這個人回教會
[00:02:32.000 --> 00:02:34.000]  這個就是我爸爸
[00:02:34.000 --> 00:02:37.000]  我爸爸不配得上信耶穌
[00:02:37.000 --> 00:02:40.000]  因為我覺得我爸爸很兇
[00:02:40.000 --> 00:02:42.000]  很壞
[00:02:42.000 --> 00:02:44.000]  他經常打我們
[00:02:44.000 --> 00:02:46.000]  動不動就拔皮帶出來罰
[00:02:46.000 --> 00:02:48.000]  我家裡有四條柱
[00:02:48.000 --> 00:02:49.000]  好像這裡這樣
[00:02:49.000 --> 00:02:51.000]  不過當然全部縮小了
[00:02:51.000 --> 00:02:53.000]  很小而已
[00:02:53.000 --> 00:02:55.000]  不過都有四條柱
[00:02:55.000 --> 00:02:58.000]  我姐姐弟弟每人一條
[00:02:58.000 --> 00:02:59.000]  每一次我爸爸打
[00:02:59.000 --> 00:03:02.000]  跪下我們就跪在自己那條柱
[00:03:02.000 --> 00:03:03.000]  不會過界
[00:03:03.000 --> 00:03:04.000]  跪在自己那條柱
[00:03:04.000 --> 00:03:07.000]  然後我爸爸就拿皮帶出來罰
[00:03:07.000 --> 00:03:09.000]  真是心裡想
[00:03:09.000 --> 00:03:11.000]  我長大之後
[00:03:11.000 --> 00:03:12.000]  當時想的
[00:03:12.000 --> 00:03:13.000]  我沒做過
[00:03:13.000 --> 00:03:15.000]  我長大之後
[00:03:15.000 --> 00:03:17.000]  我打在你那條柱上
[00:03:17.000 --> 00:03:19.000]  要你跪在那條柱上
[00:03:19.000 --> 00:03:20.000]  打在你那條柱上
[00:03:20.000 --> 00:03:22.000]  當信耶穌之後
[00:03:22.000 --> 00:03:24.000]  很想把這個好消息
[00:03:24.000 --> 00:03:26.000]  告訴我所愛的人
[00:03:26.000 --> 00:03:28.000]  我媽媽就是我愛的人
[00:03:28.000 --> 00:03:29.000]  我爸爸呢
[00:03:29.000 --> 00:03:30.000]  我不愛他
[00:03:30.000 --> 00:03:33.000]  立志不會和他傳福音的
[00:03:33.000 --> 00:03:35.000]  我和我弟弟傳福音
[00:03:35.000 --> 00:03:37.000]  我姐姐當時已經信耶穌了
[00:03:37.000 --> 00:03:40.000]  我們是帶家人信主
[00:03:40.000 --> 00:03:41.000]  所以
[00:03:41.000 --> 00:03:43.000]  不過要補充
[00:03:43.000 --> 00:03:46.000]  我爸媽都已經信主了
[00:03:46.000 --> 00:03:47.000]  不是你說
[00:03:47.000 --> 00:03:50.000]  穆斯文你這樣想的
[00:03:50.000 --> 00:03:51.000]  全部都信了
[00:03:51.000 --> 00:03:52.000]  很感恩的
[00:03:52.000 --> 00:03:53.000]  但是呢
[00:03:53.000 --> 00:03:54.000]  所以我很感恩
[00:03:54.000 --> 00:03:55.000]  為你快樂
[00:03:55.000 --> 00:03:57.000]  就是因為我知道
[00:03:57.000 --> 00:03:59.000]  今天帶你來的親友
[00:03:59.000 --> 00:04:01.000]  他很愛你
[00:04:01.000 --> 00:04:03.000]  他很想你都得著
[00:04:03.000 --> 00:04:04.000]  這麼好的救恩
[00:04:04.000 --> 00:04:06.000]  這麼好的禮物
[00:04:06.000 --> 00:04:08.000]  就是耶穌基督的愛
[00:04:08.000 --> 00:04:11.000]  他在太書四章第二十節那裡說
