
[00:00:00.000 --> 00:00:02.760]  月頭小弟的講道
[00:00:02.760 --> 00:00:05.820]  都講到耶穌基督在世界上
[00:00:05.820 --> 00:00:09.140]  如果祂所有的教導是一本書的話
[00:00:09.140 --> 00:00:12.320]  「天國近了,你們應當悔改」
[00:00:12.320 --> 00:00:15.260]  這一句話就是一個罪言
[00:00:15.260 --> 00:00:20.120]  就是說整本書裡面第一頁所講的東西
[00:00:20.120 --> 00:00:22.980]  其實整本書講的是什麼呢
[00:00:22.980 --> 00:00:25.340]  所以其實耶穌基督說
[00:00:25.340 --> 00:00:27.860]  「天國近了,你們應當悔改」
[00:00:27.860 --> 00:00:30.440]  看這本書的罪,換言之
[00:00:30.440 --> 00:00:33.340]  如果你要繼續看這本書
[00:00:33.340 --> 00:00:35.460]  繼續看下去的話
[00:00:35.460 --> 00:00:37.240]  「天國」是什麼呢
[00:00:37.240 --> 00:00:39.420]  你現在要做的
[00:00:39.420 --> 00:00:43.080]  和預了要做的,就是什麼
[00:00:43.080 --> 00:00:45.440]  就是悔改
[00:00:45.440 --> 00:00:48.300]  你看這本書
[00:00:48.300 --> 00:00:50.940]  第一句「天國近了,你們應當悔改」
[00:00:50.940 --> 00:00:53.100]  你想繼續看下去的
[00:00:53.100 --> 00:00:55.380]  這個罪言講了要悔改
[00:00:55.380 --> 00:00:58.060]  我們繼續看下去的時候
[00:00:58.060 --> 00:01:01.220]  我們就要開始和預了要悔改
[00:01:01.220 --> 00:01:03.780]  而在《新約聖經》裡面講悔改是什麼呢
[00:01:03.780 --> 00:01:08.180]  「心」的改變,非常好
[00:01:08.180 --> 00:01:09.920]  待會給你一顆糖
[00:01:09.920 --> 00:01:10.920]  OK
[00:01:10.920 --> 00:01:12.920]  就是說
[00:01:12.920 --> 00:01:15.400]  悔改在《新約聖經》裡面
[00:01:15.400 --> 00:01:16.940]  由兩個字組成
[00:01:16.940 --> 00:01:19.840]  第一就是說改變或者轉變
[00:01:19.840 --> 00:01:21.580]  第二就是「心」
[00:01:21.580 --> 00:01:23.220]  所以當我們說悔改
[00:01:23.220 --> 00:01:25.200]  「天國近了,你們應當悔改」
[00:01:25.200 --> 00:01:26.260]  我們可以這麼說
[00:01:26.260 --> 00:01:31.660]  「天國近了,你們應該改變、轉變你的心」
