
[00:00:00.000 --> 00:00:01.740]  等待節目早晨
[00:00:01.740 --> 00:00:04.580]  很感謝主今天又可以來到大家當中
[00:00:04.580 --> 00:00:06.420]  或者回到自己的禮拜堂
[00:00:06.420 --> 00:00:10.380]  回到自己的聖堂去崇拜上帝
[00:00:10.380 --> 00:00:15.580]  也在這裡有機會跟大家分享上主的聖道
[00:00:15.580 --> 00:00:19.720]  今天是張琳琦的第二個主日
[00:00:19.720 --> 00:00:22.120]  張琳琦在教會的年曆裏面
[00:00:22.120 --> 00:00:24.560]  是相當重要的一個節期
[00:00:24.560 --> 00:00:29.300]  因為這是教會年曆裏面第一個的節期
[00:00:29.300 --> 00:00:36.240]  在張琳琦裏面普世教會不單止是在準備耶穌基督的誕生
[00:00:36.240 --> 00:00:40.640]  也是在期待基督的第二次再臨
[00:00:40.640 --> 00:00:43.780]  所以張琳琦一方面是準備期
[00:00:43.780 --> 00:00:47.540]  另一方面也是等待期
[00:00:47.540 --> 00:00:50.620]  是非常有意思的一個節期
[00:00:50.620 --> 00:00:54.660]  在這個主日裏面我們讀到馬太福第三章
[00:00:54.660 --> 00:00:56.620]  一至十二節
[00:00:56.620 --> 00:00:59.700]  我們要透過這一段經文去聆聽上主
[00:00:59.700 --> 00:01:02.300]  透過施洗約翰的事跡
[00:01:02.300 --> 00:01:05.440]  透過他一些所做的和所說的
[00:01:05.440 --> 00:01:10.900]  來看看上帝到底對我們有什麼說話要講
[00:01:10.900 --> 00:01:15.740]  我們要看看施洗約翰這位具有超凡勇氣
[00:01:15.740 --> 00:01:18.520]  並且很大膽的見證人
[00:01:18.520 --> 00:01:21.820]  是怎樣在人生的高低起跌裏面
[00:01:21.820 --> 00:01:26.480]  始終堅守作為見證人的本分
[00:01:26.480 --> 00:01:31.020]  始終他是不忘記信仰的初心
[00:01:31.020 --> 00:01:33.820]  我相信在這裡的弟兄姊妹有不少
[00:01:33.820 --> 00:01:35.660]  可能是大學老師
[00:01:35.660 --> 00:01:36.900]  可能是研究生
[00:01:36.900 --> 00:01:38.340]  可能是大學生
[00:01:38.340 --> 00:01:40.900]  或者已經是大學畢業生
[00:01:40.900 --> 00:01:45.380]  即使未是或者不是人生大贏家
[00:01:45.380 --> 00:01:48.880]  都應該可能是社會裏面很重要的人
[00:01:48.880 --> 00:01:51.540]  或者在社會裏面算是精英
[00:01:51.540 --> 00:01:54.220]  或者在社會裏面是中上階層的人
[00:01:54.220 --> 00:01:57.380]  或者是準中上階層的人
[00:01:57.380 --> 00:01:59.020]  對於我們這群人來說
