
[00:00:00.000 --> 00:00:04.000]  頂尖我們再一次祈禱
[00:00:04.000 --> 00:00:13.000]  主啊,但願我們不是不敬虔的人
[00:00:13.000 --> 00:00:17.000]  但願我們不是隨己而行的人
[00:00:17.000 --> 00:00:20.000]  但願我們都是跟隨祢
[00:00:20.000 --> 00:00:26.000]  真是願意在祢的真道上去建立自己
[00:00:26.000 --> 00:00:30.000]  願意去持守去仰望
[00:00:30.000 --> 00:00:32.000]  一路依靠著祢
[00:00:32.000 --> 00:00:36.000]  幫助我們今天我們打開神的話語的時候
[00:00:36.000 --> 00:00:38.000]  求聖靈指教我們
[00:00:38.000 --> 00:00:41.000]  特別我們讀到難明的意象
[00:00:41.000 --> 00:00:44.000]  給我們有崇靈的眼睛
[00:00:44.000 --> 00:00:47.000]  去看見祢要我們看的真理的訊息
[00:00:47.000 --> 00:00:48.000]  多謝主
[00:00:48.000 --> 00:00:51.000]  祈禱奉主耶穌基督得聖命之祈求
[00:00:51.000 --> 00:00:52.000]  阿們
[00:00:56.000 --> 00:01:00.000]  少許說,黑暗近了
[00:01:00.000 --> 00:01:05.000]  多些說,我們的神永遠掌權
[00:01:05.000 --> 00:01:08.000]  但以你書踏入第七章開始
[00:01:08.000 --> 00:01:12.000]  好像由前面的故事書搖身一變
[00:01:12.000 --> 00:01:14.000]  變成一本預言書
[00:01:14.000 --> 00:01:18.000]  因為當中由第七章開始講很多的意象
[00:01:18.000 --> 00:01:21.000]  意象的英文你都認識的
[00:01:21.000 --> 00:01:22.000]  Vision
[00:01:22.000 --> 00:01:24.000]  什麼是Vision呢
[00:01:24.000 --> 00:01:27.000]  大概在你的公司裡若果有些規模的話
[00:01:27.000 --> 00:01:30.000]  你的公司會有一些叫做VMV
[00:01:30.000 --> 00:01:33.000]  Vision, Mission, Values的東西
[00:01:33.000 --> 00:01:37.000]  願景,使命,價值觀
[00:01:37.000 --> 00:01:40.000]  但以你書裡面的Vision
[00:01:40.000 --> 00:01:44.000]  就是有這個願景,遠景的含義
[00:01:44.000 --> 00:01:47.000]  表達一個得到意象Vision的人
[00:01:47.000 --> 00:01:51.000]  是能夠看見一些遙遠的事物
[00:01:51.000 --> 00:01:54.000]  是和現在不同的景象
[00:01:54.000 --> 00:01:58.000]  也都知道將來要進入的境界
[00:01:58.000 --> 00:02:00.000]  神的子民有這些的Vision
[00:02:00.000 --> 00:02:03.000]  願象,願景
[00:02:03.000 --> 00:02:05.000]  就不會偏離
[00:02:05.000 --> 00:02:09.000]  你一直仰望著這個目標,方向
[00:02:09.000 --> 00:02:11.000]  你就不會走差
[00:02:11.000 --> 00:02:15.000]  我們在先前幾次的講道當中講過
[00:02:15.000 --> 00:02:19.000]  當神的子民活在一個身不由己的大時代底下
[00:02:19.000 --> 00:02:22.000]  但以你書有一個生存的模式
