
[00:00:00.000 --> 00:00:05.000]  我不知道你帶著什麼心情來參加今天的崇拜
[00:00:05.000 --> 00:00:07.000]  我帶著一個很興奮的心情
[00:00:07.000 --> 00:00:09.000]  因為我可以和你分享以下的訊息
[00:00:09.000 --> 00:00:13.000]  所以我們求神都去打開我們的心
[00:00:13.000 --> 00:00:15.000]  讓我們一個渴慕
[00:00:15.000 --> 00:00:17.000]  讓我們來到神的面前的時候
[00:00:17.000 --> 00:00:21.000]  神啊 我好想單單聽到你的說話
[00:00:21.000 --> 00:00:24.000]  我今天選用一個題目
[00:00:24.000 --> 00:00:26.000]  希望不單止給我一個激勵
[00:00:26.000 --> 00:00:27.000]  給你一個激勵
[00:00:27.000 --> 00:00:30.000]  我們一起讀這個題目 好嗎
[00:00:30.000 --> 00:00:31.000]  預備起
[00:00:31.000 --> 00:00:34.000]  主 祢是我的力量
[00:00:34.000 --> 00:00:35.000]  再來一次
[00:00:35.000 --> 00:00:38.000]  主 祢是我們的力量
[00:00:38.000 --> 00:00:39.000]  OK
[00:00:39.000 --> 00:00:41.000]  我今天會提下哈伯谷書
[00:00:41.000 --> 00:00:42.000]  先講一下
[00:00:42.000 --> 00:00:46.000]  就是要大家的心都要追著這樣
[00:00:46.000 --> 00:00:49.000]  因為哈伯谷書有三章
[00:00:49.000 --> 00:00:51.000]  某程度來說
[00:00:51.000 --> 00:00:55.000]  我是將這三章的精華都很想給大家
[00:00:55.000 --> 00:00:57.000]  所以真的不容易
[00:00:57.000 --> 00:01:00.000]  不過我相信聖靈會去幫我們
[00:01:00.000 --> 00:01:02.000]  所以我也祈禱
[00:01:02.000 --> 00:01:04.000]  神啊 求祢讓我說快一點
[00:01:04.000 --> 00:01:06.000]  我說話其實有時候比較慢
[00:01:06.000 --> 00:01:09.000]  但是我相信神都會給我們這個力量
[00:01:09.000 --> 00:01:14.000]  讓我們定精在神的說話裡面
[00:01:14.000 --> 00:01:19.000]  以致我們在那裡得到神自己話語的幫助
[00:01:19.000 --> 00:01:21.000]  我們一起先低頭祈禱
[00:01:21.000 --> 00:01:23.000]  天父我們好多謝祢
[00:01:23.000 --> 00:01:28.000]  因為祢真的留下祢自己寶貴的話語給我們
[00:01:28.000 --> 00:01:31.000]  祢自己的作為
[00:01:31.000 --> 00:01:37.000]  祢自己的全知 全能 全愛
[00:01:37.000 --> 00:01:39.000]  歷代都沒有改變
[00:01:39.000 --> 00:01:42.000]  主 所以我們今天早上來到祢面前的時候
[00:01:42.000 --> 00:01:44.000]  我們真的要再一次的來到
[00:01:44.000 --> 00:01:45.000]  俯伏在祢的面前
[00:01:45.000 --> 00:01:46.000]  我們謙卑
[00:01:46.000 --> 00:01:51.000]  我們去領受祢自己從話語裡面給我們的能力
