
[00:00:00.000 --> 00:00:03.000]  好歡喜見到大家
[00:00:03.000 --> 00:00:05.400]  下令會回來之後
[00:00:05.400 --> 00:00:08.000]  有健康身體
[00:00:08.000 --> 00:00:10.600]  又有健康的靈命
[00:00:10.600 --> 00:00:21.000]  一齊來聽主的話語
[00:00:21.000 --> 00:00:24.000]  所羅門王說
[00:00:24.000 --> 00:00:26.400]  一句話說得合而
[00:00:26.400 --> 00:00:33.000]  就如金蘋果落在銀網上
[00:00:33.000 --> 00:00:36.800]  憑著他治理國家的經驗
[00:00:36.800 --> 00:00:42.400]  教導人說話的重要性
[00:00:42.400 --> 00:00:45.800]  簡潔的一句話
[00:00:45.800 --> 00:00:51.000]  是最有力的說話
[00:00:51.000 --> 00:00:57.600]  今日分享的第一句話是文話
[00:00:57.600 --> 00:01:05.400]  第二句話是傳遞好消息的說話
[00:01:05.400 --> 00:01:08.600]  七月份我在這裏的訊息講及
[00:01:08.600 --> 00:01:14.400]  人可以選擇左邊
[00:01:14.400 --> 00:01:20.000]  那條重複環境的路徑
[00:01:20.000 --> 00:01:25.200]  或者走右邊
[00:01:25.200 --> 00:01:29.600]  那條豐盛妙愛的路徑
[00:01:29.600 --> 00:01:36.600]  亞當和所有屬血氣屬土的
[00:01:36.600 --> 00:01:41.200]  一齊走左邊那條路
[00:01:41.200 --> 00:01:44.800]  耶穌基督和所有屬靈
[00:01:44.800 --> 00:01:52.600]  或者屬天的一齊走右邊那條路
[00:01:52.600 --> 00:01:54.600]  在任何一條路上
[00:01:54.600 --> 00:02:02.200]  都會聽到一句觸動心靈的說話
[00:02:02.200 --> 00:02:07.800]  在左邊神問亞當
[00:02:07.800 --> 00:02:15.800]  你在哪裏 在右邊
[00:02:15.800 --> 00:02:20.400]  兩個瑪利亞聽到天使說給他聽
[00:02:20.400 --> 00:02:24.200]  他已復活
[00:02:24.200 --> 00:02:29.400]  主耶穌已經復活
[00:02:29.400 --> 00:02:36.600]  但願聖靈啟發我們去回憶一下
[00:02:36.600 --> 00:02:40.200]  在我們人生的路程上
[00:02:40.200 --> 00:02:45.000]  聽到哪一句話
[00:02:45.000 --> 00:02:50.000]  聽到之後生命有沒有改變
[00:02:50.000 --> 00:02:52.200]  請大家一齊低頭祈禱
[00:02:52.200 --> 00:02:55.200]  感謝天父給我們有這個機會
[00:02:55.200 --> 00:02:56.800]  聽你的話語
[00:02:56.800 --> 00:03:00.000]  但願這個訊息能夠被聖靈
[00:03:00.000 --> 00:03:04.800]  感動我們一齊聽到你的聲音
[00:03:04.800 --> 00:03:08.800]  一齊回應你的聲音
[00:03:08.800 --> 00:03:09.600]  我們這樣禱告
[00:03:09.600 --> 00:03:10.600]  奉主耶穌的命
[00:03:10.600 --> 00:03:17.400]  阿們
[00:03:17.400 --> 00:03:20.800]  別人找我們聊天的時候
[00:03:20.800 --> 00:03:23.600]  都會問這句話
[00:03:23.600 --> 00:03:25.200]  你在哪裏
[00:03:25.200 --> 00:03:26.800]  如果他找我們的時候
[00:03:26.800 --> 00:03:29.800]  他會問你在哪裏
[00:03:29.800 --> 00:03:36.200]  但是如果神問我們這句話的時候
[00:03:36.200 --> 00:03:37.800]  或者我們要想一下
[00:03:37.800 --> 00:03:44.000]  為什麼他會問我們這句話
[00:03:44.000 --> 00:03:48.200]  現在容許我帶領你們進去神
[00:03:48.200 --> 00:03:50.800]  創造那個伊甸園
[00:03:50.800 --> 00:03:56.200]  看看神問亞當這句話的時候
[00:03:56.200 --> 00:03:59.200]  那個情景是怎樣
[00:03:59.200 --> 00:04:01.000]  那我們就可以明白
