
[00:00:00.000 --> 00:00:05.000]  陳:十誡第七言,不可姦淫
[00:00:05.000 --> 00:00:08.000]  陳:如果我們從正面的去理解
[00:00:08.000 --> 00:00:14.000]  陳:應該可以理解為尊重、保障婚姻、家庭和兩性之間的癥結
[00:00:14.000 --> 00:00:17.000]  陳:如果咱們從正面的角度去理解
[00:00:17.000 --> 00:00:21.000]  陳:可以理解為尊重、保障婚姻和家庭的癥結
[00:00:21.000 --> 00:00:24.000]  陳:包括這個是自己建立的家庭
[00:00:24.000 --> 00:00:28.000]  陳:和如果你涉及婚外情的另一個受影響的家庭
[00:00:28.000 --> 00:00:30.000]  陳:包括個人建立的家庭
[00:00:30.000 --> 00:00:33.000]  陳:和婚外情涉及的另一個家庭的傷害
[00:00:33.000 --> 00:00:35.000]  陳:已故的英國王妃戴安娜
[00:00:35.000 --> 00:00:40.000]  陳:知道她的丈夫和舊情人有婚外情之後
[00:00:40.000 --> 00:00:43.000]  陳:已故的戴果皇妃戴安娜
[00:00:43.000 --> 00:00:46.000]  陳:她直至丈夫與她舊情人的一段婚外情之後
[00:00:46.000 --> 00:00:48.000]  陳:她說了一句很經典的話
[00:00:48.000 --> 00:00:49.000]  陳:她說了一句很經典的話
[00:00:49.000 --> 00:00:51.000]  陳:她說在一段婚姻裏面
[00:00:51.000 --> 00:00:53.000]  陳:三個人實在太擠擁了
[00:00:53.000 --> 00:00:54.000]  陳:在這一段婚姻中
[00:00:54.000 --> 00:00:56.000]  陳:三個人實在太擁擠了
[00:00:56.000 --> 00:00:59.000]  陳:沒有準備出賣那方的那種痛苦
[00:00:59.000 --> 00:01:01.000]  陳:這句話道盡了被出賣一方的痛苦
[00:01:01.000 --> 00:01:05.000]  陳:基督徒在生命裏面有三個誘惑我們要勝過
[00:01:05.000 --> 00:01:10.000]  陳:基督徒在生命中我們要勝過三大誘惑
[00:01:10.000 --> 00:01:11.000]  陳:我記得我一入獸醫院的時候
[00:01:11.000 --> 00:01:13.000]  陳:我的院長就是教導我這件事
[00:01:13.000 --> 00:01:16.000]  陳:我記得我第一次踏入社區醫院的時候
[00:01:16.000 --> 00:01:18.000]  陳:院長就跟我說
[00:01:18.000 --> 00:01:22.000]  陳:他說我們要面對金錢、權力和性這三大誘惑
[00:01:22.000 --> 00:01:25.000]  陳:他說我們要面對金錢、權力和性這三個誘惑
[00:01:25.000 --> 00:01:28.000]  陳:生活裏面有兩個領域我們要管理好
[00:01:28.000 --> 00:01:31.000]  陳:生活裏面有兩個領域我們要管理好
[00:01:31.000 --> 00:01:33.000]  陳:包括我們的婚姻和我們的家庭
