
[00:00:00.000 --> 00:00:05.320]  我們今天思想的是門徒和天父的關係
[00:00:05.320 --> 00:00:08.380]  可能你聽到「門徒」兩個字
[00:00:08.380 --> 00:00:11.200]  你就會覺得「不關我的事」
[00:00:11.200 --> 00:00:13.900]  「我是一個小信徒而已」
[00:00:13.900 --> 00:00:17.520]  「上過門徒訓練的才是門徒」
[00:00:17.520 --> 00:00:18.600]  如果你這樣想
[00:00:18.600 --> 00:00:20.680]  你就大錯特錯了
[00:00:20.680 --> 00:00:24.080]  因為聖經裡告訴我們
[00:00:24.080 --> 00:00:26.240]  每一個信耶穌的人
[00:00:26.240 --> 00:00:29.980]  他都應該是跟隨主的門徒
[00:00:29.980 --> 00:00:32.220]  所以不要小看你
[00:00:32.220 --> 00:00:34.140]  你也是主的門徒
[00:00:34.140 --> 00:00:36.860]  所以讓我們今天來一同思想
[00:00:36.860 --> 00:00:39.660]  究竟這段經文要說出
[00:00:39.660 --> 00:00:45.180]  我們和天父有什麼關係呢?
[00:00:45.180 --> 00:00:49.640]  上星期主耶穌有兩個吩咐
[00:00:49.640 --> 00:00:54.860]  我們看回第七章第一至第六節
[00:00:54.860 --> 00:00:59.660]  是說不要論斷和我們要明辨的
[00:00:59.660 --> 00:01:03.380]  而我們看回耶穌的山上補訓
[00:01:03.380 --> 00:01:07.460]  即是我們傳統的登山補訓
[00:01:07.460 --> 00:01:09.180]  上上我們會看到
[00:01:09.180 --> 00:01:13.020]  耶穌都舉出兩個比較
[00:01:13.020 --> 00:01:16.540]  譬如第六章十九至二十四節說到
[00:01:16.540 --> 00:01:18.900]  神和金錢的比較
[00:01:18.900 --> 00:01:22.100]  我們不能夠一腳踏兩船
[00:01:22.100 --> 00:01:26.300]  又侍奉馬門又侍奉神
[00:01:26.300 --> 00:01:30.500]  七章十三至十四節又說到兩道門
[00:01:30.500 --> 00:01:34.620]  十五至二十三節又說到好處和壞處
[00:01:34.620 --> 00:01:39.220]  二十四節到二十七節又說到兩種根基
[00:01:39.220 --> 00:01:42.220]  這些都是耶穌放在我們面前
[00:01:42.220 --> 00:01:46.180]  要我們選擇要我們分辨
[00:01:46.180 --> 00:01:51.100]  但是要明辨要分辨
[00:01:51.100 --> 00:01:56.100]  哪些是合情合理合意的
[00:01:56.100 --> 00:02:00.700]  是實在不容易的
[00:02:00.700 --> 00:02:04.420]  在以上種種的選擇當中
[00:02:04.420 --> 00:02:09.980]  耶穌在這裡突然間加入了這段經文
[00:02:09.980 --> 00:02:11.380]  祂叫我們祈求
[00:02:11.380 --> 00:02:12.420]  叫我們尋找
[00:02:12.420 --> 00:02:15.100]  叫我們叩門
[00:02:15.100 --> 00:02:17.940]  因為的確
[00:02:17.940 --> 00:02:24.860]  我們很需要天父指引我們
[00:02:24.860 --> 00:02:28.020]  我想我們過往聽完經文
[00:02:28.020 --> 00:02:32.460]  很多都來解釋給我們聽
[00:02:32.460 --> 00:02:34.900]  我們放心去求吧
[00:02:34.900 --> 00:02:36.100]  因為這裡告訴我們
[00:02:36.100 --> 00:02:37.100]  祈求就會得著
[00:02:37.100 --> 00:02:38.220]  尋找就會尋見
[00:02:38.220 --> 00:02:40.140]  叩門就讓我們開門
[00:02:40.140 --> 00:02:41.500]  你盡量去求吧
[00:02:41.500 --> 00:02:44.300]  你想什麼你就去求吧
[00:02:44.300 --> 00:02:47.020]  只要你想就得著了
[00:02:47.020 --> 00:02:49.980]  於是就求求求求求
[00:02:49.980 --> 00:02:51.020]  沒錯
[00:02:51.020 --> 00:02:56.460]  這段經文是談及到有關祈禱的
[00:02:56.460 --> 00:03:02.660]  但是我們留心看這段經文的時候
[00:03:02.660 --> 00:03:08.900]  它不是說到我們是求什麼東西
[00:03:08.900 --> 00:03:11.620]  這段經文提醒我們
[00:03:11.620 --> 00:03:13.700]  告訴我們
[00:03:13.700 --> 00:03:18.020]  我們祈禱的對象
[00:03:18.020 --> 00:03:20.780]  我們祈禱的對象
[00:03:20.780 --> 00:03:21.940]  開門給我們
[00:03:21.940 --> 00:03:22.780]  讓我們尋找
[00:03:22.780 --> 00:03:25.500]  讓我們求到
[00:03:25.500 --> 00:03:27.900]  聽我們祈禱的那個對象
[00:03:27.900 --> 00:03:34.740]  是我們的天父
[00:03:34.740 --> 00:03:40.020]  以致到我們思想究竟
[00:03:40.020 --> 00:03:41.260]  那位聽我們祈禱
[00:03:41.260 --> 00:03:42.940]  為我們開門的
[00:03:42.940 --> 00:03:45.140]  這位上帝
[00:03:45.140 --> 00:03:46.860]  和我們的關係
[00:03:46.860 --> 00:03:48.540]  是什麼關係
[00:03:48.540 --> 00:03:53.580]  我們用什麼態度去禱告
[00:03:53.580 --> 00:03:57.580]  用什麼態度去尋求
[00:03:57.580 --> 00:04:02.220]  這就是這段經文中的中心思想
[00:04:02.220 --> 00:04:04.660]  不一定告訴我們
[00:04:04.660 --> 00:04:10.420]  放膽去求一定會得著
[00:04:10.420 --> 00:04:13.140]  所以這段時間讓我們一起思想
[00:04:13.140 --> 00:04:15.980]  看看這段禱告的經文
[00:04:15.980 --> 00:04:18.980]  教導我們禱告的人
[00:04:18.980 --> 00:04:20.140]  究竟如何禱告
[00:04:20.140 --> 00:04:23.500]  和有什麼態度
[00:04:23.500 --> 00:04:27.420]  第一點
[00:04:27.420 --> 00:04:29.940]  我給他的題目就是
[00:04:29.940 --> 00:04:36.620]  我們要對我們禱告的天父
[00:04:36.620 --> 00:04:44.060]  有絕對的仰賴和信靠的關係
[00:04:44.060 --> 00:04:46.700]  第七至十一節
[00:04:46.700 --> 00:04:51.180]  是講到祈禱者的態度
[00:04:51.180 --> 00:04:54.340]  要對那個祈禱的對象
[00:04:54.340 --> 00:04:56.060]  我們的天父
[00:04:56.060 --> 00:05:03.940]  是必須有絕對仰賴和信靠的態度和心
[00:05:03.940 --> 00:05:06.260]  這就是禱告者
[00:05:06.260 --> 00:05:07.780]  即是我們
[00:05:07.780 --> 00:05:11.380]  和聽禱告的天父
[00:05:11.380 --> 00:05:16.860]  這是很特別的親密關係
[00:05:16.860 --> 00:05:21.500]  如果我們對聽禱告的天父
[00:05:21.500 --> 00:05:28.180]  沒有絕對的仰賴和信靠的關係
[00:05:28.180 --> 00:05:31.980]  我們是很難去禱告的
[00:05:31.980 --> 00:05:34.380]  你不相信一個人
[00:05:34.380 --> 00:05:36.700]  你如何交託給他
[00:05:36.700 --> 00:05:38.660]  為你做一些事情呢?
