
[00:00:00.000 --> 00:00:04.960]  很感激神有機會再一次在台上跟大家正道
[00:00:04.960 --> 00:00:06.720]  大家不知道有沒有留意到
[00:00:06.720 --> 00:00:08.480]  今個星期有個新聞
[00:00:08.480 --> 00:00:10.600]  這個新聞可能大家未必有留意的
[00:00:10.600 --> 00:00:13.840]  就是原來有個統計說2021年
[00:00:13.840 --> 00:00:15.560]  就是去年
[00:00:15.560 --> 00:00:17.560]  就是那些小朋友出世
[00:00:17.560 --> 00:00:20.080]  在婚姻以外的出世
[00:00:20.080 --> 00:00:23.040]  是多過婚姻以內
[00:00:23.040 --> 00:00:24.240]  都頗令人害怕
[00:00:24.240 --> 00:00:25.400]  其實是第一次
[00:00:25.400 --> 00:00:27.240]  是有歷史以來第一次
[00:00:27.240 --> 00:00:31.040]  1845年有歷史記載到現在
[00:00:31.040 --> 00:00:33.480]  是第一次在婚姻以外出世的小朋友
[00:00:33.480 --> 00:00:35.120]  是多過在婚姻以內
[00:00:35.120 --> 00:00:36.960]  這個早幾十年你們說
[00:00:36.960 --> 00:00:39.240]  是沒有人相信會發生的
[00:00:39.240 --> 00:00:42.080]  但我們知道這個就是一個很大的趨勢
[00:00:42.080 --> 00:00:45.160]  當然這個婚姻也不只包括婚姻
[00:00:45.160 --> 00:00:46.800]  有一些叫做civil partnership
[00:00:46.800 --> 00:00:47.640]  即合法的
[00:00:47.640 --> 00:00:49.240]  但又不是叫做wedding
[00:00:49.240 --> 00:00:50.000]  很奇怪了
[00:00:50.000 --> 00:00:51.520]  不知道什麼意思
[00:00:51.520 --> 00:00:53.200]  因為你wedding、marriage
[00:00:53.200 --> 00:00:54.640]  又不一定是教會的
[00:00:54.640 --> 00:00:56.520]  但它有另外一種叫civil partnership
[00:00:56.520 --> 00:00:59.240]  可能這個是專門做這件事出來
[00:00:59.240 --> 00:01:01.600]  給一些同性別的婚姻
[00:01:01.600 --> 00:01:05.880]  其實這個趨勢一直我們是看到的
[00:01:05.880 --> 00:01:08.760]  特別是結婚離婚率
[00:01:08.760 --> 00:01:10.480]  我們很多年都知道的
[00:01:10.480 --> 00:01:13.160]  英國很多年開始已經是離婚
[00:01:13.160 --> 00:01:16.600]  已經是有結婚是差不多的率
[00:01:16.600 --> 00:01:17.760]  更高過
[00:01:17.760 --> 00:01:20.040]  即是如果你兩對人離婚
[00:01:20.040 --> 00:01:22.600]  結婚就一對就注定是離婚收場
[00:01:22.600 --> 00:01:25.320]  即是說那個統計就是這樣
[00:01:25.320 --> 00:01:29.040]  這個其實已經是很多年以來都有這個紀錄
[00:01:29.040 --> 00:01:32.200]  當然也是包括很多人是沒有結婚
[00:01:32.200 --> 00:01:34.520]  現在這個年代很多人就這樣住在一起
[00:01:34.520 --> 00:01:35.440]  同居
[00:01:35.440 --> 00:01:36.520]  以前就是有些人同居
[00:01:36.520 --> 00:01:37.960]  有些人就合同、就眉頭
[00:01:37.960 --> 00:01:39.440]  現在根本就是聽慣了
[00:01:39.440 --> 00:01:41.880]  就不覺得有些什麼很大件事
[00:01:41.880 --> 00:01:43.640]  包括在教會以來
[00:01:43.640 --> 00:01:45.640]  我們都不覺得很大件事
[00:01:45.640 --> 00:01:46.440]  究竟是怎樣呢
[00:01:46.440 --> 00:01:49.520]  我們應該怎樣去看這件事呢
[00:01:49.520 --> 00:01:52.080]  我記得我讀書的時候
[00:01:52.080 --> 00:01:53.760]  我做學生的時候
[00:01:53.760 --> 00:01:56.120]  很多時候就是那個年代
[00:01:56.120 --> 00:01:57.200]  我不說什麼年代
[00:01:57.200 --> 00:01:58.760]  免得你猜到我多少歲
[00:01:58.760 --> 00:02:04.960]  很多時候要問病人的家族的病歷
