
[00:00:00.000 --> 00:00:04.480]  我們會從不同的題目去看全道書
[00:00:04.480 --> 00:00:07.360]  今天我們先分享第一個的題目
[00:00:07.360 --> 00:00:11.160]  就是會講到從全道書的第八章
[00:00:11.160 --> 00:00:14.400]  我跟大家分享有幾個主題
[00:00:14.400 --> 00:00:16.000]  這個主題就是講到
[00:00:16.000 --> 00:00:21.560]  如何克服三個讓我們人生失去意義的迷惑
[00:00:21.560 --> 00:00:23.320]  在這八章中
[00:00:23.320 --> 00:00:25.640]  我們會有三個主題
[00:00:25.640 --> 00:00:31.600]  在智慧文學中 即是全道書或者是真言
[00:00:31.600 --> 00:00:34.280]  它裏面所講到的很多的智慧
[00:00:34.280 --> 00:00:36.040]  它有分不同的智慧
[00:00:36.040 --> 00:00:40.240]  例如真言通常被認爲是實用性的智慧
[00:00:40.240 --> 00:00:44.560]  全道書就被認爲是沉思性的智慧
[00:00:44.560 --> 00:00:48.200]  意思就是真言教你如何生活
[00:00:48.200 --> 00:00:50.920]  但全道書是教你如何思想
[00:00:50.920 --> 00:00:54.480]  如何去想問題 如何去看一些東西
[00:00:54.480 --> 00:00:57.080]  通常在這些智慧文學裏面
[00:00:57.080 --> 00:01:01.120]  就會有一些所謂的謎
[00:01:01.120 --> 00:01:06.080]  當然在智慧文學裏面所講到的謎
[00:01:06.080 --> 00:01:10.360]  不是指我們今天中秋節裏面猜燈謎
[00:01:10.360 --> 00:01:11.680]  不是那些謎
[00:01:11.680 --> 00:01:15.600]  它是指稱之爲thought-provoking problem
[00:01:15.600 --> 00:01:17.680]  這些謎裏面所講到的
[00:01:17.680 --> 00:01:20.960]  稱之爲thought-provoking problem
[00:01:20.960 --> 00:01:23.440]  即是這些問題是很複雜
[00:01:23.440 --> 00:01:25.480]  不是隻有黑白兩個答案
[00:01:25.480 --> 00:01:27.640]  你要去很多的掙扎
[00:01:27.640 --> 00:01:29.520]  你要tackle這個問題
[00:01:29.520 --> 00:01:32.760]  會逼你去思想
[00:01:32.760 --> 00:01:35.360]  讓你的思想開始有些深度
[00:01:35.360 --> 00:01:36.960]  讓你成長
[00:01:36.960 --> 00:01:40.640]  這個世上很多問題不是隻有一和二的答案
[00:01:40.640 --> 00:01:43.560]  其實無論你怎麼做你發覺都不對
[00:01:43.560 --> 00:01:47.920]  好像這個疫情當中我們爲了保障大家的安全
[00:01:47.920 --> 00:01:51.640]  所以讓你回來後覺得有安全感 覺得OK的
[00:01:51.640 --> 00:01:54.000]  我們就定了一些guideline
[00:01:54.000 --> 00:01:55.960]  要打疫苗纔可以回來
[00:01:55.960 --> 00:01:58.480]  當然也得罪了那些不想打疫苗的人
[00:01:58.480 --> 00:02:02.440]  他們說你剝奪我人身自由 要逼我打疫苗
[00:02:02.440 --> 00:02:05.920]  但如果你說不用 回來的人就覺得沒有安全感
[00:02:05.920 --> 00:02:08.720]  所以這個是個人的自由利益
[00:02:08.720 --> 00:02:12.720]  和全體的安全之間你要做一個抉擇的時候
[00:02:12.720 --> 00:02:15.440]  這些問題屬於thought provoking problem
[00:02:15.440 --> 00:02:19.040]  就是屬於沒有黑白 沒有一個對還是錯的答案
[00:02:19.040 --> 00:02:21.360]  你怎麼做都不會完美
[00:02:21.360 --> 00:02:28.120]  你只能夠選一個你在這個moment覺得是最好的答案
[00:02:28.120 --> 00:02:29.680]  但這些問題很複雜
[00:02:29.680 --> 00:02:33.160]  所以你無論怎麼做都沒有一個perfect solution
[00:02:33.160 --> 00:02:34.360]  是無解的
[00:02:34.360 --> 00:02:38.360]  但是透過你tackle這個問題的過程當中
[00:02:38.360 --> 00:02:40.200]  逼你思考很多的問題
[00:02:40.200 --> 00:02:43.640]  你背後的價值觀的prioritize各種的東西
[00:02:43.640 --> 00:02:46.840]  讓你更認識自己你想要些什麼
[00:02:46.840 --> 00:02:49.960]  所以在智慧文學裏面所講到的riddle
[00:02:49.960 --> 00:02:52.920]  這個謎是在講這個層面
[00:02:52.920 --> 00:02:56.600]  就是這些事情讓你開始思考想的時候
[00:02:56.600 --> 00:02:58.360]  你會開始去成長
[00:02:58.360 --> 00:03:01.640]  今天我們會看傳道書的第八章
[00:03:01.640 --> 00:03:03.880]  它說這個世上有些謎
[00:03:03.880 --> 00:03:06.600]  是讓你覺得人生沒有意義的
[00:03:06.600 --> 00:03:08.560]  因爲有這些謎一般的存在
[00:03:08.560 --> 00:03:12.520]  你的現象存在讓你覺得活着真的沒有意思
[00:03:12.520 --> 00:03:14.720]  到底這些謎是什麼呢
[00:03:14.720 --> 00:03:16.320]  今天我們來看一看
[00:03:16.320 --> 00:03:20.840]  我可以從不同的角度給大家提供少少的
[00:03:20.840 --> 00:03:22.680]  僅供你參考的答案
[00:03:22.680 --> 00:03:26.360]  你可以隨着這些角度去思考一下這些謎一般的
[00:03:26.360 --> 00:03:27.840]  這些是無解的
[00:03:27.840 --> 00:03:30.320]  好像謎一般的問題
[00:03:30.320 --> 00:03:33.040]  希望可以讓你人生有些意義
[00:03:33.040 --> 00:03:34.920]  因爲這些問題如果你不解決
[00:03:34.920 --> 00:03:36.920]  你會失去一些的motivation
[00:03:36.920 --> 00:03:39.800]  你不想努力好好生活
[00:03:39.800 --> 00:03:42.400]  到底這些謎是什麼我們來看第一個
[00:03:42.400 --> 00:03:44.320]  第一個的謎就稱之爲
[00:03:44.320 --> 00:03:47.160]  壞人沒得着及時的報應
[00:03:47.160 --> 00:03:49.560]  這個現象會讓我們覺得生活沒有意義
[00:03:49.560 --> 00:03:50.880]  因爲不合理
[00:03:50.880 --> 00:03:54.080]  不合理的又會讓你覺得人生沒有意義
[00:03:54.080 --> 00:03:56.200]  八章十字怎麼說呢
[00:03:56.200 --> 00:03:58.080]  這個傳道書的作者就說
[00:03:58.080 --> 00:04:01.840]  我看見邪惡的人死後埋葬
[00:04:01.840 --> 00:04:04.640]  他去參加一個邪惡的人的葬禮
[00:04:04.640 --> 00:04:07.280]  他們生前出入聖所
[00:04:07.280 --> 00:04:10.280]  所以這幫人是一幫很hypocrite的人
[00:04:10.280 --> 00:04:12.160]  很有宗教情懷
[00:04:12.160 --> 00:04:14.000]  可能是宗教領袖
[00:04:14.000 --> 00:04:16.760]  生前出入聖所很多人贊他們
[00:04:16.760 --> 00:04:18.800]  生前reputation不錯
[00:04:18.800 --> 00:04:23.480]  我聽見有人在他們作惡的地方稱讚他們
[00:04:23.480 --> 00:04:25.480]  這也是空虛
[00:04:25.480 --> 00:04:26.760]  這件事不make sense
[00:04:26.760 --> 00:04:30.240]  這件事讓所有人覺得人生沒有意義
[00:04:30.240 --> 00:04:32.160]  爲什麼有些人這麼邪惡
[00:04:32.160 --> 00:04:34.240]  生前出入聖所
[00:04:34.240 --> 00:04:36.240]  到了葬禮
[00:04:36.240 --> 00:04:38.240]  依然有人贊他們
[00:04:38.240 --> 00:04:41.520]  大家知道去葬禮一定是贊人的
[00:04:41.520 --> 00:04:43.520]  有沒有見過在葬禮有人罵人
[00:04:43.520 --> 00:04:45.280]  我想你罵一罵他
[00:04:45.280 --> 00:04:47.840]  有一次我去主持葬禮
[00:04:47.840 --> 00:04:50.560]  遇到有人在葬禮上追債
[00:04:50.560 --> 00:04:51.400]  很奇怪
[00:04:51.400 --> 00:04:53.320]  葬禮結束他就聊天
[00:04:53.320 --> 00:04:55.400]  很久沒見你還欠我1200元
[00:04:55.400 --> 00:04:56.520]  你記不記得
[00:04:56.520 --> 00:04:58.920]  追債追到葬禮都很少見
[00:04:58.920 --> 00:05:01.120]  很少人在葬禮
[00:05:01.120 --> 00:05:02.320]  誰誰
[00:05:02.320 --> 00:05:03.920]  他死了
[00:05:03.920 --> 00:05:05.920]  還欠我5000元還不了
[00:05:05.920 --> 00:05:08.920]  葬禮上來一定要說些很客氣的好話
