
[00:00:00.000 --> 00:00:01.640]  各位電影節目平安
[00:00:01.640 --> 00:00:02.640]  平安
[00:00:02.640 --> 00:00:06.840]  每次回來的時候都會感覺是恩典
[00:00:06.840 --> 00:00:10.860]  能夠繼續可以實體和電影節目一起敬拜
[00:00:10.860 --> 00:00:11.860]  是恩典
[00:00:11.860 --> 00:00:15.200]  澳門今天發生的疫情的情況
[00:00:15.200 --> 00:00:18.320]  好像突然間也不能夠有崇拜
[00:00:18.320 --> 00:00:22.340]  但是今天我們繼續可以有集體的崇拜
[00:00:22.340 --> 00:00:23.340]  是恩典
[00:00:23.340 --> 00:00:25.840]  所以不單是你一個人
[00:00:25.840 --> 00:00:28.760]  是你和電影節目一起將我們的感謝
[00:00:28.760 --> 00:00:30.940]  我們的讚美和獻情給神
[00:00:30.940 --> 00:00:35.400]  或者你也可以和你旁邊的電影節目開始的時候
[00:00:35.400 --> 00:00:36.580]  你都和祂點一下頭
[00:00:36.580 --> 00:00:38.580]  感謝神讓我們一起崇拜好嗎
[00:00:38.580 --> 00:00:42.820]  你和旁邊的電影節目打招呼
[00:00:42.820 --> 00:00:47.760]  感謝神讓我們一起崇拜
[00:00:47.760 --> 00:00:48.760]  我們一起祈禱
[00:00:48.760 --> 00:00:56.600]  主耶穌是各位坐在天上的寶座
[00:00:57.060 --> 00:00:58.880]  祢統管萬有
[00:00:58.880 --> 00:01:02.560]  祢是滿有能力滿有慈愛的上帝
[00:01:02.560 --> 00:01:06.200]  主祢配得上我們對祢的尊崇
[00:01:06.200 --> 00:01:07.620]  我們的敬拜
[00:01:07.620 --> 00:01:12.240]  主祢我們祈禱求祢讓我們和電影節目一起
[00:01:12.240 --> 00:01:14.240]  在祢的殿中敬拜的時候
[00:01:14.240 --> 00:01:19.200]  讓我們的心更加專注在祢身上
[00:01:19.200 --> 00:01:22.860]  更加體會到祢自己的偉大
[00:01:22.860 --> 00:01:24.320]  祢的尊榮
[00:01:24.320 --> 00:01:26.160]  祢的榮耀
[00:01:26.400 --> 00:01:28.680]  我們更懂得去敬拜祢
[00:01:28.680 --> 00:01:30.440]  求主幫助我們
[00:01:30.440 --> 00:01:31.560]  讓我們的生活
[00:01:31.560 --> 00:01:33.560]  我們每一天的言行
[00:01:33.560 --> 00:01:35.560]  都成為對祢的敬拜
[00:01:35.560 --> 00:01:39.240]  承認祢是我們生命的主
[00:01:39.240 --> 00:01:40.820]  祢是天地的主
[00:01:40.820 --> 00:01:43.500]  主在今天我們到祢面前來
[00:01:43.500 --> 00:01:46.360]  我們去渴望祢自己聖經的真道
[00:01:46.360 --> 00:01:48.120]  主我們知道
[00:01:48.120 --> 00:01:52.000]  我們不單單有頭腦上的認識
[00:01:52.000 --> 00:01:54.600]  而是有祢聖靈的光照
[00:01:55.000 --> 00:01:58.080]  所以主求祢再次賜下祢的恩賢
[00:01:58.080 --> 00:02:00.080]  賜下祢寶貴的聖靈
[00:02:00.080 --> 00:02:03.080]  引導我們進入祢的真道
[00:02:03.080 --> 00:02:06.040]  主讓我們在祢的真道裡面
[00:02:06.040 --> 00:02:08.640]  我們更加知道怎樣來信靠祢
