
[00:00:00.000 --> 00:00:02.000]  各位聽眾好
[00:00:02.000 --> 00:00:05.540]  很感恩,在神教裏面一起敬拜
[00:00:05.540 --> 00:00:09.960]  今天選了創世紀,即是方年
[00:00:09.960 --> 00:00:15.960]  其中一節經文很深刻,就是第六節
[00:00:15.960 --> 00:00:17.960]  我們一起讀一次第六節
[00:00:17.960 --> 00:00:22.920]  現在這地的饑荒已經二兩年了
[00:00:22.920 --> 00:00:27.320]  還有五年,不能耕種,不能收成
[00:00:27.320 --> 00:00:32.160]  假如這件事發生在今天
[00:00:32.160 --> 00:00:35.920]  有人說兩年艱難之後還有五年
[00:00:35.920 --> 00:00:37.920]  大家心裏覺得怎樣?
[00:00:37.920 --> 00:00:39.920]  真是難受
[00:00:39.920 --> 00:00:45.280]  所以特別我們用聖經裏面方年這段經文
[00:00:45.280 --> 00:00:49.280]  即是用幾章經文裏面的一些精要去分享的時候
[00:00:49.280 --> 00:00:51.280]  多一個默想
[00:00:51.280 --> 00:00:58.120]  假如雅各的兒子去到法老的埃及
[00:00:58.120 --> 00:01:00.120]  遇見一個高官
[00:01:00.120 --> 00:01:04.400]  假如他不是弱失
[00:01:04.400 --> 00:01:07.880]  他要經歷多五年的方年
[00:01:07.880 --> 00:01:10.800]  他遭遇會是怎樣呢?
[00:01:10.800 --> 00:01:12.000]  甚麼意思呢?
[00:01:12.000 --> 00:01:15.000]  因為聖經裏面我們知道後來弱失饒恕他
[00:01:15.000 --> 00:01:17.000]  又預備好好的地方給他
[00:01:17.000 --> 00:01:21.960]  所以這段故事就像我們看語場片的happy ending
[00:01:21.960 --> 00:01:25.480]  所以我們不要害怕,方年無所謂
[00:01:25.480 --> 00:01:31.000]  因為有一個弱失,預備了所有最好的給兄弟
[00:01:31.000 --> 00:01:34.480]  但假如想想當代其他人
[00:01:34.480 --> 00:01:37.120]  他遇到的不是弱失
[00:01:37.120 --> 00:01:40.880]  還有五年的方年
[00:01:40.880 --> 00:01:43.280]  感覺怎樣?
