
[00:00:00.000 --> 00:00:01.960]  好 各位電視節目早晨
[00:00:01.960 --> 00:00:04.240]  在星期日的清晨裏面
[00:00:04.240 --> 00:00:06.600]  我們可以去敬拜神的時候
[00:00:06.600 --> 00:00:09.760]  記住 不是一個必然的事
[00:00:09.760 --> 00:00:11.920]  特別我們能夠有實體的敬拜
[00:00:11.920 --> 00:00:13.520]  都不是必然的事
[00:00:13.520 --> 00:00:14.880]  請你記住 現在香港
[00:00:14.880 --> 00:00:16.400]  過去這一個多月裏面
[00:00:16.400 --> 00:00:18.160]  他們是沒有實體的敬拜的
[00:00:18.160 --> 00:00:20.520]  即是他們只可以在網上有敬拜
[00:00:20.520 --> 00:00:23.480]  所以記住 不要想著一切都是必然的
[00:00:23.480 --> 00:00:26.000]  我們是要學習去珍惜
[00:00:26.000 --> 00:00:28.200]  珍惜是很重要的
[00:00:28.200 --> 00:00:31.160]  如果有人生日的時候
[00:00:31.160 --> 00:00:33.280]  我們很興致會祝他生日快樂
[00:00:33.280 --> 00:00:34.880]  但我經常都不是這樣說的
[00:00:34.880 --> 00:00:37.480]  我不是祝你生日快樂
[00:00:37.480 --> 00:00:38.600]  而是甚麼呢
[00:00:38.600 --> 00:00:40.920]  是每一天都快樂 是不是
[00:00:40.920 --> 00:00:44.800]  下個星期我們就稱為復活節主日
[00:00:44.800 --> 00:00:48.800]  其實我們每個主日都是復活節的主日
[00:00:48.800 --> 00:00:51.040]  因為我們主已經復活了
[00:00:51.040 --> 00:00:54.720]  我們每一日其實都應該經歷到主的恩典
[00:00:54.720 --> 00:00:56.160]  主的真實
[00:00:56.160 --> 00:00:59.880]  當然在這個復活節的期間裏面
[00:00:59.880 --> 00:01:03.440]  我們都會探索諸耶穌的受苦 受死 復活
[00:01:03.440 --> 00:01:06.880]  正如英國3月才是母親節
[00:01:06.880 --> 00:01:09.200]  但是我們慣常都仍然記住
[00:01:09.200 --> 00:01:11.520]  5月的時候是母親節
[00:01:11.520 --> 00:01:14.040]  那時候我們會怎樣呢
[00:01:14.040 --> 00:01:15.160]  但是母親節裏面
[00:01:15.160 --> 00:01:17.960]  我們特別可能會對我們的媽媽有些表示
[00:01:17.960 --> 00:01:22.200]  但不代表我們平時不去理會我們的媽媽
[00:01:22.200 --> 00:01:25.240]  今天想跟大家來看看耶穌
[00:01:25.240 --> 00:01:27.480]  祂受苦之前
[00:01:27.480 --> 00:01:30.120]  以及受死 祂復活之後
[00:01:30.120 --> 00:01:34.360]  那些門徒有甚麼體會 有甚麼感受
[00:01:34.360 --> 00:01:39.000]  當主耶穌一出來傳道的時候
[00:01:39.000 --> 00:01:41.960]  當時那些人是很開心的
[00:01:41.960 --> 00:01:43.560]  就是來跟隨祂
[00:01:43.560 --> 00:01:47.560]  那時候很多人願意來跟隨耶穌
[00:01:47.560 --> 00:01:49.080]  所謂的墨月期
[00:01:49.080 --> 00:01:51.800]  因為耶穌說話的時候絕對不深奧
[00:01:51.800 --> 00:01:54.960]  祂的道理很深 但是祂是顯淺易明
