
[00:00:00.000 --> 00:00:02.000]  我今天講到的題目很特別
[00:00:02.000 --> 00:00:04.000]  就是「最後叮嚀」
[00:00:04.000 --> 00:00:06.000]  就是我的遺言
[00:00:06.000 --> 00:00:09.240]  希望給大家一些鼓勵
[00:00:09.240 --> 00:00:11.240]  絕對不是我講我自己的東西
[00:00:11.240 --> 00:00:13.240]  我是透過保羅
[00:00:13.240 --> 00:00:16.400]  保羅在爾忽所建立了教會
[00:00:16.400 --> 00:00:18.400]  服侍了他們三年
[00:00:18.400 --> 00:00:22.840]  但後來保羅有一個很清楚神的帶領
[00:00:22.840 --> 00:00:24.840]  他要離開爾忽所
[00:00:24.840 --> 00:00:26.840]  他要去羅馬
[00:00:26.840 --> 00:00:30.680]  但有先知阿加布跟他說
[00:00:30.680 --> 00:00:32.680]  你不要上去
[00:00:32.680 --> 00:00:35.840]  因為你會面對很多的挑戰
[00:00:35.840 --> 00:00:38.480]  你會被交在外邦人的手中
[00:00:38.480 --> 00:00:42.480]  於是很多人攔阻保羅
[00:00:42.480 --> 00:00:44.480]  叫保羅你不要去
[00:00:44.480 --> 00:00:46.480]  但保羅仍然堅持
[00:00:46.480 --> 00:00:49.320]  我們一齊來看司徒函傳21章第12節
[00:00:49.320 --> 00:00:51.320]  有沒有Presenter給我?
[00:00:51.320 --> 00:00:58.840]  好,我們一齊讀這段經文
[00:00:58.840 --> 00:01:11.480]  「普普虧勸保羅,你不要上耶路撒冷。」
[00:01:11.480 --> 00:01:13.480]  因為你上耶路撒冷的話
[00:01:13.480 --> 00:01:15.480]  你會受困
[00:01:15.480 --> 00:01:17.480]  你會受苦
[00:01:17.480 --> 00:01:19.480]  但保羅明知山有苦
[00:01:19.480 --> 00:01:21.480]  他偏向苦山行
[00:01:21.480 --> 00:01:23.480]  他就像耶穌基督那樣
[00:01:23.480 --> 00:01:25.480]  面對十字架的苦楚
[00:01:25.480 --> 00:01:27.480]  這條路是辛苦的
[00:01:27.480 --> 00:01:29.480]  他有掙扎的
[00:01:29.480 --> 00:01:31.480]  但保羅也像耶穌那樣
[00:01:31.480 --> 00:01:33.480]  願意主你的美意來帶他去成就
[00:01:33.480 --> 00:01:35.480]  於是保羅臨離開之前
[00:01:35.480 --> 00:01:38.480]  他召集了眾長老
[00:01:38.480 --> 00:01:40.480]  到米尼都這個地方
[00:01:40.480 --> 00:01:42.480]  來帶他去見他
[00:01:42.480 --> 00:01:45.480]  於是講了一篇很真摯
