
[00:00:00.000 --> 00:00:02.640]  剛才有很多年青人
[00:00:02.640 --> 00:00:05.060]  他們在我們的見證中也說
[00:00:05.060 --> 00:00:06.940]  他們參加了這個活動
[00:00:06.940 --> 00:00:08.600]  叫做Live Game
[00:00:08.600 --> 00:00:18.420]  其實我也想知道裡面是做些什麼的
[00:00:18.420 --> 00:00:24.680]  不過在裡面我聽到有兩個字
[00:00:24.680 --> 00:00:26.780]  也讓我猜到大約是做些什麼的
[00:00:30.000 --> 00:00:37.220]  (粵語)
[00:00:37.220 --> 00:00:39.120]  第一個中文翻譯就說
[00:00:39.120 --> 00:00:41.600]  他們在裡面有很多衝擊
[00:00:41.600 --> 00:00:48.120]  (粵語)
[00:00:48.120 --> 00:00:51.060]  另外有很多的挑戰
[00:00:51.060 --> 00:00:53.160]  (粵語)
[00:00:53.160 --> 00:00:55.100]  人生就是這樣
[00:00:55.100 --> 00:00:57.060]  才是一個真正的人生
[00:00:57.060 --> 00:01:00.100]  (粵語)
[00:01:00.100 --> 00:01:02.900]  完全一帆風順的生命
[00:01:02.900 --> 00:01:05.380]  不是一個真正的生命
[00:01:05.380 --> 00:01:08.420]  (粵語)
[00:01:08.420 --> 00:01:11.680]  只有死了才會沒有衝擊
[00:01:11.680 --> 00:01:14.120]  沒有挑戰
[00:01:14.120 --> 00:01:22.060]  (粵語)
[00:01:22.060 --> 00:01:24.000]  所以當我為大家預備
[00:01:24.000 --> 00:01:28.360]  去思想和大家分享一個什麼的經文的時候
[00:01:28.360 --> 00:01:34.040]  (粵語)
[00:01:34.040 --> 00:01:37.100]  我就從一個屬靈生命
[00:01:37.100 --> 00:01:39.340]  這個生命體開始思想
[00:01:39.340 --> 00:01:44.780]  (粵語)
[00:01:44.780 --> 00:01:48.580]  而我們要面對的教會生活
[00:01:48.580 --> 00:01:53.380]  就是要充滿挑戰和衝擊的環境
[00:01:53.380 --> 00:02:01.700]  (粵語)
[00:02:01.700 --> 00:02:05.300]  那聖經哪裡有這麼衝擊的經文呢?
[00:02:05.300 --> 00:02:09.140]  (粵語)
[00:02:09.140 --> 00:02:13.900]  我就想到以斯拉記第三章的一段經文
[00:02:13.900 --> 00:02:17.740]  (粵語)
[00:02:17.740 --> 00:02:23.620]  在這段聖經當中給了我們很多的衝擊
[00:02:23.620 --> 00:02:25.760]  特別昔日的以色列人
[00:02:25.760 --> 00:02:28.920]  能夠回歸耶路撒冷的時候
[00:02:28.920 --> 00:02:31.220]  有些什麼衝擊在他們裡面
[00:02:31.220 --> 00:02:40.400]  (粵語)
[00:02:40.400 --> 00:02:42.340]  而就是因為這些衝擊
[00:02:42.340 --> 00:02:45.780]  使得他們能夠再次活起來
[00:02:45.780 --> 00:02:52.080]  (粵語)
[00:02:52.080 --> 00:02:54.620]  再次激勵神的子民
[00:02:54.620 --> 00:02:57.720]  怎樣走面前的屬靈的道路
[00:02:57.720 --> 00:03:04.660]  (粵語)
[00:03:04.660 --> 00:03:06.860]  而這個正正就是我們教會
[00:03:06.860 --> 00:03:07.900]  在堂慶的時候
[00:03:07.900 --> 00:03:10.600]  我覺得是最值得一起思想的題目
[00:03:10.600 --> 00:03:14.300]  (粵語)
[00:03:14.300 --> 00:03:23.240]  (粵語)
[00:03:23.240 --> 00:03:25.920]  所以大家今天預備去聽的訊息
[00:03:25.920 --> 00:03:28.220]  聽完應該會很有衝擊的
[00:03:28.220 --> 00:03:38.160]  (粵語)
[00:03:38.160 --> 00:03:39.860]  你們預備好衝擊了沒有?
[00:03:39.860 --> 00:03:41.200]  (粵語)
[00:03:41.200 --> 00:03:42.840]  預備好我們一起聽
[00:03:42.840 --> 00:03:44.200]  我們先同心吐槽
[00:03:44.200 --> 00:03:49.580]  (粵語)
[00:03:49.580 --> 00:03:50.540]  慈悲的天父多謝祢
[00:03:50.540 --> 00:03:52.780]  讓我們能夠再次透過一段
[00:03:52.780 --> 00:03:54.540]  充滿挑戰的經文
[00:03:54.540 --> 00:03:58.020]  讓我們再激勵我們東區華人浸信會
[00:03:58.020 --> 00:03:59.260]  眾大兄姊妹
[00:03:59.260 --> 00:04:02.520]  接下來面對更多的衝擊
[00:04:02.520 --> 00:04:05.760]  但仍然活在上帝祢的真理上面
[00:04:05.760 --> 00:04:09.160]  我們為這件事再次獻上感恩和禱告
[00:04:09.160 --> 00:04:10.600]  祈求祢帶領我們
[00:04:10.600 --> 00:04:14.200]  好使我們能夠真是透過這段聖經
[00:04:14.200 --> 00:04:17.100]  讓我們再次得到激勵
[00:04:17.100 --> 00:04:19.600]  成為時代的基督徒
[00:04:19.600 --> 00:04:22.980]  我們將這份心志再次放在裡面
[00:04:22.980 --> 00:04:24.500]  隨聖靈帶領我們
[00:04:24.500 --> 00:04:26.140]  禱告奉耶穌的名號
[00:04:26.140 --> 00:04:28.540]  (粵語)
[00:04:28.540 --> 00:04:29.780]  你沒有翻譯
[00:04:29.780 --> 00:04:31.320]  要一句一句才能翻譯
[00:04:31.320 --> 00:04:33.420]  是嗎?是這樣的嗎?
