
[00:00:00.000 --> 00:00:03.960]  大慶姐妹們平安,我們先一起祈禱
[00:00:03.960 --> 00:00:08.640]  天父,我們感謝祢的恩典,致命我們在祝祢的清神
[00:00:08.640 --> 00:00:12.480]  有這個機會來到祢的面前,敬拜祢
[00:00:12.480 --> 00:00:17.240]  我們求聖靈帶領我們,讓我們全心敬拜的時候
[00:00:17.240 --> 00:00:21.280]  能夠與祢更親近,聆聽祢自己的話語
[00:00:21.280 --> 00:00:26.800]  並且記在心中,在日常生活當中,去實踐出來
[00:00:26.800 --> 00:00:32.800]  以下時間求聖靈帶領我們,奉耶穌的名祈禱,阿末
[00:00:32.800 --> 00:00:39.400]  今日我們繼續先講「帖撒羅尼迦前書」
[00:00:39.400 --> 00:00:43.280]  或是「主必再來」系列第四講
[00:00:43.280 --> 00:00:48.440]  我希望大家記得「帖撒羅尼迦教會」
[00:00:48.440 --> 00:00:54.760]  是保羅在他第二次旅行宣教時所建立的教會
[00:00:54.760 --> 00:01:02.480]  但保羅在那裡其實只是花了不超過四個星期的時間
[00:01:02.480 --> 00:01:10.000]  其中只有三個安息日,去到猶太人會堂講解福音
[00:01:10.000 --> 00:01:18.800]  但教會就被建立起來,順主的人當中究竟有些什麼人呢?
[00:01:18.800 --> 00:01:31.440]  在《仕道行傳》17章4節說:「他們中間有些人聽了勸,就跟從保羅和西拉
[00:01:31.440 --> 00:01:38.800]  還有許多虔敬的希臘人,尊貴的婦女也不少」
[00:01:38.800 --> 00:01:43.760]  換句話說,他們中間會有些猶太人
[00:01:43.760 --> 00:01:48.960]  也有敬虔的希臘人和尊貴的婦女
[00:01:48.960 --> 00:01:55.600]  我相信「敬虔的希臘人」是指他們已經信了猶太教的希臘人
[00:01:55.600 --> 00:02:06.240]  根據《解經》家的解釋,尊貴的婦女很可能是指他們的丈夫是政治家
[00:02:06.240 --> 00:02:10.640]  他們是屬於統治階層的人
[00:02:10.640 --> 00:02:16.160]  雖然保羅在他們中間工作的時間很短
[00:02:16.160 --> 00:02:23.440]  但是聖靈在他們當中工作,以致有一群人很快就信了
[00:02:23.440 --> 00:02:31.920]  在《貼索萊加》前三章的經文來看,我們可能會得到一個結論
[00:02:31.920 --> 00:02:35.280]  這間教會真是一間很好的教會
[00:02:35.280 --> 00:02:47.600]  第一章提到他們的信心、愛心和盼望都傳遍了馬其頓省和阿蓋亞省
