
[00:00:00.000 --> 00:00:04.760]  有一個十七世紀的英國詩人
[00:00:04.760 --> 00:00:08.360]  他叫做約翰·多恩(John Donne)
[00:00:08.360 --> 00:00:12.000]  他這句說話我相信很多人都聽過
[00:00:12.000 --> 00:00:13.640]  沒有一個人是孤島
[00:00:13.640 --> 00:00:15.640]  No man is an island
[00:00:15.640 --> 00:00:17.640]  正因為這樣
[00:00:17.640 --> 00:00:23.360]  我相信在人與人之間的相處裡
[00:00:23.360 --> 00:00:27.200]  我們必然會有磨擦
[00:00:27.200 --> 00:00:29.600]  而結果是怎樣呢
[00:00:29.600 --> 00:00:32.440]  當然沒有人喜歡磨擦
[00:00:32.440 --> 00:00:36.840]  很容易造成彼此的傷害
[00:00:36.840 --> 00:00:39.840]  冤冤相報
[00:00:39.840 --> 00:00:44.040]  只會令仇恨的種子
[00:00:44.040 --> 00:00:46.840]  在我們生命當中發芽生長
[00:00:46.840 --> 00:00:52.320]  最終結出仇恨的惡果
[00:00:52.320 --> 00:00:57.120]  令到所有人都在當中受到傷害
[00:00:57.120 --> 00:01:02.520]  正所謂得饒人處且饒人
[00:01:02.520 --> 00:01:05.000]  冤冤相報何時了
[00:01:05.000 --> 00:01:07.000]  聽得多了吧
[00:01:07.000 --> 00:01:09.000]  我們懂得說
[00:01:09.000 --> 00:01:12.760]  不過就算我們懂得說
[00:01:12.760 --> 00:01:15.240]  聖經也是這樣教導
[00:01:15.240 --> 00:01:17.640]  似乎做起來
[00:01:17.640 --> 00:01:21.960]  我們仍然有很多很多的難處
[00:01:21.960 --> 00:01:29.920]  到底怎樣才是真正的寬容和饒恕呢?
[00:01:29.920 --> 00:01:31.920]  怎樣才做得到呢?
[00:01:31.920 --> 00:01:35.000]  今天我繼續要和大家分享
[00:01:35.000 --> 00:01:37.400]  撒滿意記下第十九章
[00:01:37.400 --> 00:01:40.680]  十八節下半節至三十節
[00:01:40.680 --> 00:01:43.560]  這段聖經是寄述
