
[00:00:00.000 --> 00:00:05.960]  各位晚安 主內平安 有我們先一同的禱告
[00:00:05.960 --> 00:00:09.480]  親愛的恩主 我們事立在你跟前
[00:00:09.480 --> 00:00:14.040]  特別當我們望向世界政局的淚源動盪
[00:00:14.040 --> 00:00:16.040]  其實我們真的很不安
[00:00:16.040 --> 00:00:19.280]  求主建立我們對你那份信心 信靠
[00:00:19.280 --> 00:00:23.920]  確信在動盪之中 上帝你永遠在掌權
[00:00:23.920 --> 00:00:26.480]  以你的說話成為我們的鼓勵
[00:00:26.480 --> 00:00:29.120]  願今天這篇信息的分享
[00:00:29.120 --> 00:00:32.600]  幫助我們無論講的 聽的一同去蒙福
[00:00:32.600 --> 00:00:35.040]  聽我們的禱告 奉教我救主
[00:00:35.040 --> 00:00:40.000]  耶穌基督 保貴聖名去求 阿們
[00:00:40.000 --> 00:00:41.760]  作為一些消遣的娛樂
[00:00:41.760 --> 00:00:46.440]  有時我都喜歡看一些頂級廚師的烹飪比賽
[00:00:46.440 --> 00:00:47.400]  不過最吸引我的
[00:00:47.400 --> 00:00:50.960]  就不是他們煮了一些很精緻的菜式
[00:00:50.960 --> 00:00:53.760]  反正我又買不起 我又煮不了
[00:00:53.760 --> 00:00:55.560]  是不是只有看的
[00:00:55.560 --> 00:00:59.040]  反而是他們對烹飪那份的熱誠
[00:00:59.040 --> 00:01:01.120]  努力求進步的那種心態
[00:01:01.120 --> 00:01:03.080]  很吸引我
[00:01:03.080 --> 00:01:06.240]  參賽者難免有時會失手
[00:01:06.240 --> 00:01:07.520]  出錯 是不是
[00:01:07.520 --> 00:01:09.920]  不然可能蛋糕會焗焦
[00:01:09.920 --> 00:01:11.400]  肉放在焗爐裡
[00:01:11.400 --> 00:01:14.120]  還未熟 一時間差不多到
[00:01:14.120 --> 00:01:16.680]  當出現亂局的時候
[00:01:16.680 --> 00:01:20.160]  我很少見到參賽者垂頭喪氣
[00:01:20.160 --> 00:01:23.040]  都是輸了 退出比賽吧
[00:01:23.040 --> 00:01:24.720]  反而反過來
[00:01:24.720 --> 00:01:26.800]  更加竭盡所能 在僅有的時間
[00:01:26.800 --> 00:01:30.000]  在僅有的資源下 做他們可以做的事
[00:01:30.000 --> 00:01:33.000]  去挽回這個劣局
[00:01:33.000 --> 00:01:36.160]  可能把蛋糕的洞切掉
[00:01:36.160 --> 00:01:40.520]  再改頭換面 創新一個新的甜品
[00:01:40.520 --> 00:01:42.880]  肉焗不熟 拿出來切薄片
[00:01:42.880 --> 00:01:46.680]  燒 這樣就夠快 等等
[00:01:46.680 --> 00:01:50.120]  當出現了亂局的時候
[00:01:50.120 --> 00:01:55.480]  怎樣質素的參賽者可以脫穎而出呢
