
[00:00:00.000 --> 00:00:07.000]  臨別贈言 或臨終遺言 我們都很重視
[00:00:07.000 --> 00:00:12.000]  我們總覺得 這些贈言 這些遺言
[00:00:12.000 --> 00:00:15.000]  都是當事人認為最重要
[00:00:15.000 --> 00:00:20.000]  甚至是他內心一個很真摯的流露
[00:00:20.000 --> 00:00:24.000]  同樣我們的耶穌基督 當祂從死裡復活
[00:00:24.000 --> 00:00:28.000]  然後再向所有人顯現的時候
[00:00:28.000 --> 00:00:32.000]  又未升天 祂都留下一個很重要的贈言
[00:00:32.000 --> 00:00:35.000]  給祂十一位的門徒
[00:00:35.000 --> 00:00:39.000]  其實從這段經文和整本聖經
[00:00:39.000 --> 00:00:42.000]  我們知道耶穌這番臨別贈言
[00:00:42.000 --> 00:00:45.000]  不是只給那十一位的門徒
[00:00:45.000 --> 00:00:50.000]  而是給我們每一位歷世歷代信耶穌的弟兄姊妹
[00:00:50.000 --> 00:00:56.000]  各位 究竟耶穌留了什麼贈言給我們呢?
[00:00:56.000 --> 00:00:59.000]  祂留了什麼最寶貴的東西
[00:00:59.000 --> 00:01:03.000]  是你和我都應該知道 要擁有的呢?
[00:01:03.000 --> 00:01:07.000]  在聖經說 十一個門徒往加里尼去
[00:01:07.000 --> 00:01:10.000]  到耶穌約定的山上
[00:01:10.000 --> 00:01:13.000]  耶穌起不是十二個門徒嗎?
[00:01:13.000 --> 00:01:15.000]  我們知道 其中一個
[00:01:15.000 --> 00:01:20.000]  他因為很內疚 種種原因去自殺死了
[00:01:20.000 --> 00:01:22.000]  所以只剩下十一個
[00:01:22.000 --> 00:01:25.000]  而在約定的山上
[00:01:25.000 --> 00:01:29.000]  當我們看二十八章第七和第十節的時候
[00:01:29.000 --> 00:01:34.000]  是天使 甚至是耶穌都親自和婦女說
[00:01:34.000 --> 00:01:37.000]  叫那些門徒要到加里尼所約定的山上
[00:01:37.000 --> 00:01:42.000]  去等候耶穌這番臨別的贈言
[00:01:42.000 --> 00:01:45.000]  在山上 很多時候在聖經裡看到
[00:01:45.000 --> 00:01:48.000]  凡是很重要的宣佈
[00:01:48.000 --> 00:01:52.000]  譬如摩西就在西乃山上領受十屆
[00:01:52.000 --> 00:01:57.000]  耶穌也是登山宣佈百福和很多的寶分
[00:01:57.000 --> 00:02:00.000]  甚至是登山去變賬
[00:02:00.000 --> 00:02:03.000]  不是在中環變賬 是登山去變賬
[00:02:03.000 --> 00:02:05.000]  一個很重要的信息
[00:02:05.000 --> 00:02:09.000]  頂子妹 究竟耶穌在山上
[00:02:09.000 --> 00:02:12.000]  對於我們今天每一個頂子妹
[00:02:12.000 --> 00:02:15.000]  有什麼重要的宣告呢?
[00:02:15.000 --> 00:02:18.000]  第一方面 耶穌很清楚說
[00:02:18.000 --> 00:02:22.000]  要使人成為祂的門徒
[00:02:22.000 --> 00:02:25.000]  是成為祂的門徒
[00:02:25.000 --> 00:02:28.000]  所以你們要去使萬民作我的門徒
