
[00:00:00.000 --> 00:00:04.740]  不知大家平時有沒有聽下時下的流行曲呢?
[00:00:04.740 --> 00:00:07.240]  我都比較少聽
[00:00:07.240 --> 00:00:12.520]  不過最近有一首歌的歌名就幾吸引我
[00:00:12.520 --> 00:00:17.520]  而這首歌名亦都同我今日的主題有些關係
[00:00:17.520 --> 00:00:19.120]  大家知唔知係邊一首呀?
[00:00:19.120 --> 00:00:24.480]  嘩!我聽到佢啲聲音喎!好叻喎!
[00:00:24.480 --> 00:00:25.760]  小敏呀!係咪?
[00:00:27.340 --> 00:00:31.680]  就係陳雷嘅《神的不在場證明》
[00:00:31.680 --> 00:00:39.160]  咁佢喺近來一個樂壇頒獎禮上面就唱呢首歌
[00:00:39.160 --> 00:00:42.960]  咁喺唱之前佢就講咗句說話
[00:00:42.960 --> 00:00:50.800]  佢話呢將呢首歌呢係送畀每一個曾經想離開呢個世界嘅人
[00:00:50.800 --> 00:00:54.640]  每一個曾經想離開呢個世界嘅人
[00:00:54.640 --> 00:00:56.160]  佢嘅意思就係話呢
[00:00:56.800 --> 00:00:59.640]  嗰啲曾經想自殺嘅人
[00:00:59.640 --> 00:01:05.960]  當時佢嘅說話呢係贏得唔少嘅掌聲
[00:01:05.960 --> 00:01:12.760]  咁點解呢首歌會係啱嗰啲痛苦絕望到想死嘅人聽嘅呢?
[00:01:12.760 --> 00:01:18.480]  我相信裏面嘅歌詞的確都講出咗佢哋一啲嘅心聲
[00:01:18.480 --> 00:01:22.880]  咁我哋不妨睇下呢首歌嘅一啲歌詞
[00:01:23.920 --> 00:01:27.920]  自我出生的一殺 已經錯了麼?
[00:01:27.920 --> 00:01:33.760]  上帝挑選者一切困咗 可撐過麼?
[00:01:33.760 --> 00:01:36.280]  殘忍得過火
[00:01:36.280 --> 00:01:40.520]  呢度呢講到話自我出生嘅一殺
[00:01:40.520 --> 00:01:44.520]  即係好似呢連出生都要奏作
[00:01:44.520 --> 00:01:47.720]  大家記唔記得喺聖經裏面其實都有個人物呢
[00:01:47.720 --> 00:01:50.360]  佢係奏作自己嘅生日嘅
[00:01:50.360 --> 00:01:53.120]  好叻喎我哋就係約伯
[00:01:53.600 --> 00:01:57.240]  佢痛苦到呢奏作自己嘅生日
[00:01:57.240 --> 00:02:02.800]  大概天都不喜愛我這個誕生
[00:02:02.800 --> 00:02:06.480]  在社會努力地求一點憐憫
[00:02:06.480 --> 00:02:10.400]  這一個賜品懇請你容忍
[00:02:10.400 --> 00:02:14.280]  神若你看到我已經歷夠多
[00:02:14.280 --> 00:02:18.040]  難道你也不願去拯救我麼?
[00:02:18.040 --> 00:02:22.280]  佢呢度講到佢經歷咗咁多嘅艱難
[00:02:22.680 --> 00:02:25.600]  難道神你就守旁觀
[00:02:25.600 --> 00:02:27.600]  你都唔願意去拯救我麼?
[00:02:27.600 --> 00:02:33.080]  佢話我喺社會裏面係乞求一啲憐憫
[00:02:33.080 --> 00:02:34.800]  佢話我係一個賜品
[00:02:34.800 --> 00:02:37.320]  即係我係一啲低等低端人士
[00:02:37.320 --> 00:02:38.600]  求你容忍
[00:02:38.600 --> 00:02:42.960]  佢話大概天都不喜愛我這個誕生
[00:02:42.960 --> 00:02:44.720]  呢一句令你諗起呢啲咩嘢呀?
[00:02:52.680 --> 00:02:53.680]  佢都唔鍾意我呀
[00:02:53.680 --> 00:02:57.360]  你哋識笑你哋都聽過
[00:02:57.360 --> 00:02:59.640]  呢個其實就係2001年
[00:02:59.640 --> 00:03:01.480]  當時社會福利署
[00:03:01.480 --> 00:03:05.760]  2001年開始就播廣告
[00:03:05.760 --> 00:03:08.280]  嚟到去鼓勵當時嘅社會
[00:03:08.280 --> 00:03:12.760]  當人生處喺艱難裏面嘅時候
[00:03:12.760 --> 00:03:13.800]  會覺得好痛苦
[00:03:13.800 --> 00:03:15.440]  我哋難免就會問
[00:03:15.440 --> 00:03:19.360]  上帝你係咪真係存在㗎
[00:03:19.360 --> 00:03:21.520]  呢個世界上係咪真係有神㗎
[00:03:21.920 --> 00:03:22.920]  如果有神
[00:03:22.920 --> 00:03:24.400]  咁呢個神係咪完美
[00:03:24.400 --> 00:03:25.600]  係咪美善㗎呢
[00:03:25.600 --> 00:03:27.600]  佢點解要令我咁痛苦
[00:03:27.600 --> 00:03:28.960]  佢係咪唔鍾意我呀
[00:03:28.960 --> 00:03:32.760]  點解你要容讓呢個社會
[00:03:32.760 --> 00:03:34.760]  咁多嘅惡人惡事繼續存在
[00:03:34.760 --> 00:03:37.600]  你係咪冇能力嚟到去阻止呢
[00:03:37.600 --> 00:03:40.840]  今日呢我就嘗試藉住
[00:03:40.840 --> 00:03:42.320]  剛才我哋讀嗰段嘅經文
[00:03:42.320 --> 00:03:44.400]  雅閣書嘅經文呢
[00:03:44.400 --> 00:03:46.000]  嚟到去回應呢啲嘅問題
[00:03:46.000 --> 00:03:49.240]  首先呢我就想從呢個雅閣書
[00:03:49.240 --> 00:03:51.240]  一啲嘅背景嚟到去了解下
[00:03:51.720 --> 00:03:54.040]  當時呢卷書
[00:03:54.040 --> 00:03:57.360]  點解會適合嗰啲嘅受苦嘅人呢
[00:03:57.360 --> 00:03:59.560]  點解可以回應到佢嘅心聲呢
[00:03:59.560 --> 00:04:02.640]  雅閣書嘅體裁呢就係書信
[00:04:02.640 --> 00:04:06.320]  書信呢就當然有寫信嘅人
[00:04:06.320 --> 00:04:08.000]  亦都有呢係讀者
[00:04:08.000 --> 00:04:11.960]  咁呢封書信嘅作者係邊一個
[00:04:11.960 --> 00:04:14.120]  雅閣囉
[00:04:14.120 --> 00:04:16.360]  咁但係邊一個雅閣呢
[00:04:16.360 --> 00:04:17.960]  聖經裏面咁多雅閣
[00:04:17.960 --> 00:04:20.480]  咁肯定唔係舊約嗰個
[00:04:20.480 --> 00:04:22.360]  有十二個仔嗰個雅閣啦係咪
[00:04:22.360 --> 00:04:25.040]  但係單係新約聖經呢
[00:04:25.040 --> 00:04:27.680]  都至少呢有五個雅閣㗎喎
[00:04:27.680 --> 00:04:30.000]  其中一個雅閣呢就係
[00:04:30.000 --> 00:04:33.040]  雅閣新約瑟就是瑪利亞的丈夫
[00:04:33.040 --> 00:04:34.120]  呢個雅閣係邊個
[00:04:34.120 --> 00:04:36.440]  同耶穌咩關係
[00:04:36.440 --> 00:04:37.640]  耶穌嘅阿爺呀
[00:04:37.640 --> 00:04:38.840]  唔係地上嘅阿爺
[00:04:38.840 --> 00:04:40.680]  耶穌係地上嘅父親嘅父親
[00:04:40.680 --> 00:04:43.480]  咁呀聖經淨係呢度都出現過㗎啫
[00:04:43.480 --> 00:04:44.480]  呢個呢個雅閣
[00:04:44.480 --> 00:04:45.760]  咁咪冇再出現㗎喇
[00:04:45.760 --> 00:04:47.360]  咁應該唔係佢嚟㗎
[00:04:47.360 --> 00:04:50.320]  咁另外有三個雅閣呢
[00:04:50.320 --> 00:04:52.760]  喺路加福音裏面呢係
[00:04:52.760 --> 00:04:55.160]  同時出現呢三個人㗎
[00:04:55.160 --> 00:04:56.880]  呢三個雅閣㗎
[00:04:56.880 --> 00:05:00.520]  我哋先講呢個阿立肥嘅兒子雅閣
[00:05:00.520 --> 00:05:02.800]  呢個阿立肥嘅兒子雅閣呢
[00:05:02.800 --> 00:05:04.400]  就佢係門徒之一㗎
[00:05:04.400 --> 00:05:05.360]  呢個雅閣
[00:05:05.360 --> 00:05:07.080]  但係佢講過啲咩做過啲咩呢
[00:05:07.080 --> 00:05:09.640]  聖經冇喺其他嘅地方呢係講過
[00:05:09.640 --> 00:05:14.440]  佢都係一樣係真係好 silence 㗎
[00:05:14.440 --> 00:05:16.480]  咁呢度仲有第二個雅閣
[00:05:16.480 --> 00:05:18.360]  就係呢雅閣嘅兒子猶大
