
[00:00:00.000 --> 00:00:06.480]  好,弟兄姊妹,讓我們聽主的大提琴,讓我們重新打開。
[00:00:06.480 --> 00:00:10.120]  聖海天父,感謝禰給我們能夠再次有上帝來到禰的跟前,
[00:00:10.120 --> 00:00:14.520]  一同來到,以禰的說話成爲我們上帝的根本,
[00:00:14.520 --> 00:00:20.920]  使我們能夠從面前的人生大路上面完全有禰的教訓,
[00:00:20.920 --> 00:00:25.920]  成爲我們每一個弟兄姊妹的早前的路上的光,
[00:00:25.920 --> 00:00:32.520]  使我們知道,咱們要活出,站進屬於主理,來分基督的上面。
[00:00:32.520 --> 00:00:37.920]  求禰的幫助,讓每一個屬於主理的人現在有禰的耳朵,
[00:00:37.920 --> 00:00:45.640]  能夠聽明白主理的教訓,我們的禱告,奉主耶穌的名聲,阿們。
[00:00:45.640 --> 00:00:48.320]  曾經我聽過有一個這樣的故事,
[00:00:48.320 --> 00:00:54.120]  見到有一對基督徒的夫婦,他們差不多這個時間,
[00:00:54.120 --> 00:00:59.520]  還暖一點,覺得是很好的時間一起決定去露營。
[00:00:59.520 --> 00:01:03.320]  你知道在加拿大,在美美最流行的就是做這樣的東西,
[00:01:03.320 --> 00:01:07.520]  要最便宜,要最有趣的一種事情。
[00:01:07.520 --> 00:01:12.120]  所以他們兩夫婦就很開心,大家已經定好一個地點,
[00:01:12.120 --> 00:01:16.320]  那個地方很好的,我們之前曾經沒有去過,
[00:01:16.320 --> 00:01:20.320]  不如這一次我們露營的地點就定在那裏吧。
[00:01:20.320 --> 00:01:27.520]  需求大概兩個多小時,也不是太遠,大約是從這裏到光棍左右這樣的路程吧。
[00:01:27.520 --> 00:01:36.120]  他們很高興,很興高采烈地預備這一次他們在結婚之後,
[00:01:36.120 --> 00:01:40.520]  不久的時間一起去旅行的機會。
[00:01:40.520 --> 00:01:44.520]  所以他們兩夫婦就分別去不同的地方,
[00:01:44.520 --> 00:01:50.120]  採購不同的東西來到預備這一次旅行所需要的東西。
[00:01:50.120 --> 00:02:00.120]  我需要給對方一個很突破的一種的開心的事情,
[00:02:00.120 --> 00:02:01.920]  希望他們能夠做到。
[00:02:01.920 --> 00:02:06.520]  所以他們說,你去買你的東西,我去我買的東西。
[00:02:06.520 --> 00:02:10.720]  好,那麼她的丈夫就去到超級市場,就在那裏。
[00:02:10.720 --> 00:02:13.520]  啊,到底上面我要買什麼東西?
[00:02:13.520 --> 00:02:20.620]  難道是他我的太太,他很開心,覺得很有一個很特別的一份的經驗,
[00:02:20.620 --> 00:02:23.720]  然後他一生難忘了。
[00:02:23.720 --> 00:02:26.820]  所以他走逛整個的超級市場裏面,
[00:02:26.820 --> 00:02:29.320]  想買一些是他太太喜歡的東西,
[00:02:29.320 --> 00:02:33.920]  然後他想去,他想這一樣東西可能太太已經試過了,
[00:02:33.920 --> 00:02:35.520]  這個是去。
[00:02:35.520 --> 00:02:37.720]  最後他就想到一點,
[00:02:37.720 --> 00:02:42.320]  你記得男生通常來說都有一點鬼主義的嘛,OK?
[00:02:42.320 --> 00:02:46.420]  再想到啊,太太他最怕一樣事情,
[00:02:46.420 --> 00:02:50.320]  這些蚊子釘他的身上面,很癢的。
[00:02:50.320 --> 00:02:52.220]  我不知道弟兄姐妹有沒有這個經驗,
[00:02:52.220 --> 00:02:55.620]  最近我曾經是曾經試過皮膚敏感的時候,
[00:02:55.620 --> 00:02:57.820]  真是癢得要命。
[00:02:57.820 --> 00:03:02.720]  他知道太太很害怕被蚊子釘在皮膚上面,
[00:03:02.720 --> 00:03:05.520]  於是乎他想到一個鬼主義。
[00:03:05.520 --> 00:03:10.320]  就在這個時候,他看到在超級市場的一個角落上面,
[00:03:10.320 --> 00:03:16.520]  就有一些是專門來驅蚊子的這個火把。
[00:03:16.520 --> 00:03:23.720]  最後他就想出,不如我把一大把所有的火把咬着整個營地,
[00:03:23.720 --> 00:03:26.420]  然後怎麼樣啊,把它點起來,
[00:03:26.420 --> 00:03:29.220]  一方面可以把蚊子驅走,
[00:03:29.220 --> 00:03:32.120]  同時呢,你想到晚上的時間,
[00:03:32.120 --> 00:03:38.720]  兩口子咬着這些火把的光,暖暖的,
[00:03:38.720 --> 00:03:41.120]  大家談心,真是美麗。
[00:03:41.120 --> 00:03:42.620]  他想到好像很高興,
[00:03:42.620 --> 00:03:45.020]  於是乎他就去買這個東西,
[00:03:45.020 --> 00:03:48.720]  他收起來,不要太太看到,OK?
[00:03:48.720 --> 00:03:52.020]  他的太太也同時去到另外一個市場裏面,
[00:03:52.020 --> 00:03:55.320]  就是說,啊,不知道買什麼東西。
[00:03:55.320 --> 00:03:59.120]  我丈夫他是在北美洲長大的,
[00:03:59.120 --> 00:04:01.620]  如果我買一些中國的東西,
[00:04:01.620 --> 00:04:05.220]  可能他也沒有太多感覺,
[00:04:05.220 --> 00:04:11.520]  因爲你叫他,天天我都煮菜的嘛,都去燒中國菜,中華料理。
[00:04:11.520 --> 00:04:15.720]  就不如想一些四方人喜歡的東西吧。
[00:04:15.720 --> 00:04:19.820]  但是想起來,曾經以前他聽過他丈夫說,
[00:04:19.820 --> 00:04:28.020]  如果能夠在每一次BBQ之後都能夠燒這個棉花糖的話,
[00:04:28.020 --> 00:04:29.820]  這最完美了。
[00:04:29.820 --> 00:04:31.220]  你們知道嗎?
[00:04:31.220 --> 00:04:39.420]  北美洲的人去BBQ,一定是要最後燒這個棉花糖的,OK?
[00:04:39.420 --> 00:04:42.220]  他想棉花糖也不是最特別的,
[00:04:42.220 --> 00:04:44.020]  最特別的是什麼呢?
[00:04:44.020 --> 00:04:48.120]  又大又圓的,
[00:04:48.120 --> 00:04:51.320]  他的丈夫一定喜歡的。
[00:04:51.320 --> 00:04:53.420]  找來找去,哦,就在他跟前,
[00:04:53.420 --> 00:04:56.420]  好像上主已經爲他預備一下,
[00:04:56.420 --> 00:05:02.120]  哦,就在我跟前,他太太心裏面,哦,感謝主啊!
[00:05:02.120 --> 00:05:06.620]  很大的一包棉花糖,每一顆都是大大的。
[00:05:06.620 --> 00:05:08.420]  他就想到哪一天晚上,
[00:05:08.420 --> 00:05:10.120]  當我們喫完飯之後,
[00:05:10.120 --> 00:05:15.620]  我跟我先生一起燒這個棉花糖的話,真是浪漫啊!
[00:05:15.620 --> 00:05:20.620]  OK,兩口子都覺得心裏面非常開心,
[00:05:20.620 --> 00:05:26.620]  都明白那是上帝爲他們的預備最美好的這個禮物給對方。
[00:05:26.620 --> 00:05:30.520]  這兩口子把東西收起來,不讓對方知道,
