
[00:00:00.000 --> 00:00:04.440]  弟兄姊妹,過去幾個月我們都是看《馬可福音》
[00:00:04.440 --> 00:00:08.080]  今天我們來到《馬可福音》第七章
[00:00:08.080 --> 00:00:16.200]  耶穌與法利塞人和經學家辯論一個很重要的問題
[00:00:16.200 --> 00:00:19.040]  是關於猶太人的傳統
[00:00:19.040 --> 00:00:23.680]  究竟傳統和誡命有沒有不同的地方
[00:00:23.680 --> 00:00:29.640]  這對我們今天其實也很有實際的價值
[00:00:29.640 --> 00:00:34.800]  究竟我們的傳統有什麼是對的和不對的
[00:00:34.800 --> 00:00:38.600]  和上帝的話語有什麼分別呢
[00:00:38.600 --> 00:00:41.560]  在我們開始討論這個問題之前
[00:00:41.560 --> 00:00:45.400]  我們重溫以前幾次所講的
[00:00:45.400 --> 00:00:50.560]  從第四章到第六章
[00:00:50.560 --> 00:00:57.800]  我們看到耶穌基督是用很多的方法來教導群眾
[00:00:57.800 --> 00:01:02.000]  他也施行神跡、平靜、風浪、講鬼、醫病
[00:01:02.000 --> 00:01:04.920]  叫一個死了的細蚊女復活
[00:01:04.920 --> 00:01:07.840]  他由差遣門出去傳福音
[00:01:07.840 --> 00:01:11.560]  給他們能力醫病、講鬼
[00:01:11.560 --> 00:01:19.120]  我們上次講道就提到他用細蚊仔的五餅二魚
[00:01:19.120 --> 00:01:22.720]  餵飽超過五千人
[00:01:22.720 --> 00:01:28.880]  那你說耶穌所做的都是好的,一定會大受歡迎
[00:01:28.880 --> 00:01:32.720]  那倒不是,做好事未必一定有好報
[00:01:32.720 --> 00:01:35.040]  原來有些人是不喜歡耶穌的
[00:01:35.040 --> 00:01:36.440]  是哪些人不喜歡耶穌呢?
[00:01:36.440 --> 00:01:38.760]  就是那些宗教領袖
[00:01:38.760 --> 00:01:44.440]  我和大家看看,為什麼這些法利賽人和經學家
[00:01:44.440 --> 00:01:47.440]  竟然不喜歡耶穌呢?
[00:01:47.440 --> 00:01:52.920]  原來在耶穌出生之前五百多年
[00:01:52.920 --> 00:01:58.440]  猶太人亡國,被巴比倫王捉了去巴比倫
[00:01:58.440 --> 00:02:03.840]  過了七十年
[00:02:03.840 --> 00:02:10.920]  波斯王即位,准許猶太人回耶路撒冷重建聖殿
[00:02:10.920 --> 00:02:13.320]  猶太人學了一個功課
[00:02:13.320 --> 00:02:19.080]  他們知道我們亡國的原因是違背了神的話
[00:02:19.080 --> 00:02:20.960]  這個想法是對的
[00:02:20.960 --> 00:02:26.320]  自此以後猶太人痛定思痛
[00:02:26.320 --> 00:02:30.520]  嚴格遵守神的話
[00:02:30.520 --> 00:02:32.120]  遵守神的話是什麼呢?
[00:02:32.120 --> 00:02:35.280]  就是舊約摩西的律法
[00:02:35.280 --> 00:02:37.840]  但是他嚴格到一個地步
[00:02:37.840 --> 00:02:39.640]  就矯枉過正
[00:02:39.640 --> 00:02:42.560]  摩西沒有講的,他都整出來
[00:02:42.560 --> 00:02:46.000]  以後幾百年
[00:02:46.000 --> 00:02:48.520]  他回到耶路撒冷之後
[00:02:48.520 --> 00:02:52.120]  公元前516年
[00:02:52.120 --> 00:02:54.480]  之後幾百年
[00:02:54.480 --> 00:02:59.280]  他們大部分時間都在外族的統治之下
[00:02:59.280 --> 00:03:03.360]  他們面對很多不同的文化衝擊
[00:03:03.360 --> 00:03:07.680]  令到那些人被這些文化拉扯
[00:03:07.680 --> 00:03:11.040]  這些猶太人的宗教領袖就擔心
[00:03:11.040 --> 00:03:14.680]  他們受到外面文化的影響
[00:03:14.680 --> 00:03:17.520]  尤其是希臘文化
[00:03:17.520 --> 00:03:21.200]  希臘文化是最先進、最有吸引力的
[00:03:21.200 --> 00:03:22.880]  等於我們香港
[00:03:22.880 --> 00:03:25.760]  如果大家的年紀好像我差不多的話
[00:03:25.760 --> 00:03:28.360]  那你就記得50年前
[00:03:28.360 --> 00:03:30.840]  50年前,我十幾歲的時候
[00:03:30.840 --> 00:03:36.720]  50年前香港人最仰慕的是美國的文化
[00:03:36.720 --> 00:03:39.360]  香煙、文斯頓、美國製
