
[00:00:00.000 --> 00:00:01.320]  好,各位電影節目,你們好!
[00:00:01.320 --> 00:00:04.280]  很高興和大家分享《神教話語》
[00:00:04.280 --> 00:00:07.760]  熟悉我的人都知道,我是一個戲迷,很喜歡看電影
[00:00:07.760 --> 00:00:11.120]  《投奔怒海》其實是一套電影
[00:00:11.120 --> 00:00:13.120]  我想問有多少人看過這套電影?
[00:00:13.120 --> 00:00:15.560]  不是很多人
[00:00:15.560 --> 00:00:20.360]  為甚麼呢?因為這套電影是1982年首映的
[00:00:20.360 --> 00:00:21.960]  即是四十年前
[00:00:21.960 --> 00:00:25.600]  你沒有看過,證明你是年幼的
[00:00:26.160 --> 00:00:32.800]  這套電影的名稱其實是由金庸所提名的
[00:00:32.800 --> 00:00:37.720]  是許鞍華導演的《越南三部曲》的最後一部
[00:00:37.720 --> 00:00:42.200]  第一部是在港台,當役的港台
[00:00:42.200 --> 00:00:44.040]  拍攝的是《越南難民》
[00:00:44.040 --> 00:00:47.040]  第二部是周潤發做主角
[00:00:47.040 --> 00:00:48.360]  知不知道是甚麼?
[00:00:48.360 --> 00:00:49.960]  講越南殺手
[00:00:49.960 --> 00:00:53.080]  《胡月的故事》
[00:00:53.960 --> 00:00:56.240]  第三部就是《投奔怒海》
[00:00:56.240 --> 00:00:58.680]  當時的主角是林子祥
[00:00:58.680 --> 00:01:03.000]  有一個《四大天王之一》第一部電影
[00:01:03.000 --> 00:01:06.120]  劉德華就是拍攝這部電影
[00:01:06.120 --> 00:01:15.880]  那時候當年非常賣座
[00:01:15.880 --> 00:01:20.600]  票房是收1547萬元
[00:01:21.120 --> 00:01:25.760]  你想想當年1547萬是一個很大的數目
[00:01:25.760 --> 00:01:33.200]  亦是被列為香港一百部電影中值得看的其中一部
[00:01:33.200 --> 00:01:35.960]  所以大家有機會可以來這裡看
[00:01:35.960 --> 00:01:37.880]  這套電影是講甚麼呢?
[00:01:37.880 --> 00:01:41.200]  就是當時越南有南越和北越
[00:01:41.200 --> 00:01:46.040]  雖然美國來幫越南,但終於輸了
[00:01:46.040 --> 00:01:49.600]  結果有很多人懼怕而離開
[00:01:50.160 --> 00:01:51.440]  對香港有很大影響
[00:01:51.440 --> 00:01:54.440]  第一艘難民船來到香港的時候
[00:01:54.440 --> 00:01:58.320]  香港人是非常非常關心這些人
[00:01:58.320 --> 00:02:01.240]  在西環海旁迎接他們
[00:02:01.240 --> 00:02:04.920]  誰知因為這麼好的行動
[00:02:04.920 --> 00:02:08.320]  就引來更多更多人來香港
[00:02:08.320 --> 00:02:10.760]  不斷的人投奔怒海
[00:02:10.760 --> 00:02:13.800]  現在成為豪宅區的就是白石
[00:02:13.800 --> 00:02:16.920]  但白石當日是難民營
[00:02:17.400 --> 00:02:20.120]  後來要困住這班越南人
[00:02:20.120 --> 00:02:22.040]  裡面都有很多衝突
[00:02:22.040 --> 00:02:24.920]  後來聯合國欠香港很多錢
[00:02:24.920 --> 00:02:27.560]  後來越南終於平靜了
[00:02:27.560 --> 00:02:29.560]  人們就可以回去
[00:02:29.560 --> 00:02:31.760]  香港就會送他們走
[00:02:31.760 --> 00:02:35.240]  而且每一個人有500元美金在獎賞
[00:02:35.240 --> 00:02:37.160]  很開心你離開了
[00:02:37.160 --> 00:02:40.880]  這套電影就叫做《投奔怒海》
[00:02:40.880 --> 00:02:44.480]  當然我今天講的不是這套電影
[00:02:44.840 --> 00:02:48.920]  剛才讀完經文是彼得投奔怒海
[00:02:48.920 --> 00:02:51.560]  彼得走在海面上
[00:02:51.560 --> 00:02:53.400]  如果你留意到的時候
[00:02:53.400 --> 00:02:55.200]  其實這裡有兩個神蹟
[00:02:55.200 --> 00:02:58.080]  第一個就是主耶穌走在海上
[00:02:58.080 --> 00:03:01.160]  我們要看看背景是什麼
[00:03:01.160 --> 00:03:05.800]  原來當時耶穌的心情非常沉重
[00:03:05.800 --> 00:03:11.160]  因為祂的很好的使命夥伴
[00:03:11.160 --> 00:03:13.560]  撕駛約翰被殺
[00:03:14.440 --> 00:03:15.840]  為什麼撕駛約翰被殺
[00:03:15.840 --> 00:03:19.400]  因為撕駛約翰指責當時的權貴
[00:03:19.400 --> 00:03:22.600]  當時的王犯了奸淫的罪
[00:03:22.600 --> 00:03:25.280]  但是你知道有權力的人
[00:03:25.280 --> 00:03:28.080]  是不喜歡聽到反對的聲音的
[00:03:28.080 --> 00:03:30.000]  縱使是一把聲音
[00:03:30.000 --> 00:03:32.320]  都要把它滅聲和滅人
[00:03:32.320 --> 00:03:35.680]  終於撕駛約翰因為指責當時的王
[00:03:35.680 --> 00:03:38.040]  所以被捕下獄
[00:03:38.040 --> 00:03:41.200]  後來更加被斬頭
[00:03:42.320 --> 00:03:45.520]  當耶穌知道撕駛約翰被殺的時候
[00:03:45.520 --> 00:03:48.800]  祂的心情非常沉重
[00:03:48.800 --> 00:03:50.880]  於是跟門徒說
[00:03:50.880 --> 00:03:54.360]  我們去一些安靜的地方
[00:03:54.360 --> 00:03:57.320]  帶人去休息休息
[00:03:57.320 --> 00:03:59.160]  想沉澱下來
[00:03:59.160 --> 00:04:04.440]  但是當時的群眾很喜歡聽耶穌說話
