
[00:00:00.000 --> 00:00:03.700]  我想跟大家在思想世代委員之前
[00:00:03.700 --> 00:00:05.860]  我想先戴個頭盔
[00:00:05.860 --> 00:00:07.640]  就是今天所講述的經文
[00:00:07.640 --> 00:00:11.740]  其實不是直接去講關於性格的
[00:00:11.740 --> 00:00:13.340]  不是直接地講關於性格
[00:00:13.340 --> 00:00:17.540]  不過在我思考性格這個主題的時候
[00:00:17.540 --> 00:00:21.540]  奇妙地讀到這段經文是有所得著的
[00:00:21.540 --> 00:00:25.140]  但是怎樣地有所得著有所看法呢
[00:00:25.140 --> 00:00:27.600]  我盡量用我的能力
[00:00:27.600 --> 00:00:29.840]  用我僅有的語言去解釋給大家聽
[00:00:29.840 --> 00:00:31.840]  也是今天我想分享的東西
[00:00:31.840 --> 00:00:34.040]  我們先看今天的經文
[00:00:34.040 --> 00:00:34.940]  我們先看今天的經文
[00:00:34.940 --> 00:00:38.740]  就在《羅馬書》四章十三至二十五節
[00:00:38.740 --> 00:00:40.940]  《羅馬書》四章十三至二十五節
[00:00:40.940 --> 00:00:46.440]  我們就一起來讀全部這裡的十三節的經文
[00:00:46.440 --> 00:00:48.740]  由十三到第二十五節
[00:00:48.740 --> 00:00:50.440]  我們一二三起
[00:00:50.440 --> 00:00:54.640]  因為神認許阿伯拉罕和他後裔
[00:00:54.640 --> 00:00:56.840]  必得承受世界
[00:00:56.840 --> 00:01:01.140]  不是因律法乃是因信而得的義
[00:01:01.140 --> 00:01:05.340]  一是屬乎律法的人才為難草事
[00:01:05.340 --> 00:01:07.440]  信就歸於虛空
[00:01:07.440 --> 00:01:09.940]  認許也就廢棄了
[00:01:09.940 --> 00:01:13.140]  因為律法是惹動憤怒的
[00:01:13.140 --> 00:01:15.140]  那裡沒有律法
[00:01:15.140 --> 00:01:17.440]  那裡就沒有過犯
[00:01:17.440 --> 00:01:21.440]  所以人得為後事是本乎信
[00:01:21.440 --> 00:01:23.640]  因此就屬乎因
[00:01:23.640 --> 00:01:27.640]  叫認許定然歸給一切後裔
[00:01:27.640 --> 00:01:30.740]  不但歸給那屬乎律法的
[00:01:30.740 --> 00:01:34.840]  也歸給那考法阿伯拉罕之信的
[00:01:34.840 --> 00:01:39.040]  阿伯拉罕所信的是那叫四人復活
[00:01:39.040 --> 00:01:41.640]  使無變為有的神
[00:01:41.640 --> 00:01:45.440]  他在主面前作我們世人的父
[00:01:45.440 --> 00:01:47.240]  如經上所記
[00:01:47.240 --> 00:01:50.440]  我已經立理作多個的父
[00:01:50.440 --> 00:01:53.340]  他在無可指望的時候
[00:01:53.340 --> 00:01:55.640]  因信仍有指望
[00:01:55.640 --> 00:01:58.140]  就得以作多個的父
[00:01:58.140 --> 00:02:00.240]  正如先前所說
[00:02:00.240 --> 00:02:03.040]  你的後裔將要如此
[00:02:03.040 --> 00:02:05.640]  他將近八歲的時候
[00:02:05.640 --> 00:02:09.640]  雖然想到自己的身體如同已死
[00:02:09.640 --> 00:02:12.740]  撒拉的生育已經斷絕
[00:02:12.740 --> 00:02:15.840]  他的信心還是不軟弱
[00:02:15.840 --> 00:02:18.640]  並且仰望他的命運
[00:02:18.640 --> 00:02:22.040]  總沒有因不信心累起而話
[00:02:22.040 --> 00:02:25.240]  反倒因信心累得堅固
[00:02:25.240 --> 00:02:27.240]  將榮耀歸給神
[00:02:27.240 --> 00:02:32.040]  且滿心相信神所認許的必能造成
[00:02:32.040 --> 00:02:35.440]  所以這就算為他的義
[00:02:35.440 --> 00:02:38.240]  算為他義的這句話
[00:02:38.240 --> 00:02:40.840]  不是單為他舍的
[00:02:40.840 --> 00:02:43.240]  也是為我們將來
[00:02:43.240 --> 00:02:45.840]  算為義之人舍的
[00:02:45.840 --> 00:02:48.040]  就是我們這信神
[00:02:48.040 --> 00:02:51.940]  使我們的主耶穌從死裡復活的人
[00:02:51.940 --> 00:02:54.040]  耶穌比較吸引
[00:02:54.040 --> 00:02:56.240]  是為了我們的過犯
[00:02:56.240 --> 00:02:59.140]  復活是為叫我們清兒
[00:02:59.140 --> 00:02:59.740]  好
[00:02:59.740 --> 00:03:01.340]  讀完這段經文
[00:03:01.340 --> 00:03:04.140]  我相信大家就會明白我剛才所說的
[00:03:04.140 --> 00:03:05.940]  這段經文真的很難理解
[00:03:05.940 --> 00:03:08.240]  怎樣跟性格有關係
[00:03:08.240 --> 00:03:12.340]  因為其實在我們看這段經文當中
[00:03:12.340 --> 00:03:14.840]  其實很多的就是在說關於阿伯拉罕
[00:03:14.840 --> 00:03:18.440]  神的認許、義、信心等等這些主題
[00:03:18.440 --> 00:03:21.640]  但是容許我慢慢地去解釋究竟
[00:03:21.640 --> 00:03:23.540]  思路歷程是怎樣
