
[00:00:00.000 --> 00:00:12.300]  記者:或者開始之先容許牧師問一個冒犯性私人的問題
[00:00:12.300 --> 00:00:16.780]  記者:或者開始之先容許牧師問一個冒犯性的私人的問題
[00:00:16.780 --> 00:00:27.080]  記者:你們有沒有試過欠債累累
[00:00:27.080 --> 00:00:29.680]  記者:不知道大家有沒有試過欠債累累
[00:00:29.680 --> 00:00:34.540]  記者:並且立定心智 怎麼都不還的
[00:00:34.540 --> 00:00:40.320]  記者:更加若無其事 當沒有事發生
[00:00:40.320 --> 00:00:44.760]  記者:你想一下 如果我是大家的牧師
[00:00:44.760 --> 00:00:47.880]  記者:我怎麼去評價你們的行為呢?
[00:00:47.880 --> 00:00:52.040]  記者:你們真的很有型 很有性格
[00:00:52.040 --> 00:00:56.640]  記者:我很羨慕你 教會以你為榮
[00:00:56.640 --> 00:01:01.120]  記者:我們應該都效法你的榜樣
[00:01:01.120 --> 00:01:04.260]  記者:如果牧師真是這樣想法的話
[00:01:04.260 --> 00:01:08.200]  記者:我相信你們有足夠的理由相信牧師的價值觀相當牢固
[00:01:08.200 --> 00:01:12.520]  記者:我相信你們有足夠的理由相信牧師的價值觀相當牛
[00:01:12.520 --> 00:01:15.960]  記者:甚至你們要推翻上星期的月會
[00:01:15.960 --> 00:01:17.960]  記者:是否還要聘任這個人做牧師呢?
[00:01:17.960 --> 00:01:21.040]  記者:甚至大家可能要推翻上個月的約會
[00:01:21.040 --> 00:01:25.840]  記者:要想一下是否還要繼續請他做牧師
[00:01:25.840 --> 00:01:29.360]  記者:今天早上我很想像家裡人那樣去分享
[00:01:29.360 --> 00:01:32.400]  記者:今天早上我很想像家裡人那樣去分享
[00:01:32.400 --> 00:01:37.480]  記者:家裡人就容許我講得白一點
[00:01:37.480 --> 00:01:40.360]  記者:講得坦白一點
[00:01:40.360 --> 00:01:44.800]  記者:我上任大概五個月了
[00:01:44.800 --> 00:01:48.800]  記者:也都分別約了不同的頂姐妹去傾談 去吃飯
[00:01:48.800 --> 00:01:53.080]  記者:也都分別約了不同的弟兄姐妹去談話 去吃飯
[00:01:53.080 --> 00:01:57.520]  記者:很多愛教會的頂姐妹私底下跟我反映教會的一些情況
[00:01:57.520 --> 00:02:01.800]  記者:很多愛教會的弟兄姐妹私底下跟我反映了一些教會的情況
[00:02:01.800 --> 00:02:03.800]  記者:很多愛教會的弟兄姐妹私底下跟我反映了一些教會的情況
[00:02:03.800 --> 00:02:05.800]  記者:當然教會的問題累積了很久了
