
[00:00:00.000 --> 00:00:05.000]  真的是看到我們弟兄姊妹 朋友們
[00:00:05.000 --> 00:00:08.000]  我真的很欣慰
[00:00:08.000 --> 00:00:12.000]  這個大年初四吧
[00:00:12.000 --> 00:00:15.000]  初三 跟各位拜個晚年
[00:00:15.000 --> 00:00:19.000]  我常常喜歡講說2017年
[00:00:19.000 --> 00:00:21.000]  或者是5777年
[00:00:21.000 --> 00:00:26.000]  七是完全 或者一個完成
[00:00:26.000 --> 00:00:29.000]  今年我們進入2018
[00:00:29.000 --> 00:00:33.000]  就是事情完成了 事情完全了
[00:00:33.000 --> 00:00:37.000]  就要 新的一輪就要開始
[00:00:37.000 --> 00:00:41.000]  所以讓我們進入這新的一年
[00:00:41.000 --> 00:00:44.000]  那麼有許多人在說
[00:00:44.000 --> 00:00:48.000]  有一個double door, double blessing
[00:00:48.000 --> 00:00:53.000]  有一個兩扇門 要為我們敞開
[00:00:53.000 --> 00:00:56.000]  但是聖經上面說 門前負有罪惡
[00:00:56.000 --> 00:00:59.000]  所以我們要當心到
[00:00:59.000 --> 00:01:01.000]  那麼雙倍的祝福
[00:01:01.000 --> 00:01:04.000]  等著我們過去來領受
[00:01:04.000 --> 00:01:06.000]  但是我們要注意了
[00:01:06.000 --> 00:01:09.000]  因為我們常常有的時候
[00:01:09.000 --> 00:01:13.000]  祝福跟咒詛分不清楚
[00:01:13.000 --> 00:01:15.000]  我有的時候喜歡講
[00:01:15.000 --> 00:01:18.000]  假如今天 神
[00:01:18.000 --> 00:01:22.000]  不應該說是神 給我
[00:01:22.000 --> 00:01:24.000]  大魚大肉 美酒美女
[00:01:24.000 --> 00:01:27.000]  哇 神 我感謝祢 我祝福祢
[00:01:27.000 --> 00:01:29.000]  祢祝福我
[00:01:29.000 --> 00:01:31.000]  那真是祝福嗎
[00:01:31.000 --> 00:01:34.000]  那是咒詛 是不是
[00:01:34.000 --> 00:01:38.000]  如果今天神給我
[00:01:38.000 --> 00:01:40.000]  我還以為是撒旦魔鬼
[00:01:40.000 --> 00:01:42.000]  在那裏打擊我
[00:01:42.000 --> 00:01:45.000]  給我苦難 給我困惑
[00:01:45.000 --> 00:01:47.000]  給我病痛 等
[00:01:47.000 --> 00:01:52.000]  殊不知 是神在磨練我
[00:01:52.000 --> 00:01:55.000]  神 祂看我
[00:01:55.000 --> 00:01:58.000]  祂說 再大的難事
[00:01:58.000 --> 00:02:01.000]  我不是會帶你過去嗎
[00:02:01.000 --> 00:02:04.000]  如果我能夠平靜風浪
[00:02:04.000 --> 00:02:07.000]  我不是能夠叫你的身體好起來嗎
[00:02:07.000 --> 00:02:10.000]  我如果能夠
[00:02:10.000 --> 00:02:13.000]  讓山一開 山就一開
[00:02:13.000 --> 00:02:16.000]  讓水止住 水就止住
[00:02:16.000 --> 00:02:19.000]  讓紅海分開 紅海就分開
[00:02:19.000 --> 00:02:23.000]  你這點小事算什麼呢
[00:02:23.000 --> 00:02:25.000]  所以我們自己就來到神的面前
[00:02:25.000 --> 00:02:27.000]  說 神啊
[00:02:27.000 --> 00:02:29.000]  我最清楚
[00:02:29.000 --> 00:02:33.000]  因為我一路走過來
[00:02:33.000 --> 00:02:36.000]  一路是崎嶇難行
[00:02:36.000 --> 00:02:40.000]  但是真的是像俗話說的
[00:02:40.000 --> 00:02:44.000]  關關難過 關關過
[00:02:44.000 --> 00:02:48.000]  真的是沒有什麼過不了的事情
[00:02:48.000 --> 00:02:53.000]  沒有什麼不能夠走下去的路
[00:02:53.000 --> 00:02:55.000]  感謝神 讚美神
[00:02:55.000 --> 00:02:59.000]  今天我要來為各位分享的是
[00:02:59.000 --> 00:03:02.000]  標竿人生的第二講
[00:03:02.000 --> 00:03:06.000]  這第三個禮拜我都要講標竿人生
[00:03:06.000 --> 00:03:10.000]  上次我講的第一講是說
[00:03:10.000 --> 00:03:13.000]  我究竟為什麼而活
[00:03:13.000 --> 00:03:15.000]  我們活在這個世界上面
[00:03:15.000 --> 00:03:16.000]  你有沒有想過
[00:03:16.000 --> 00:03:18.000]  如果只是為了吃喝玩樂
[00:03:18.000 --> 00:03:21.000]  或者是傳宗接代
[00:03:21.000 --> 00:03:23.000]  那你也吃過喝過玩過樂過
[00:03:23.000 --> 00:03:25.000]  你的代也傳了
[00:03:25.000 --> 00:03:28.000]  可以走了吧 是不是
[00:03:28.000 --> 00:03:31.000]  但是這不是神的目的
[00:03:31.000 --> 00:03:34.000]  就好像我以前
[00:03:34.000 --> 00:03:37.000]  我根本從小我就說要做工程師
[00:03:37.000 --> 00:03:39.000]  誰知道神祂在我身上
[00:03:39.000 --> 00:03:42.000]  也有祂的意識
[00:03:42.000 --> 00:03:45.000]  但是當我願意順服
[00:03:45.000 --> 00:03:48.000]  願意來照著祂路去走的時候
[00:03:48.000 --> 00:03:51.000]  祂就一路保守我 帶領我
[00:03:51.000 --> 00:03:53.000]  真的感謝神 讚美神
[00:03:53.000 --> 00:03:55.000]  所以你究竟為何而活
[00:03:55.000 --> 00:03:58.000]  我究竟為何而活
