
[00:00:00.000 --> 00:00:05.480]  我們讀一段聖經,馬太福音第五章十四節到十六節
[00:00:05.480 --> 00:00:10.320]  主佑說你們是世上的光,曾照在山上,是不能夠隱藏的
[00:00:10.320 --> 00:00:15.520]  人點燈不放在鬥底下,是放在燈臺上,就照亮一家的人
[00:00:15.520 --> 00:00:17.100]  十六節我們一同來唸,來
[00:00:17.100 --> 00:00:22.400]  你們的光也當這樣照在人前,叫他們看見你們的好行爲
[00:00:22.400 --> 00:00:25.840]  便將榮耀歸給你們在天上的父母
[00:00:25.840 --> 00:00:27.840]  我們就讀到這裏
[00:00:27.840 --> 00:00:31.360]  今天你走進教會,你一定覺得很熱鬧
[00:00:31.360 --> 00:00:33.600]  因爲外面好多帳篷
[00:00:33.600 --> 00:00:38.440]  有很多我們教會轉化處的事工在那裏展現
[00:00:38.440 --> 00:00:43.960]  我們希望你在離開教會的時候有機會去瀏覽一下
[00:00:43.960 --> 00:00:46.960]  如果你有機會去看,你就會發現
[00:00:46.960 --> 00:00:50.360]  這些年我們看見我們教會轉化處的事工
[00:00:50.360 --> 00:00:53.280]  實在發展得非常的快速
[00:00:53.280 --> 00:00:56.880]  而且涵蓋的範圍是越來越廣
[00:00:56.880 --> 00:01:01.440]  我們對社區的影響力也是越來越深遠
[00:01:01.440 --> 00:01:02.920]  回想這二十多年來
[00:01:02.920 --> 00:01:08.600]  我們生命和真是從一個很小的開始成長到如今
[00:01:08.600 --> 00:01:14.360]  二十多年前我們怎麼想得到今天這樣的景況呢
[00:01:14.360 --> 00:01:19.880]  神的帶領永遠是超過我們所求所想的
[00:01:19.880 --> 00:01:25.760]  當時我們所想的只不過是一個堂會的建造而已
[00:01:25.760 --> 00:01:33.120]  可是神所想的卻是一個整個影響世代的一個movement
[00:01:33.120 --> 00:01:36.120]  當我們回顧這些年我們走過的路
[00:01:36.120 --> 00:01:41.480]  我告訴你我們的心對神不能夠不心存敬畏
[00:01:41.480 --> 00:01:48.920]  因爲生命和的意象是遠遠大過當時我們所想象的
[00:01:48.920 --> 00:01:54.640]  生命和不但是有一個建造神榮耀教會的使命
[00:01:54.640 --> 00:02:00.880]  不但是有一個福音能夠傳遍萬國萬民的使命
[00:02:00.880 --> 00:02:06.880]  生命和更是有一個影響世代的社區使命
[00:02:06.880 --> 00:02:11.600]  這個社區的使命就是要將神生命的江河
[00:02:11.600 --> 00:02:15.120]  能夠湧流到社區每一個角落
[00:02:15.120 --> 00:02:18.640]  帶來醫治並且帶來轉化的大能
[00:02:18.640 --> 00:02:19.720]  Amen
[00:02:19.720 --> 00:02:26.160]  那你說我們要怎麼樣能夠來完成神對教會這樣一個社區的使命呢
[00:02:26.160 --> 00:02:28.360]  今天早上從三方面跟大家來分享
[00:02:28.360 --> 00:02:32.120]  首先第一個我們一定要明白神的心意
[00:02:32.120 --> 00:02:35.720]  跟你們說要明白神的心意
[00:02:35.720 --> 00:02:38.800]  歷代至上第十二章三十二節這裏說
[00:02:38.800 --> 00:02:42.840]  以撒迦茲派有兩百族長都通達實物
[00:02:42.840 --> 00:02:45.320]  知道一些人所當行的
[00:02:45.320 --> 00:02:48.600]  他們族弟兄都聽從他們的命令
[00:02:48.600 --> 00:02:52.120]  我們看見在這裏講到以撒迦茲派
[00:02:52.120 --> 00:02:56.200]  他們的族長之所以有影響力
[00:02:56.200 --> 00:02:59.080]  乃是因爲他們通達實物
[00:02:59.080 --> 00:03:02.960]  而且知道當行的事情
[00:03:02.960 --> 00:03:06.760]  我想同樣今天我們如果想要影響世代
[00:03:06.760 --> 00:03:12.640]  我們也必須真的明白神對這個世代的心意是什麼
[00:03:12.640 --> 00:03:16.400]  兩方面第一個我們看見我們要明白神對教會的心意
[00:03:16.400 --> 00:03:20.240]  跟你們說要明白神對教會的心意
[00:03:20.240 --> 00:03:24.000]  我深深地相信今天我們剛纔所讀的經文馬太福音
[00:03:24.000 --> 00:03:26.320]  第五章十四到十六節
[00:03:26.320 --> 00:03:32.200]  正是神對現今世代所要傳講的一個信息
[00:03:32.200 --> 00:03:36.000]  五章十四節這裏說主說你們是世上的光
[00:03:36.000 --> 00:03:40.360]  塵燥在山上是不能夠隱藏的
[00:03:40.360 --> 00:03:44.400]  你知道在過去教會一直把自己定位在
[00:03:44.400 --> 00:03:48.840]  孤立在一個角落裏面的一個象牙塔
[00:03:48.840 --> 00:03:53.800]  以至於教會在過去對社區跟城市你們的事情
[00:03:53.800 --> 00:03:56.200]  總是不聞不問
