
[00:00:00.000 --> 00:00:02.800]  你們有沒有經歷過有些人心急到
[00:00:02.800 --> 00:00:06.280]  好像拿著車貼著你的車尾一樣
[00:00:06.280 --> 00:00:08.280]  是不是?
[00:00:08.280 --> 00:00:09.280]  很多
[00:00:09.280 --> 00:00:11.040]  其實這些自己開著開著
[00:00:11.040 --> 00:00:13.000]  我也會有點暴躁
[00:00:13.000 --> 00:00:16.520]  我也忍不住他們
[00:00:16.520 --> 00:00:18.840]  想想我剛剛來拍攝的時候
[00:00:18.840 --> 00:00:21.160]  有兩件事情
[00:00:21.160 --> 00:00:24.040]  我真的受不住、受不了
[00:00:24.040 --> 00:00:26.040]  第一
[00:00:26.040 --> 00:00:29.000]  我試過家裡的寬頻上網服務
[00:00:29.000 --> 00:00:32.120]  停了超過一個月
[00:00:32.120 --> 00:00:34.280]  嘩,什麼狀況?
[00:00:34.280 --> 00:00:37.000]  什麼服務質素?
[00:00:37.000 --> 00:00:39.640]  當然,我是香港過來的
[00:00:39.640 --> 00:00:41.560]  那幹什麼?
[00:00:41.560 --> 00:00:44.120]  一天不讓我做寬頻上網服務
[00:00:44.120 --> 00:00:46.440]  每天都打電話去
[00:00:46.440 --> 00:00:47.880]  每天都打電話
[00:00:47.880 --> 00:00:49.960]  打得多
[00:00:49.960 --> 00:00:50.800]  每一次不要緊
[00:00:50.800 --> 00:00:53.160]  每一次都是不同校服務員的
[00:00:53.160 --> 00:00:54.920]  可能有些是本地的
[00:00:54.920 --> 00:00:56.000]  有些是紐西蘭的
[00:00:56.000 --> 00:00:57.280]  有些是菲律賓的
[00:00:57.280 --> 00:00:59.120]  有些是印度的
[00:00:59.120 --> 00:01:01.200]  接過很多
[00:01:01.200 --> 00:01:02.400]  但是
[00:01:02.400 --> 00:01:04.960]  他們都有一個統一說法
[00:01:04.960 --> 00:01:06.320]  處理中的了
[00:01:06.320 --> 00:01:08.920]  處理中的了
[00:01:08.920 --> 00:01:10.680]  嘩,我真的忍不住
[00:01:10.680 --> 00:01:12.520]  後期我都不斷地
[00:01:12.520 --> 00:01:13.600]  你再不弄好
[00:01:13.600 --> 00:01:14.360]  我會停止你
[00:01:14.360 --> 00:01:15.600]  不用你的服務
[00:01:15.600 --> 00:01:16.760]  你再不弄好
[00:01:16.760 --> 00:01:17.880]  我會去投訴你
[00:01:17.880 --> 00:01:22.080]  我會打去消費者的地方投訴你
[00:01:22.080 --> 00:01:25.920]  Channel7我都要投訴你
[00:01:25.920 --> 00:01:27.880]  其實是沒有用的
[00:01:27.880 --> 00:01:28.600]  別人都要攔你
[00:01:28.600 --> 00:01:30.880]  你去投訴
[00:01:30.880 --> 00:01:31.640]  繼續都是這樣
[00:01:31.640 --> 00:01:34.840]  超過一個月都沒有寬頻
[00:01:34.840 --> 00:01:37.480]  第二件事
[00:01:37.480 --> 00:01:39.760]  我來到柏斯第一個星期
[00:01:39.760 --> 00:01:41.200]  通常大家都會的
[00:01:41.200 --> 00:01:43.880]  去銀行開銀行戶口
[00:01:43.880 --> 00:01:45.200]  嘩,真是正
[00:01:45.200 --> 00:01:46.640]  這裡去開銀行戶口
[00:01:46.640 --> 00:01:53.960]  那些職員帶我去他的房間坐下來
[00:01:53.960 --> 00:01:56.840]  這些小客戶在香港哪有這樣的待遇
[00:01:56.840 --> 00:01:58.360]  VIP的待遇
[00:01:58.360 --> 00:01:59.920]  嘩,我真的覺得很幸福
[00:01:59.920 --> 00:02:01.240]  這樣對待我
[00:02:01.240 --> 00:02:02.480]  坐下來
[00:02:02.480 --> 00:02:04.840]  開始他就問我
[00:02:04.840 --> 00:02:06.600]  聊聊天來了多久
[00:02:06.600 --> 00:02:07.720]  在哪裏來
[00:02:07.720 --> 00:02:08.320]  香港來嗎
[00:02:08.320 --> 00:02:10.200]  嘩,香港怎樣
[00:02:10.200 --> 00:02:11.760]  你覺得這裡怎樣
[00:02:11.760 --> 00:02:13.880]  適應成怎樣
[00:02:13.880 --> 00:02:16.400]  嘩,真是多友善
[00:02:16.400 --> 00:02:19.840]  簡直不是一般的客戶服務
[00:02:19.840 --> 00:02:21.480]  真是正
[00:02:21.480 --> 00:02:24.040]  聊到差不多
[00:02:24.040 --> 00:02:24.840]  我看看時間
[00:02:24.840 --> 00:02:27.080]  已經半個小時了
[00:02:27.080 --> 00:02:28.600]  他還一邊聊一邊慢慢寫
[00:02:28.600 --> 00:02:29.320]  慢慢做
[00:02:29.320 --> 00:02:30.680]  慢慢打那些東西
[00:02:30.680 --> 00:02:31.280]  接著我跟他說
[00:02:31.280 --> 00:02:31.760]  不好意思
[00:02:31.760 --> 00:02:33.160]  我一會兒也有另一個預約
[00:02:33.160 --> 00:02:34.000]  我要去的
[00:02:34.000 --> 00:02:35.680]  他說好啊好啊
[00:02:35.680 --> 00:02:37.040]  就快的了
[00:02:37.040 --> 00:02:37.920]  就快就快
[00:02:37.920 --> 00:02:41.760]  他繼續都是這樣聊的
[00:02:41.760 --> 00:02:43.560]  接著差不多就快做好的時候
[00:02:43.560 --> 00:02:45.040]  發現原來不是開那個帳戶
[00:02:45.040 --> 00:02:47.440]  是開了那個帳戶
[00:02:47.440 --> 00:02:49.120]  結果那次我第一次的經歷
[00:02:49.120 --> 00:02:51.560]  就是用了一個小時時間
[00:02:51.560 --> 00:02:55.400]  去開這個銀行戶口
[00:02:55.400 --> 00:02:57.240]  讓我體會到
[00:02:57.240 --> 00:02:59.560]  真是這裡不可以太急
[00:02:59.560 --> 00:03:00.360]  我越是心急
[00:03:00.360 --> 00:03:01.360]  那個人越是古草
[00:03:01.360 --> 00:03:06.880]  我心裏面就一直在罵那個銀行職員
