
[00:00:00.000 --> 00:00:05.000]  請各位打開我們的程序表內頁
[00:00:05.000 --> 00:00:09.000]  我們的講道經文裏面有兩個小段
[00:00:09.000 --> 00:00:11.000]  《針研書》的十章十一至十二節
[00:00:11.000 --> 00:00:14.000]  以及《馬太福音》的六章十四至十五節
[00:00:14.000 --> 00:00:17.000]  我想邀請大家和我一同去重讀
[00:00:17.000 --> 00:00:20.000]  《針研書》十章十一至十二節
[00:00:20.000 --> 00:00:21.000]  預備起
[00:00:21.000 --> 00:00:25.000]  二人的口是生命的泉源
[00:00:25.000 --> 00:00:29.000]  惡人的口藏匿殘暴
[00:00:29.000 --> 00:00:32.000]  恨能挑其爭奪
[00:00:32.000 --> 00:00:36.000]  愛能遮掩一切過錯
[00:00:36.000 --> 00:00:39.000]  《馬太福音》六章十四十五節
[00:00:39.000 --> 00:00:43.000]  你們饒恕人的過犯
[00:00:43.000 --> 00:00:49.000]  你們的天父也必饒恕你們的過犯
[00:00:49.000 --> 00:00:51.000]  你們不要恕人
[00:00:51.000 --> 00:00:57.000]  你們的天父也必不要恕你們的過犯
[00:00:57.000 --> 00:01:02.000]  當我預備今天的講道的時候
[00:01:02.000 --> 00:01:07.000]  心裏面充滿了很多很複雜的情緒
[00:01:07.000 --> 00:01:15.000]  或者今早在你面前的李艷強同樣
[00:01:15.000 --> 00:01:18.000]  亦有很大的感觸
[00:01:18.000 --> 00:01:23.000]  我相信我和你們
[00:01:23.000 --> 00:01:28.000]  心裏面都會圍著眼前的現實
[00:01:28.000 --> 00:01:34.000]  眼前的香港有很複雜的情緒
[00:01:34.000 --> 00:01:37.000]  亦有很多人可能都和我一樣
[00:01:37.000 --> 00:01:44.000]  在昨晚看到電視畫面傳來的種種的場面
[00:01:44.000 --> 00:01:47.000]  我們都會難過、憂傷
[00:01:47.000 --> 00:01:49.000]  我們都會憤怒
[00:01:49.000 --> 00:01:56.000]  我們很不安
[00:01:56.000 --> 00:02:02.000]  香港進入了一個很特別的時刻
[00:02:02.000 --> 00:02:08.000]  而教會同樣面對著一個很特別的挑戰
[00:02:08.000 --> 00:02:13.000]  亦都是很巨大的挑戰
[00:02:13.000 --> 00:02:15.000]  這個挑戰
[00:02:15.000 --> 00:02:21.000]  我相信我在香港多年來從未經歷過
[00:02:21.000 --> 00:02:25.000]  是人與人之間的關係的破裂
[00:02:25.000 --> 00:02:32.000]  用撕裂這個詞的確是非常準確
[00:02:32.000 --> 00:02:35.000]  今日的香港
[00:02:35.000 --> 00:02:42.000]  人際之間那種敵意仇恨所帶來的衝擊
[00:02:42.000 --> 00:02:49.000]  所帶來的破壞就好像一個玻璃球相撞之後粉碎一樣
[00:02:49.000 --> 00:02:52.000]  碎得非常之厲害
[00:02:52.000 --> 00:02:57.000]  而在這個轉變的時刻當中
[00:02:57.000 --> 00:03:07.000]  有什麼力量能夠將這個破碎的玻璃球重新黏合呢?
[00:03:07.000 --> 00:03:10.000]  這是我一直思考的問題
[00:03:10.000 --> 00:03:12.000]  對於教會來說
[00:03:12.000 --> 00:03:15.000]  在這個日子當中
[00:03:15.000 --> 00:03:24.000]  有什麼力量讓我們能夠再次將很多很多破碎的心靈黏合
[00:03:24.000 --> 00:03:28.000]  而黏合的對象是誰?
[00:03:28.000 --> 00:03:33.000]  黏合的力量從何而來呢?
