
[00:00:00.000 --> 00:00:04.800]  今天講到的題目的主題就是「少的真的不少」
[00:00:04.800 --> 00:00:09.000]  是回應差泉月當中所講的「小不少」
[00:00:09.000 --> 00:00:12.120]  背後藉著希望可以看這段經文
[00:00:12.120 --> 00:00:14.680]  《馬太福音書》二十章一至十六節
[00:00:14.680 --> 00:00:20.080]  看到天父對萬民的心是怎樣
[00:00:20.080 --> 00:00:26.160]  「小不少」是「少的真的事不少」
[00:00:26.160 --> 00:00:29.560]  意思就是講到香港少數族群
[00:00:29.560 --> 00:00:31.720]  並非不重要
[00:00:31.720 --> 00:00:34.560]  反過來說帶出兩點
[00:00:34.560 --> 00:00:37.080]  第一個就是一個意識形態
[00:00:37.080 --> 00:00:42.240]  所講的就是我們不可以低看香港的少數族群
[00:00:42.240 --> 00:00:44.800]  我們要看他們看得重要
[00:00:44.800 --> 00:00:47.680]  第二點其實可以這樣說是一個挑戰
[00:00:47.680 --> 00:00:48.920]  這個挑戰就是說
[00:00:48.920 --> 00:00:50.200]  我們現在看的少數族群
[00:00:50.200 --> 00:00:53.840]  應該看得更加重要更加高
[00:00:53.840 --> 00:00:55.960]  你問為甚麼
[00:00:55.960 --> 00:00:59.240]  菲律賓姐姐就是菲律賓姐姐
[00:00:59.240 --> 00:01:03.080]  印尼的傭工就是工人
[00:01:03.080 --> 00:01:08.200]  非洲、中東、南亞裔過來的難民就是難民
[00:01:08.200 --> 00:01:10.840]  跟我們沒有甚麼關係
[00:01:10.840 --> 00:01:14.080]  所謂我們根本上沒有深入的互動
[00:01:14.080 --> 00:01:16.960]  也可以說水溝油
[00:01:16.960 --> 00:01:18.400]  或者更加說
[00:01:18.400 --> 00:01:22.040]  我們都不太看得起他們
[00:01:22.040 --> 00:01:24.000]  但是在神的角度來說
[00:01:24.000 --> 00:01:27.520]  這些我們看來看不上眼的
[00:01:27.520 --> 00:01:31.240]  但是在神的角度來說是寶貝
[00:01:31.240 --> 00:01:33.200]  為甚麼
[00:01:33.200 --> 00:01:37.480]  會不會神藉著神擺佈他們在我們當中
[00:01:37.480 --> 00:01:41.120]  是要讓我們經歷更加神奇妙的作為
[00:01:41.120 --> 00:01:43.360]  會不會神擺佈他們在我們當中
[00:01:43.360 --> 00:01:45.760]  是接出給了我們一個挑戰
[00:01:45.760 --> 00:01:47.200]  甚至一個邀請
[00:01:47.200 --> 00:01:51.040]  我們能夠將神的恩惠、慈愛、福音
[00:01:51.040 --> 00:01:53.280]  給到他們身上
[00:01:53.280 --> 00:01:56.920]  正如上週馬牧師所說的
[00:01:56.920 --> 00:02:02.360]  約那是尼美人當中一個神給他的救贖簽名
[00:02:02.360 --> 00:02:04.360]  救贖的平台、救贖的橋樑
[00:02:04.360 --> 00:02:05.920]  他們當中
[00:02:05.920 --> 00:02:09.640]  會不會神就給我們在香港的土地
[00:02:09.640 --> 00:02:11.920]  藉著神給到人在我們當中
[00:02:11.920 --> 00:02:16.120]  我們成為他的福音的橋樑
[00:02:16.120 --> 00:02:17.800]  《四代人傳》十七章二十六節
[00:02:17.800 --> 00:02:20.160]  或者二十八節這樣說
[00:02:20.160 --> 00:02:23.040]  他從一本做出萬俗的仁
[00:02:23.040 --> 00:02:27.440]  住在全地上並且預先定準
[00:02:27.440 --> 00:02:30.600]  他們的年限和所住的疆界
[00:02:30.600 --> 00:02:32.520]  叫他們尋求神
[00:02:32.520 --> 00:02:34.440]  或者可以斷摸而得
[00:02:34.440 --> 00:02:37.240]  其實他離我們各人不遠
[00:02:37.240 --> 00:02:41.480]  我們生活、動作、泉流都在乎他
[00:02:41.480 --> 00:02:44.480]  就如你們作詩的有人說
[00:02:44.480 --> 00:02:47.920]  我們也是他所生的
[00:02:47.920 --> 00:02:50.000]  如果思想當中的時候都要講到
[00:02:50.000 --> 00:02:52.480]  預先定準
[00:02:52.480 --> 00:02:54.480]  每個人在哪裡住
[00:02:54.480 --> 00:02:56.920]  住多久的年日是怎樣
[00:02:56.920 --> 00:02:58.560]  是為了什麼目標
[00:02:58.560 --> 00:03:01.960]  要他們尋求神
[00:03:01.960 --> 00:03:04.360]  如果這些少數步驟在我們當中的時候
[00:03:04.360 --> 00:03:07.040]  我們不是中國人
[00:03:07.040 --> 00:03:08.160]  即他們不是中國人
[00:03:08.160 --> 00:03:10.280]  但是當中和我們的互動
[00:03:10.280 --> 00:03:14.040]  是有神的心意在裡面
[00:03:14.040 --> 00:03:14.960]  如這樣講法
[00:03:14.960 --> 00:03:17.680]  就是說神的旨意就是希望萬民得救
[00:03:17.680 --> 00:03:21.040]  迴轉能夠敬拜、敬畏神
[00:03:21.040 --> 00:03:23.600]  所以我們可以看到
[00:03:23.600 --> 00:03:27.520]  神的掌權性是實在的
[00:03:27.520 --> 00:03:29.760]  神的救贖的本質
[00:03:29.760 --> 00:03:31.600]  你都看到出來
[00:03:31.600 --> 00:03:37.000]  就看到神對萬民的心意是怎樣
[00:03:37.000 --> 00:03:38.680]  今天的經文在《馬太福音書》
[00:03:38.680 --> 00:03:43.280]  二十章一至十六節
[00:03:43.280 --> 00:03:44.960]  請聽我讀出
[00:03:44.960 --> 00:03:49.080]  《馬太福音書》二十章第一節
[00:03:49.080 --> 00:03:51.360]  因為天國好象家主清早
[00:03:51.360 --> 00:03:52.800]  清早六點鐘
[00:03:52.800 --> 00:03:57.320]  清早去僱人進入他的葡萄園工作
[00:03:57.320 --> 00:03:59.560]  和工人講定一天的銀錢
[00:03:59.560 --> 00:04:02.400]  就打發他們進葡萄園去
[00:04:02.400 --> 00:04:04.120]  又在至初出去
[00:04:04.120 --> 00:04:04.960]  九點鐘
[00:04:04.960 --> 00:04:06.880]  看見思想患有限暫的人
[00:04:06.880 --> 00:04:07.880]  就對他們說
[00:04:07.880 --> 00:04:09.600]  你們也進葡萄園去
[00:04:09.600 --> 00:04:12.120]  所當給的我必給你們
[00:04:12.120 --> 00:04:14.120]  你們也進去了
[00:04:14.120 --> 00:04:15.680]  他們也進去了
[00:04:15.680 --> 00:04:17.640]  又在正午十二點鐘
[00:04:17.640 --> 00:04:19.120]  新初三點鐘
[00:04:19.120 --> 00:04:20.040]  又出去
[00:04:20.040 --> 00:04:24.800]  也是這樣
[00:04:24.800 --> 00:04:26.360]  若在又初出去
[00:04:26.360 --> 00:04:28.200]  看見患有人暫在那裡
[00:04:28.200 --> 00:04:29.000]  就問他們說
[00:04:29.000 --> 00:04:32.240]  你們為甚麼整天在這裡閒暫呢
[00:04:32.240 --> 00:04:33.080]  他們說
[00:04:33.080 --> 00:04:34.880]  因為沒有人顧我們
[00:04:34.880 --> 00:04:35.600]  他說
[00:04:35.600 --> 00:04:38.120]  你們也進葡萄園去
[00:04:38.120 --> 00:04:39.120]  到你晚上
[00:04:39.120 --> 00:04:40.880]  原主對管事的說
[00:04:40.880 --> 00:04:41.840]  叫工人來
[00:04:41.840 --> 00:04:43.560]  給他們工錢
