
[00:00:00.000 --> 00:00:04.700]  今日跟大家分享的一個主題叫「操練敬虔」
[00:00:04.700 --> 00:00:09.160]  聖經的經文是在提摩太前書四章八至到十節
[00:00:09.160 --> 00:00:10.680]  在這個季度的裏面
[00:00:10.680 --> 00:00:14.360]  我們成長班都是在查提摩太前書
[00:00:14.360 --> 00:00:17.960]  若果我們當中未有成長班的弟兄姊妹
[00:00:17.960 --> 00:00:20.560]  盼望你都能夠可以參加
[00:00:20.560 --> 00:00:23.480]  以致我們去研讀神自己的話語
[00:00:23.480 --> 00:00:25.720]  得著更大的益處
[00:00:25.720 --> 00:00:29.360]  在過年每一年裏面的除夕
[00:00:29.360 --> 00:00:32.480]  都有投柱香的習俗
[00:00:32.480 --> 00:00:36.760]  投柱香
[00:00:36.760 --> 00:00:40.520]  原來需要排隊的
[00:00:40.520 --> 00:00:41.960]  很早去排隊
[00:00:41.960 --> 00:00:44.600]  你先去到十一點或十二點
[00:00:44.600 --> 00:00:47.000]  可以插到那支香
[00:00:47.000 --> 00:00:55.240]  投柱香的習俗就是向神靈奉獻第一爐香
[00:00:55.240 --> 00:01:00.240]  表達他們那份虔誠的心意
[00:01:00.240 --> 00:01:03.840]  這些信眾其實都很神心
[00:01:03.840 --> 00:01:08.680]  有七萬多個的善信去參拜
[00:01:08.680 --> 00:01:12.880]  有些電視台或記者去訪問一些人的時候
[00:01:12.880 --> 00:01:15.960]  有一個年青人說
[00:01:15.960 --> 00:01:18.920]  「我兩點鐘就要來排隊了」
[00:01:18.920 --> 00:01:20.800]  記者就問他
[00:01:20.800 --> 00:01:23.600]  「辛苦嗎?兩點就要排到十一點、十二點」
[00:01:23.600 --> 00:01:25.440]  「我一點也不辛苦」
[00:01:25.440 --> 00:01:26.880]  「我每年都這樣做的」
[00:01:26.880 --> 00:01:29.120]  「不辛苦 不辛苦」
[00:01:29.120 --> 00:01:32.160]  他們爭上投柱香
[00:01:32.160 --> 00:01:37.480]  其實都是爭取新年能夠諸事順利
[00:01:37.480 --> 00:01:39.240]  豬肉滿堂
[00:01:39.240 --> 00:01:40.320]  豬年璧合
[00:01:40.320 --> 00:01:41.800]  豬肝補氣
[00:01:41.800 --> 00:01:44.360]  甚至希望能夠豬籠入水
[00:01:44.360 --> 00:01:53.200]  我想每一個的祈福或善信
[00:01:53.200 --> 00:01:57.680]  其實他們都是很希望樣樣順利
[00:01:57.680 --> 00:02:02.360]  在沙田車公廟的善信有多少人呢?
[00:02:02.360 --> 00:02:07.880]  有七點五萬人來封車轉
[00:02:07.880 --> 00:02:10.320]  希望能夠行大運
[00:02:10.320 --> 00:02:14.200]  香火鼎盛
[00:02:14.200 --> 00:02:17.560]  香港其實當我們每一年是新年的時候
[00:02:17.560 --> 00:02:22.760]  我們看到電視來影這些善信的時候
[00:02:22.760 --> 00:02:25.760]  由小到大都有
[00:02:25.760 --> 00:02:27.800]  甚麼年紀的人都有
[00:02:27.800 --> 00:02:35.640]  他們都是希望祈求神明能夠來保守祝福他們
[00:02:35.640 --> 00:02:40.360]  每年我新年的時候聽得最多的祝福語
[00:02:40.360 --> 00:02:43.040]  就是「身體健康」
[00:02:43.040 --> 00:02:44.120]  真的
[00:02:44.120 --> 00:02:47.120]  我們都希望各人身體健康
[00:02:47.120 --> 00:02:49.200]  以致我們能夠身體健康
[00:02:49.200 --> 00:02:50.400]  但我們就要問
[00:02:50.400 --> 00:02:52.680]  有身體健康之後怎樣呢?
[00:02:52.680 --> 00:02:53.920]  What next?
[00:02:53.920 --> 00:02:59.120]  身體健康是否可以炫耀我們多健美
[00:02:59.120 --> 00:03:03.640]  或者是我們可以做更多的工作等等呢?
[00:03:03.640 --> 00:03:05.560]  求神給我們身體健康
[00:03:05.560 --> 00:03:09.040]  以致我們能夠更加的侍奉神
[00:03:09.040 --> 00:03:10.920]  可以榮耀神
[00:03:10.920 --> 00:03:13.200]  今天要看三節經文
[00:03:13.200 --> 00:03:18.200]  是四章八節至第十節
[00:03:18.200 --> 00:03:22.640]  我們一齊讀出用新漢語譯本的經文
[00:03:22.640 --> 00:03:26.080]  因為操練身體益處有限
[00:03:26.080 --> 00:03:30.080]  但敬虔在各個方面都有益處
[00:03:30.080 --> 00:03:33.240]  有今生和來生的應許
[00:03:33.240 --> 00:03:35.360]  這話是可信的
[00:03:35.360 --> 00:03:38.000]  值得完全接受
[00:03:38.000 --> 00:03:42.120]  事實上我們正是為此勞苦
[00:03:42.120 --> 00:03:43.720]  奮鬥不懈
