
[00:00:00.000 --> 00:00:02.120]  尼宗姐妹 平安
[00:00:02.120 --> 00:00:03.920]  弟兄姊妹 平安
[00:00:03.920 --> 00:00:06.320]  三個星期 詹牧師總結了
[00:00:06.320 --> 00:00:09.560]  《馬太福音》五到七章的登山寶殊
[00:00:09.560 --> 00:00:11.960]  上個星期 詹牧師總結了
[00:00:11.960 --> 00:00:15.760]  《馬太福音》五到七章的登山寶殊
[00:00:15.760 --> 00:00:17.760]  那時候 耶穌教導信徒
[00:00:17.760 --> 00:00:21.000]  怎麼樣在神的國度裡生活
[00:00:21.000 --> 00:00:23.520]  那時候 耶穌基督是教導信徒
[00:00:23.520 --> 00:00:26.440]  怎樣在神的國度裡生活
[00:00:26.440 --> 00:00:29.720]  教導完畢之後就下山了
[00:00:29.720 --> 00:00:32.640]  耶穌教導完畢之後就下山了
[00:00:32.640 --> 00:00:34.280]  有許多人跟著祂
[00:00:34.280 --> 00:00:36.720]  當時是有很多人跟著祂的
[00:00:36.720 --> 00:00:41.040]  然後 耶穌就開始用行動來實現祂的教訓
[00:00:41.040 --> 00:00:44.600]  然後 耶穌就開始用實際的行動
[00:00:44.600 --> 00:00:46.360]  去實踐祂的教訓
[00:00:46.360 --> 00:00:48.680]  如果大家記得四月份
[00:00:48.680 --> 00:00:52.640]  詹牧師就講到一堂課就要玩全的人
[00:00:52.640 --> 00:00:54.440]  如果大家還記得的話
[00:00:54.440 --> 00:00:55.960]  詹牧師在四月份
[00:00:55.960 --> 00:01:00.280]  他有一次講到他的題目叫做「完全的人」
[00:01:00.280 --> 00:01:04.800]  那時候講到你們要完全像你們的天父完全一樣
[00:01:04.800 --> 00:01:10.280]  那時候講到你們要完全像你們的天父完全一樣
[00:01:10.280 --> 00:01:12.200]  那意思就是你們要慈悲
[00:01:12.200 --> 00:01:14.760]  像你們的天父慈悲一樣
[00:01:14.760 --> 00:01:17.480]  意思也是好像你們要慈悲
[00:01:17.480 --> 00:01:20.000]  像你們的父慈悲一樣
[00:01:20.000 --> 00:01:23.440]  所以來到《馬太福音》的第八 第九章
[00:01:23.440 --> 00:01:27.360]  我們看到耶穌就用具體的行動來彰顯神的慈悲
[00:01:27.360 --> 00:01:32.120]  我們看到耶穌就用具體的行動來彰顯神的慈悲
[00:01:32.120 --> 00:01:37.080]  我們看到耶穌是用具體的行動去彰顯神的慈悲
[00:01:37.080 --> 00:01:40.520]  像祂的教導實現在異常的生活當中
[00:01:40.520 --> 00:01:43.920]  像祂的教導實現在異常的生活當中
[00:01:43.920 --> 00:01:47.600]  所以《馬太》就記載了九個神蹟
[00:01:47.600 --> 00:01:54.320]  關於耶穌怎樣醫治那些殘痛、殘疾、痛苦的人
[00:01:54.320 --> 00:01:58.320]  那《馬太福音》就記載了九個神蹟
