
[00:00:00.000 --> 00:00:05.000]  十月尾我放了一個八天的年假去退休
[00:00:05.000 --> 00:00:07.760]  臨入退休營的中午
[00:00:07.760 --> 00:00:10.920]  我約了另一位也是傳道人的姊妹
[00:00:10.920 --> 00:00:15.360]  一起回我小時候一起長大的舞會去參觀
[00:00:15.360 --> 00:00:17.960]  為什麼要刻意回去參觀呢?
[00:00:17.960 --> 00:00:21.440]  因為教會剛剛重新大翻新
[00:00:21.440 --> 00:00:24.920]  難得有機會回去探望一下傳道人
[00:00:24.920 --> 00:00:29.600]  牧師就帶我們四周去看教會的新設計
[00:00:29.600 --> 00:00:33.360]  除了我看到很美觀、很現代化
[00:00:33.360 --> 00:00:36.040]  我更加看到很多很有心思的設計
[00:00:36.040 --> 00:00:38.680]  是獨獨因為教會的一些需要
[00:00:38.680 --> 00:00:40.680]  這麼多年這樣用開
[00:00:40.680 --> 00:00:44.320]  所以就刻意有這樣不同的擺位
[00:00:44.320 --> 00:00:49.200]  重新設計過的教會令我眼前一亮
[00:00:49.200 --> 00:00:52.840]  在傾談的裏面一路走一路傾
[00:00:52.840 --> 00:00:57.240]  知道原來是團契裏一起成長的一位弟兄
[00:00:57.240 --> 00:00:58.960]  負責整個的項目
[00:00:58.960 --> 00:01:02.120]  我心裏很感恩為了這件事
[00:01:02.120 --> 00:01:04.040]  因為覺得很美麗
[00:01:04.040 --> 00:01:05.840]  因為教會成長
[00:01:05.840 --> 00:01:07.440]  他知道教會的需要
[00:01:07.440 --> 00:01:12.160]  也願意將它恩賜運用出來
[00:01:12.160 --> 00:01:16.560]  弟兄姊妹可以這樣去發揮恩賜
[00:01:16.560 --> 00:01:18.600]  同心的建造教會
[00:01:18.600 --> 00:01:21.480]  是一件很美好的事
[00:01:21.480 --> 00:01:24.560]  勾起我自己一個回憶
[00:01:24.560 --> 00:01:27.120]  當時中學畢業
[00:01:27.120 --> 00:01:28.360]  中七的時候報大學
[00:01:28.360 --> 00:01:31.360]  原來也為神發過一個夢
[00:01:31.360 --> 00:01:34.200]  我在想將來可以做什麼的時候
[00:01:34.200 --> 00:01:36.680]  想到讀建築也不錯
[00:01:36.680 --> 00:01:41.480]  可以為神去設計去建造教會
[00:01:41.480 --> 00:01:43.280]  就報建築
[00:01:43.280 --> 00:01:46.520]  所以就這樣交了上去
[00:01:46.520 --> 00:01:50.520]  可惜沒有收到我的
[00:01:50.520 --> 00:01:54.000]  今天當我知道是團契的弟兄
[00:01:54.000 --> 00:01:57.120]  他真的在做一件這樣的事的時候
[00:01:57.120 --> 00:02:00.720]  心裏很感動也覺得很欣慰
[00:02:00.720 --> 00:02:03.520]  進入退休營有一次的默想
[00:02:03.520 --> 00:02:06.760]  我又再記起這個年少
[00:02:06.760 --> 00:02:10.720]  曾經想過怎樣為神付出的自己
[00:02:10.720 --> 00:02:11.760]  當我安靜的時候
[00:02:11.760 --> 00:02:15.120]  腦裏浮現五個字
[00:02:15.120 --> 00:02:18.520]  Build my church with love
[00:02:18.520 --> 00:02:22.160]  那一刻神好像跟我說
[00:02:22.160 --> 00:02:25.160]  你不需要為我去建造教會
[00:02:25.160 --> 00:02:29.840]  你去用愛建立我的教會
[00:02:29.840 --> 00:02:32.120]  Build my church with love
[00:02:32.120 --> 00:02:33.520]  你建立我的教會
[00:02:33.520 --> 00:02:35.120]  用愛去建立
[00:02:35.120 --> 00:02:39.560]  這五個字很深的激勵著我
[00:02:39.560 --> 00:02:42.080]  一個每個人都能夠發揮自己
[00:02:42.080 --> 00:02:45.000]  同心用愛來建立的教會
[00:02:45.000 --> 00:02:48.000]  我相信就是神的心意
[00:02:48.000 --> 00:02:51.920]  保羅在哥倫多前書十二至十三章
[00:02:51.920 --> 00:02:57.440]  只是將這幅圖畫描繪了出來
[00:02:57.440 --> 00:03:00.160]  他說「就如身體是一個
[00:03:00.160 --> 00:03:02.080]  卻有許多肢體」
[00:03:02.080 --> 00:03:04.240]  教會就好像一個身體
[00:03:04.240 --> 00:03:05.680]  是一個
[00:03:05.680 --> 00:03:09.480]  但是它是由很多肢體組成
[00:03:09.480 --> 00:03:10.360]  在聖經裏面
[00:03:10.360 --> 00:03:13.440]  我們通常見到很多關於一的教導
[00:03:13.440 --> 00:03:17.080]  我們知道是一心一主一使
[00:03:17.080 --> 00:03:18.840]  經常叫我們要合一
[00:03:18.840 --> 00:03:21.920]  要有相同的心思意念
[00:03:21.920 --> 00:03:23.280]  但在這裏
[00:03:23.280 --> 00:03:25.760]  保羅刻意強調「多」
[00:03:25.760 --> 00:03:28.760]  強調許多不同
[00:03:28.760 --> 00:03:31.520]  所有的肢體其實是很不同
[00:03:31.520 --> 00:03:33.880]  恩賜有許多種
[00:03:33.880 --> 00:03:35.880]  侍奉有許多種
[00:03:35.880 --> 00:03:37.720]  工作也有許多種
[00:03:37.720 --> 00:03:40.360]  他想強調的是多元化
[00:03:40.360 --> 00:03:43.400]  在裏面有許多不同
[00:03:43.400 --> 00:03:45.640]  恩賜和角色
[00:03:45.640 --> 00:03:48.480]  基本上我們每個人都會不同
[00:03:48.480 --> 00:03:52.440]  當我們留心觀察我們身邊的人
[00:03:52.440 --> 00:03:55.160]  這個道理我想我們不難理解
[00:03:55.160 --> 00:03:57.920]  其實你知道沒有一個人是完全和你一樣
[00:03:57.920 --> 00:04:00.240]  我們當中也有些人是孿生的
[00:04:00.240 --> 00:04:02.200]  但你知道其實也不同
[00:04:02.200 --> 00:04:03.360]  他的性情
[00:04:03.360 --> 00:04:04.520]  就算外表
[00:04:04.520 --> 00:04:07.040]  其實你也能分辨
[00:04:07.040 --> 00:04:08.840]  你很難找到一個人和你一樣
[00:04:08.840 --> 00:04:10.200]  就算是親人
[00:04:10.200 --> 00:04:12.160]  你最好的朋友也不會
[00:04:12.160 --> 00:04:14.040]  原來不同
[00:04:14.040 --> 00:04:16.040]  在我們裏面才是常態
[00:04:16.040 --> 00:04:19.480]  神很清楚地說明你們是會非常不同的
[00:04:19.480 --> 00:04:21.120]  你有的能力
[00:04:21.120 --> 00:04:22.760]  你有不同的角色
[00:04:22.760 --> 00:04:23.960]  你有不同的崗位
[00:04:23.960 --> 00:04:25.560]  你有的對方不會有
[00:04:25.560 --> 00:04:27.760]  對方有的你也不會有
