
[00:00:00.000 --> 00:00:06.680]  好,我們今天就回到我們《舊約》的講座
[00:00:06.680 --> 00:00:08.960]  我們有一個大題目的就是
[00:00:08.960 --> 00:00:11.960]  《基督自保,進藏舊約》
[00:00:11.960 --> 00:00:15.320]  當我們讀這本《舊約聖經》
[00:00:15.320 --> 00:00:17.960]  尤其是有三十九本《舊約聖經》的時候
[00:00:17.960 --> 00:00:19.960]  我們有一個特別的讀法
[00:00:19.960 --> 00:00:22.360]  就是我們覺得它不只是一本書
[00:00:22.360 --> 00:00:25.160]  然後就給了我們讀完之後去應用
[00:00:25.160 --> 00:00:28.480]  而是它整本《舊約》是指向
[00:00:28.480 --> 00:00:30.640]  主耶穌基督的救恩
[00:00:30.640 --> 00:00:33.800]  接著我們進入主耶穌基督的新約
[00:00:33.800 --> 00:00:39.000]  接著我們才去應用在我們自己的生命裡面
[00:00:39.000 --> 00:00:42.200]  如果你記得你經常有聽我說過也好
[00:00:42.200 --> 00:00:43.800]  或者有聽這些講座的時候
[00:00:43.800 --> 00:00:45.880]  我不斷強調一件事就是
[00:00:45.880 --> 00:00:49.200]  《舊約》和新約有一個很特別的關係
[00:00:49.200 --> 00:00:52.080]  《舊約》其實是一個影子
[00:00:52.080 --> 00:00:54.480]  是指向新約的實體
[00:00:54.480 --> 00:00:58.600]  所以今天你和我不會再去過如願節
[00:00:58.600 --> 00:01:04.120]  你和我不會遵守《利尾記》裡面九十多個百分比的東西
[00:01:04.120 --> 00:01:08.200]  其實讀《利尾記》其中一件事很幫到我們就是
[00:01:08.200 --> 00:01:09.440]  當你讀《利尾記》的時候
[00:01:09.440 --> 00:01:13.120]  你知道《舊約》不可以就這樣丟進我們的生命裡面
[00:01:13.120 --> 00:01:14.360]  接著去應用
[00:01:14.360 --> 00:01:17.360]  因為九成的東西你無法今天去應用
[00:01:17.360 --> 00:01:21.480]  你不會今天傻到今天還要去哪裡去獻祭
[00:01:21.480 --> 00:01:24.000]  但是整本《利尾記》
[00:01:24.000 --> 00:01:25.840]  如果九成與我們無關
[00:01:25.840 --> 00:01:28.160]  那究竟它的作用在哪裡呢?
[00:01:28.160 --> 00:01:31.200]  所以就是用我們這個框架
[00:01:31.200 --> 00:01:33.320]  所有《舊約聖經》的東西
[00:01:33.320 --> 00:01:35.040]  是一個影子指向新約
[00:01:35.040 --> 00:01:36.600]  當你去這樣理解的時候
[00:01:36.600 --> 00:01:40.560]  下次你讀到一些《舊約》你又覺得很適合的東西
[00:01:40.560 --> 00:01:43.480]  你不要立刻丟進你自己的生命裡面
[00:01:43.480 --> 00:01:44.680]  你一定要想想
[00:01:44.680 --> 00:01:48.320]  究竟《舊約》的關係和今天的關係是什麼關係
[00:01:48.320 --> 00:01:49.120]  如果《舊約》說
[00:01:49.120 --> 00:01:50.760]  如果我遵守上帝的話語
[00:01:50.760 --> 00:01:52.600]  我就可以發財的時候
[00:01:52.600 --> 00:01:54.360]  你不要當它是真的
[00:01:54.360 --> 00:01:55.240]  為什麼?
[00:01:55.240 --> 00:01:57.560]  因為你在看影子
[00:01:57.560 --> 00:01:58.680]  我們現在有一個問題
[00:01:58.680 --> 00:02:00.640]  就是我們很多時候選擇性
[00:02:00.640 --> 00:02:02.040]  看到一些合適的東西
[00:02:02.040 --> 00:02:03.760]  我們應用在我們的生命裡面
[00:02:03.760 --> 00:02:05.120]  不合適的東西我們就說
[00:02:05.120 --> 00:02:06.640]  不關我的事
[00:02:06.640 --> 00:02:08.000]  你不可以這樣讀聖經的
[00:02:08.000 --> 00:02:09.640]  你一定要有一個框架
[00:02:09.640 --> 00:02:10.760]  這個框架就是
[00:02:10.760 --> 00:02:14.720]  《舊約》是一個影子
[00:02:14.720 --> 00:02:16.000]  新約是一個實體
[00:02:16.000 --> 00:02:17.760]  《舊約》是一個應許
[00:02:17.760 --> 00:02:19.680]  新約是一個成就
[00:02:19.680 --> 00:02:20.200]  OK
[00:02:20.200 --> 00:02:21.960]  正如一棵樹
[00:02:21.960 --> 00:02:23.520]  《舊約》是根
[00:02:23.520 --> 00:02:25.680]  新約是枝幹
[00:02:25.680 --> 00:02:28.280]  今天我們不是活在根上
