
[00:00:00.000 --> 00:00:07.000]  自古以來出色的領袖都會揀選一些最有才幹 最有學識的人
[00:00:07.000 --> 00:00:11.000]  去成為他們的團隊 成為他們的手下
[00:00:11.000 --> 00:00:14.000]  去幫助他們實踐他們的理想
[00:00:14.000 --> 00:00:18.000]  例如三國時代有一個叫「劉備」
[00:00:18.000 --> 00:00:20.000]  可能大家在所有頂尖都聽過
[00:00:20.000 --> 00:00:23.000]  劉備究竟有什麼手下呢
[00:00:23.000 --> 00:00:27.000]  第一手下就是關羽
[00:00:27.000 --> 00:00:32.000]  關羽就是過五關斬六將 勇猛飛翔
[00:00:32.000 --> 00:00:35.000]  第二個就是張飛
[00:00:35.000 --> 00:00:37.000]  看他的樣子都嚇倒你了
[00:00:37.000 --> 00:00:41.000]  凶神惡煞 長板波之戰
[00:00:41.000 --> 00:00:44.000]  張飛大喝一聲
[00:00:44.000 --> 00:00:50.000]  曹操其中一個猛將 應聲跌落馬 竟然嚇死了
[00:00:50.000 --> 00:00:53.000]  第三個就是趙雲 超級好打
[00:00:53.000 --> 00:00:57.000]  千軍萬馬 如入無人之境
[00:00:57.000 --> 00:01:00.000]  救回劉備的寶貝一命
[00:01:00.000 --> 00:01:04.000]  還有當然少不了的朱國亮
[00:01:04.000 --> 00:01:07.000]  神機妙算 運籌為握
[00:01:07.000 --> 00:01:10.000]  為劉備的蜀國殿下雄厚基礎
[00:01:10.000 --> 00:01:13.000]  可以三分天下
[00:01:13.000 --> 00:01:15.000]  所以有人說
[00:01:15.000 --> 00:01:18.000]  領袖是否精明都不太重要
[00:01:18.000 --> 00:01:19.000]  最重要是什麼呢
[00:01:19.000 --> 00:01:23.000]  團隊的手下是否精明才最重要
[00:01:23.000 --> 00:01:27.000]  所以環顧世界所有的領導
[00:01:27.000 --> 00:01:30.000]  美國總統 白宮幕僚
[00:01:30.000 --> 00:01:32.000]  甚至日本首相的內閣
[00:01:32.000 --> 00:01:34.000]  或者總統其他要員
[00:01:34.000 --> 00:01:38.000]  全部都是選擇精明能幹的人去幫助自己
[00:01:38.000 --> 00:01:40.000]  說來說去
[00:01:40.000 --> 00:01:42.000]  其中一個我們認識的領袖
[00:01:42.000 --> 00:01:45.000]  耶穌的部下是什麼人呢
[00:01:45.000 --> 00:01:48.000]  耶穌的團隊是什麼人呢
[00:01:48.000 --> 00:01:50.000]  有十二個
[00:01:50.000 --> 00:01:52.000]  這些十二個是什麼人呢
[00:01:52.000 --> 00:01:57.000]  有七個是連小學都未畢業的打魚佬
[00:01:57.000 --> 00:01:59.000]  有一個是二五仔
[00:01:59.000 --> 00:02:04.000]  有一個是賣國賊
[00:02:04.000 --> 00:02:07.000]  有一個是恐怖份子
[00:02:07.000 --> 00:02:09.000]  哇 這些是什麼人呢
[00:02:09.000 --> 00:02:11.000]  耶穌是什麼人呢
[00:02:11.000 --> 00:02:15.000]  耶穌是比任何這個世界出色的領袖更出色
[00:02:15.000 --> 00:02:18.000]  可以選擇一些好的人 比較像樣的人
[00:02:18.000 --> 00:02:21.000]  比較厲害的人去跟從耶穌嗎
[00:02:21.000 --> 00:02:22.000]  就是選擇這幫人
[00:02:22.000 --> 00:02:23.000]  那麼這幫人是什麼人呢
[00:02:23.000 --> 00:02:25.000]  這十二個人究竟是什麼人呢
[00:02:25.000 --> 00:02:28.000]  我們一起看路加福音六章十四至十六節
[00:02:28.000 --> 00:02:29.000]  我們一起看 好嗎
[00:02:29.000 --> 00:02:30.000]  一二三
[00:02:30.000 --> 00:02:32.000]  這十二個人有西門
[00:02:32.000 --> 00:02:35.000]  耶穌又給他起名叫彼得
[00:02:35.000 --> 00:02:38.000]  還有他兄弟安德烈
[00:02:38.000 --> 00:02:40.000]  又有瓦割和約翰
[00:02:40.000 --> 00:02:45.000]  肥力 巴多羅買 馬太和多瑪
[00:02:45.000 --> 00:02:47.000]  阿勒肥的兒子瓦割
[00:02:47.000 --> 00:02:49.000]  和粉蕊黨的西門
[00:02:49.000 --> 00:02:51.000]  瓦割的兒子猶大
[00:02:51.000 --> 00:02:56.000]  和賣主的家略人猶大
[00:02:56.000 --> 00:02:58.000]  剛才說有七個人
[00:02:58.000 --> 00:03:01.000]  包括彼得 安德烈 瓦割 約翰
[00:03:01.000 --> 00:03:04.000]  肥力 巴多羅買 多瑪
[00:03:04.000 --> 00:03:08.000]  都是很平凡的漁夫
[00:03:08.000 --> 00:03:10.000]  接著那個馬太
[00:03:10.000 --> 00:03:12.000]  馬太又叫利美
[00:03:12.000 --> 00:03:15.000]  是和羅馬政府收稅的
[00:03:15.000 --> 00:03:18.000]  所以當時的猶太人
[00:03:18.000 --> 00:03:19.000]  叫他三個字
[00:03:19.000 --> 00:03:21.000]  賣國賊
[00:03:21.000 --> 00:03:23.000]  另外那個西門
[00:03:23.000 --> 00:03:25.000]  西門是屬於一個
[00:03:25.000 --> 00:03:28.000]  當時非常激進的猶太人
[00:03:28.000 --> 00:03:30.000]  民族主義的組織
[00:03:30.000 --> 00:03:32.000]  叫做粉蕊黨的黨員
[00:03:32.000 --> 00:03:34.000]  這幫人做什麼的
