
[00:00:00.000 --> 00:00:02.760]  今天在崇拜的講道當中
[00:00:02.760 --> 00:00:05.400]  我會開始一個新的系列
[00:00:05.400 --> 00:00:07.840]  有不同的同工都會接下來
[00:00:07.840 --> 00:00:10.560]  有機會會和大家一齊領受
[00:00:10.560 --> 00:00:12.360]  我們上半年我提過
[00:00:12.360 --> 00:00:14.720]  我們就用針研
[00:00:14.720 --> 00:00:18.160]  這次我們都會有幾堂崇拜講道
[00:00:18.160 --> 00:00:20.720]  會用到《摩西五經》的經文
[00:00:20.720 --> 00:00:23.520]  另外一個系列《肥歷比書》就會繼續
[00:00:23.520 --> 00:00:25.120]  還有《曹牧師》的系列
[00:00:25.120 --> 00:00:26.880]  今天我會和大家看看
[00:00:26.880 --> 00:00:29.040]  《創世紀》第十一章一到九節
[00:00:29.360 --> 00:00:32.280]  「聚散有時,有誰可依」
[00:00:32.280 --> 00:00:34.240]  我不知道大家大英姊妹
[00:00:34.240 --> 00:00:36.240]  有沒有有機會
[00:00:36.240 --> 00:00:38.160]  已經之前看過
[00:00:38.160 --> 00:00:42.600]  讀過一下發生在《創世紀》的一個事件
[00:00:42.600 --> 00:00:44.520]  這個我們叫做《巴別塔》
[00:00:44.520 --> 00:00:46.240]  曾經都有些電影
[00:00:46.240 --> 00:00:49.240]  就是將它拿來做拍過這些電影的
[00:00:49.240 --> 00:00:51.800]  在座當中有沒有人未看過
[00:00:51.800 --> 00:00:53.840]  或聽過《巴別塔》事件的
[00:00:53.840 --> 00:00:58.000]  都有些大英姊妹原來真的未看過
[00:00:58.000 --> 00:01:00.480]  在前面三堂的時候
[00:01:00.480 --> 00:01:02.720]  所以我都和大家去看看一次
[00:01:02.720 --> 00:01:04.200]  其實《奪經》文章
[00:01:04.200 --> 00:01:06.080]  事情都很簡單
[00:01:06.080 --> 00:01:08.440]  我們一齊去重溫一下
[00:01:08.440 --> 00:01:11.600]  在《創世紀》第十一章發生過什麼事
[00:01:11.600 --> 00:01:13.000]  我讀一次給大家聽
[00:01:13.000 --> 00:01:17.080]  那時天下人的口音言語都是一樣的
[00:01:17.080 --> 00:01:19.880]  他們往東邊遷移的時候
[00:01:19.880 --> 00:01:22.120]  在赤那地遇見一片平原
[00:01:22.120 --> 00:01:23.560]  他們就住在那裡
[00:01:23.560 --> 00:01:25.320]  他們彼此商量說
[00:01:25.320 --> 00:01:29.360]  來吧!我們要做磚,把磚燒透了
[00:01:29.360 --> 00:01:31.240]  他們就拿磚做石頭
[00:01:31.240 --> 00:01:33.560]  又拿石頭當灰泥
[00:01:33.560 --> 00:01:34.480]  他們說
[00:01:34.480 --> 00:01:38.160]  來吧!我們要建造一座城和一座塔
[00:01:38.160 --> 00:01:40.200]  塔頂通天
[00:01:40.200 --> 00:01:42.920]  謂要傳揚我們的名
[00:01:42.920 --> 00:01:46.880]  免得我們分散在全地上
[00:01:46.880 --> 00:01:48.200]  耶和華就降臨了
[00:01:48.200 --> 00:01:52.040]  要看看這幫人他們做的城和塔
[00:01:52.040 --> 00:01:53.200]  耶和華說
[00:01:53.200 --> 00:01:55.760]  看他們成為一樣的人民
[00:01:55.760 --> 00:01:57.720]  到時一樣的言語
[00:01:57.720 --> 00:01:59.960]  如今既做起這事來
[00:01:59.960 --> 00:02:01.680]  以後他們所要做的事
[00:02:01.680 --> 00:02:04.400]  就沒有不成就的了
[00:02:04.400 --> 00:02:07.440]  我們下去在那裡辯論他們的口音
[00:02:07.440 --> 00:02:10.400]  使他們的言語彼此不通
[00:02:10.400 --> 00:02:11.280]  於是耶和華說
[00:02:11.280 --> 00:02:13.920]  使他們從那裡分散在全地上
[00:02:13.920 --> 00:02:17.600]  他們就停工不造那城了
[00:02:17.600 --> 00:02:18.400]  因為耶和華說
[00:02:18.400 --> 00:02:21.120]  在那裡辯論天下人的言語
[00:02:21.120 --> 00:02:24.720]  使眾人分散在全地上
[00:02:24.720 --> 00:02:28.280]  所以那城名叫巴別
[00:02:28.280 --> 00:02:29.240]  所以
[00:02:29.240 --> 00:02:30.800]  我不知道大家有沒有聽過
[00:02:30.800 --> 00:02:33.560]  為什麼我們今天不同國家不同地區
[00:02:33.560 --> 00:02:36.280]  都有很多的語言和謊言
[00:02:36.280 --> 00:02:38.200]  這個可能就是其中一個
[00:02:38.200 --> 00:02:39.000]  有人會跟你說
[00:02:39.000 --> 00:02:43.120]  這個就是巴別事件之後發生的事情
[00:02:43.120 --> 00:02:45.560]  所以我們讀書就要讀英文
[00:02:45.560 --> 00:02:49.000]  又要讀一些不是我們平時用的語言
[00:02:49.000 --> 00:02:52.160]  也有人會用這樣的語言來跟你說
[00:02:52.160 --> 00:02:53.400]  這個也不是我們的重點
[00:02:53.400 --> 00:02:57.400]  就是到底不同國家的語言謊言是怎麼來的
[00:02:57.400 --> 00:03:00.280]  今天我想跟大家從這段經文裡
[00:03:00.280 --> 00:03:02.040]  領受神給我們的訊息
[00:03:02.040 --> 00:03:05.960]  說之前我想跟大家多看兩段經文的私篇
[00:03:05.960 --> 00:03:07.120]  第一個私篇五十五篇
[00:03:07.120 --> 00:03:11.560]  就是過去我們星期五教會樂響聖賢所讀的私篇
[00:03:11.560 --> 00:03:15.480]  這裡因為他私人提到一個
[00:03:15.480 --> 00:03:20.360]  所說的就是和這個巴別事件的關係
[00:03:20.360 --> 00:03:23.640]  在最後的時候說到主也求你吞滅他們
[00:03:23.640 --> 00:03:25.960]  變亂他們的舌頭
[00:03:25.960 --> 00:03:30.120]  因為我在城中見了強暴憎恨的事
[00:03:30.120 --> 00:03:33.960]  是私人覺得他遭遇了很多的不公平
[00:03:33.960 --> 00:03:35.960]  被攻擊的時候
[00:03:35.960 --> 00:03:37.520]  去求神來出手
