
[00:00:00.000 --> 00:00:04.080]  很開心可以跟大家有一次的尼泰去察經
[00:00:04.080 --> 00:00:07.160]  記不記得我們上一次就看尼希米
[00:00:07.160 --> 00:00:11.000]  我們會連續三次看尼希米的祈禱
[00:00:11.000 --> 00:00:15.840]  上次我們看到尼希米雖然身居高位
[00:00:15.840 --> 00:00:18.720]  有很高的厚綠
[00:00:18.720 --> 00:00:20.920]  但是他甚至是在外國
[00:00:20.920 --> 00:00:23.600]  就是在波斯這個地方出生
[00:00:23.600 --> 00:00:26.640]  但是他仍然知道自己是希伯來人
[00:00:26.640 --> 00:00:29.480]  他很關心自己的鄉下
[00:00:29.480 --> 00:00:34.080]  知道自己的鄉下是落沙冷
[00:00:34.080 --> 00:00:35.480]  城牆被毀
[00:00:35.480 --> 00:00:37.000]  城門被焚燒
[00:00:37.000 --> 00:00:38.840]  被人家來欺負的時候
[00:00:38.840 --> 00:00:40.480]  他就很難過
[00:00:40.480 --> 00:00:44.160]  他愛國的心仍然是很深的
[00:00:44.160 --> 00:00:45.680]  他坐下哭泣
[00:00:45.680 --> 00:00:47.440]  然後禁食禱告
[00:00:47.440 --> 00:00:51.200]  他拿著神的英許求神來帶他去幫助
[00:00:51.200 --> 00:00:54.000]  我們看到尼希米不只是去祈禱
[00:00:54.000 --> 00:00:57.440]  往往祈禱之後就會產生行動
[00:00:57.440 --> 00:01:01.760]  後來當他在王的面前侍酒
[00:01:01.760 --> 00:01:04.160]  但是王留意到
[00:01:04.160 --> 00:01:05.680]  平時你很開心
[00:01:05.680 --> 00:01:07.800]  為什麼你現在這麼不開心呢?
[00:01:07.800 --> 00:01:11.880]  你絕對不要想著他故意在裝模作樣不開心
[00:01:11.880 --> 00:01:15.080]  因為我已經說伴君如伴虎
[00:01:15.080 --> 00:01:17.640]  那時候皇帝在喝酒
[00:01:17.640 --> 00:01:19.160]  開心的時候
[00:01:19.160 --> 00:01:21.920]  你打口打臉隨時會死
[00:01:21.920 --> 00:01:23.360]  他就很害怕
[00:01:23.360 --> 00:01:24.400]  如果你看回聖經
