
[00:00:00.000 --> 00:00:05.000]  好,聽講到之前,讓我們先有一個低頭禱告
[00:00:05.000 --> 00:00:12.000]  親愛的主,讓我們今天,我們有一個聆聽的耳朵
[00:00:12.000 --> 00:00:15.000]  今天讓聖靈跟我們講說話
[00:00:15.000 --> 00:00:20.000]  我們不要人的說話,我們不要這個世界的理論
[00:00:20.000 --> 00:00:24.000]  我們要的是神的你的真理,你復活的大能
[00:00:24.000 --> 00:00:30.000]  你自己的活水,淋到我們每一位頂姐妹,每一位朋友當中
[00:00:30.000 --> 00:00:35.000]  主,我們要求你光照我們,讓我們明白你的心腸
[00:00:35.000 --> 00:00:39.000]  知道你是一個怎樣的神,你是如何的看我們
[00:00:39.000 --> 00:00:44.000]  最後多謝你,聽我們的禱告,奉耶穌基督得聖的名,阿們
[00:00:44.000 --> 00:00:53.000]  在2010年的8月,智利聖河西的礦場發生一個倒塌的事故
[00:00:53.000 --> 00:01:01.000]  有33名礦工被困在625公尺深的地底
[00:01:01.000 --> 00:01:07.000]  70天之後,這33人奇跡地獲救
[00:01:07.000 --> 00:01:13.000]  其中一個獲救的礦工,他之後接受訪問,他這樣說
[00:01:13.000 --> 00:01:18.000]  他說當時在礦坑裏面,我們充滿絕望和黑暗
[00:01:18.000 --> 00:01:23.000]  魔鬼就在身邊,但是我們是信耶穌的
[00:01:23.000 --> 00:01:27.000]  上帝並沒有離棄我們
[00:01:27.000 --> 00:01:32.000]  經過這件事之後,我終於明白到一件事
[00:01:32.000 --> 00:01:38.000]  就是當一切變好之前,總會有一些不開心的日子
[00:01:38.000 --> 00:01:43.000]  但是最重要,不要因為這樣就放棄
[00:01:43.000 --> 00:01:48.000]  各位弟兄姊妹,各位朋友,今天你們在什麼樣的環境裏面
[00:01:48.000 --> 00:01:54.000]  可能有很多朋友,可能很多弟兄姊妹,現在仍然都在一些困難的處境裏面
[00:01:54.000 --> 00:02:02.000]  究竟我們是用什麼樣的態度去面對我們今天困難的處境
[00:02:02.000 --> 00:02:06.000]  大作家貝多芬曾經說過這樣的說話
[00:02:06.000 --> 00:02:14.000]  他說一個卓越人最大的優點,就是面對不利和艱難的遭遇
[00:02:14.000 --> 00:02:18.000]  他們仍然都百折不撓
[00:02:18.000 --> 00:02:23.000]  其實我們回想我們所信的耶穌,祂復活之前其實都遇到很多很多
[00:02:23.000 --> 00:02:29.000]  可能我們都類似相似的這些困難的遭遇
[00:02:29.000 --> 00:02:33.000]  耶穌被祂一手栽培的門徒出賣
[00:02:33.000 --> 00:02:38.000]  其實被出賣是傷透祂的心
[00:02:38.000 --> 00:02:42.000]  但是祂在祂手下捉拿耶穌的時候,好像捉賊一樣
[00:02:42.000 --> 00:02:47.000]  其實耶穌在那個情況之下什麼尊嚴都沒有了
[00:02:47.000 --> 00:02:51.000]  耶穌被捕的時候,那些門徒都害怕得死了
[00:02:51.000 --> 00:02:56.000]  之前世神踢完說我一定會和你一起死,全部散了
[00:02:56.000 --> 00:03:00.000]  耶穌是世界上最孤單的人
[00:03:00.000 --> 00:03:05.000]  耶穌在審訊的時候,那些人捏造很多假證供去誣告祂
[00:03:05.000 --> 00:03:08.000]  究竟公義在哪裡呢?
[00:03:08.000 --> 00:03:14.000]  就在這個時候,就好像全世界的人都忘記了耶穌之前做過的事
[00:03:14.000 --> 00:03:20.000]  祂做過什麼?祂行過很多神職騎士,很多釋放,很多的醫治
[00:03:20.000 --> 00:03:24.000]  幫助無數個人,但是在這個時刻,所有人都想祂死
[00:03:24.000 --> 00:03:27.000]  沒有人記得祂之前做過任何事
[00:03:27.000 --> 00:03:30.000]  如果是你,你會是怎樣呢?
