
[00:00:00.000 --> 00:00:01.920]  各位電影姐妹早晨
[00:00:01.920 --> 00:00:03.680]  各位弟兄姊妹早
[00:00:03.680 --> 00:00:07.560]  願神的恩典繼續與教會、與眾弟兄姊妹同在
[00:00:07.560 --> 00:00:11.520]  願神的恩典與眾教會、眾弟兄姊妹同在
[00:00:11.520 --> 00:00:12.840]  一年很快過去
[00:00:12.840 --> 00:00:14.400]  一年很快就過去了
[00:00:14.400 --> 00:00:19.880]  相信大家在神裡面的成長都是具體的
[00:00:19.880 --> 00:00:21.240]  都是有進步的
[00:00:21.240 --> 00:00:25.360]  相信大家在組裡面成長都是有具體的
[00:00:25.360 --> 00:00:26.440]  有進步的
[00:00:26.440 --> 00:00:30.080]  今天我和大家主要都是分享一句話
[00:00:30.080 --> 00:00:33.480]  今天主要我是只分享一句話
[00:00:33.480 --> 00:00:36.160]  就是他使人夜間歌唱
[00:00:36.160 --> 00:00:38.720]  就是他使人夜間歌唱
[00:00:38.720 --> 00:00:43.520]  不過就先看看在使郎院裡面保羅的經歷
[00:00:43.520 --> 00:00:48.160]  但是我們先看《使徒心傳》保羅的經歷
[00:00:48.160 --> 00:00:52.760]  保羅的事件你看到連鬼都為主耶穌做見證
[00:00:52.760 --> 00:00:58.320]  你看到這個故事裡面連鬼也為耶穌基督做見證
[00:00:58.320 --> 00:01:02.520]  鬼就說保羅是傳救人的道理
[00:01:02.520 --> 00:01:07.400]  那隻鬼說保羅是傳耶穌基督救人的道理
[00:01:07.400 --> 00:01:10.800]  但是保羅後來就將這隻鬼趕走了
[00:01:10.800 --> 00:01:13.760]  後來保羅就把這個烏鬼趕走了
[00:01:13.760 --> 00:01:16.840]  靠這隻鬼去賺錢的那個人
[00:01:16.840 --> 00:01:19.640]  靠這隻鬼去賺錢的那個人
[00:01:19.640 --> 00:01:21.000]  就有損失了
[00:01:21.000 --> 00:01:22.280]  就算是
[00:01:22.280 --> 00:01:24.360]  所以保羅就影響人發財
[00:01:24.360 --> 00:01:26.880]  所以保羅就影響人發財
[00:01:26.880 --> 00:01:27.960]  就被人抓了
[00:01:27.960 --> 00:01:29.440]  就被人抓了
[00:01:29.440 --> 00:01:31.880]  就被棍打了
[00:01:31.880 --> 00:01:33.840]  被人用棍打
[00:01:33.840 --> 00:01:36.080]  就關在內監裡面
[00:01:36.080 --> 00:01:37.520]  關在內監裡面
[00:01:37.520 --> 00:01:38.760]  就上了木狗
[00:01:38.760 --> 00:01:39.800]  上了木狗
[00:01:39.800 --> 00:01:42.720]  就是《使徒心傳》的那件事件
[00:01:42.720 --> 00:01:45.880]  就是《使徒心傳》所講的事件
[00:01:45.880 --> 00:01:47.480]  問題是
[00:01:47.480 --> 00:01:48.800]  問題就是
[00:01:48.800 --> 00:01:51.400]  保羅剛剛好積極地侍奉上帝
[00:01:51.400 --> 00:01:54.520]  保羅剛剛好積極地侍奉上帝
[00:01:54.520 --> 00:01:55.920]  又有成果的
[00:01:55.920 --> 00:01:57.080]  又有成果的
[00:01:57.080 --> 00:02:00.080]  但是突然間又身陷靈霧
[00:02:00.080 --> 00:02:05.120]  但是突然間又身在困境當中
[00:02:05.120 --> 00:02:07.000]  即是在監獄裡面
[00:02:07.000 --> 00:02:09.800]  身處在監獄裡面
[00:02:09.800 --> 00:02:11.920]  還要被人打、受苦
[00:02:11.920 --> 00:02:14.280]  還要被人家打、受苦
[00:02:14.280 --> 00:02:15.840]  即是如果你是保羅
[00:02:15.840 --> 00:02:17.760]  如果你是保羅的話
[00:02:17.760 --> 00:02:18.880]  你會有什麼感覺?
[00:02:18.880 --> 00:02:20.120]  你會有什麼感覺?
[00:02:20.120 --> 00:02:22.120]  我想很多人就會問
[00:02:22.120 --> 00:02:23.800]  我想很多人會問
[00:02:23.800 --> 00:02:26.360]  我剛剛在這裡服侍上帝
[00:02:26.360 --> 00:02:28.440]  我才剛開始服侍上帝
[00:02:28.440 --> 00:02:30.040]  為什麼要受這些苦?
[00:02:30.040 --> 00:02:32.040]  為什麼要受這些苦呢?
[00:02:32.040 --> 00:02:33.360]  舉個例子
[00:02:33.360 --> 00:02:36.000]  譬如你剛剛很積極去傳福音
[00:02:36.000 --> 00:02:36.920]  舉個例子
[00:02:36.920 --> 00:02:39.960]  譬如說你剛剛很積極地去傳福音
[00:02:39.960 --> 00:02:41.960]  還帶了人缺自信耶穌
[00:02:41.960 --> 00:02:44.080]  還帶別人來爵志
[00:02:44.080 --> 00:02:45.400]  爵志信耶穌了
[00:02:45.400 --> 00:02:46.600]  很開心的時候
[00:02:46.600 --> 00:02:48.200]  在很高興的時候
[00:02:48.200 --> 00:02:50.000]  突然間在馬路上被車撞到
[00:02:50.000 --> 00:02:52.080]  突然間在馬路上被車撞到
[00:02:52.080 --> 00:02:53.040]  撞到重傷
[00:02:53.040 --> 00:02:54.240]  撞到重傷
[00:02:54.240 --> 00:02:55.280]  然後進了醫院
[00:02:55.280 --> 00:02:56.800]  還要進到醫院去
[00:02:56.800 --> 00:02:58.120]  你一定會問為什麼的
[00:02:58.120 --> 00:03:00.080]  你一定會問為什麼
[00:03:00.080 --> 00:03:02.120]  我這麼好服侍著你
[00:03:02.120 --> 00:03:04.120]  我這麼好服侍上帝
