
[00:00:00.000 --> 00:00:02.380]  我們有很大的勇氣
[00:00:02.380 --> 00:00:06.280]  原來永耀神和我們的屬靈生命可以相差很大
[00:00:06.280 --> 00:00:08.540]  所以很多時候當有人分享見證的時候
[00:00:08.540 --> 00:00:11.480]  你會總覺得別人的見證比你好
[00:00:11.480 --> 00:00:13.200]  或者你見到別人服侍神的時候
[00:00:13.200 --> 00:00:15.780]  你會覺得別人的恩賜比你好
[00:00:15.780 --> 00:00:18.980]  但在這段經文裡告訴我們
[00:00:18.980 --> 00:00:23.340]  原來以色列在巴比倫七十年裡
[00:00:23.340 --> 00:00:25.340]  去作奴隸的日子
[00:00:25.340 --> 00:00:27.540]  你想想七十年做奴隸
[00:00:27.540 --> 00:00:29.180]  你會怎樣?
[00:00:29.180 --> 00:00:30.980]  那個人很無盼望
[00:00:30.980 --> 00:00:33.540]  很疲倦很失望
[00:00:33.540 --> 00:00:36.040]  頂姊妹
[00:00:36.040 --> 00:00:38.240]  我不知道你今年幾歲
[00:00:38.240 --> 00:00:41.600]  但是燒浸今年是多少年了?
[00:00:41.600 --> 00:00:42.840]  在過去五十年
[00:00:42.840 --> 00:00:44.840]  如果用燒浸的五十年
[00:00:44.840 --> 00:00:47.140]  和以色列在巴比倫七十年
[00:00:47.140 --> 00:00:49.740]  作奴隸做一個比較的時候
[00:00:49.740 --> 00:00:51.900]  不知道在過去日子
[00:00:51.900 --> 00:00:55.740]  你會不會都一樣曾經經歷過
[00:00:55.740 --> 00:00:59.540]  失去盼望呢?
[00:00:59.540 --> 00:01:02.340]  或者從我們的過去
[00:01:02.340 --> 00:01:04.640]  你是怎樣成長的呢?
[00:01:04.640 --> 00:01:06.340]  最近我去搜望一些
[00:01:06.340 --> 00:01:08.440]  即稱的弟兄姊妹
[00:01:08.440 --> 00:01:09.440]  不知道為什麼
[00:01:09.440 --> 00:01:13.540]  他們總是有些困難去找工作
[00:01:13.540 --> 00:01:16.040]  當他們面對上班的時候
[00:01:16.040 --> 00:01:19.540]  他們有一種叫「慢車鞭」的感覺
[00:01:19.540 --> 00:01:20.540]  知道什麼叫「慢車鞭」嗎?
[00:01:20.540 --> 00:01:23.540]  覺得自己力有不逮
[00:01:23.540 --> 00:01:24.440]  什麼意思呢?
[00:01:24.440 --> 00:01:26.940]  原來當你的成長裡面
[00:01:26.940 --> 00:01:29.240]  你每一次讀書的時候
[00:01:29.240 --> 00:01:31.140]  你通常是排第幾的
[00:01:31.140 --> 00:01:33.440]  有沒有人每次都考第一的?
