
[00:00:00.000 --> 00:00:04.000]  今日講題是「你的話是我腳前的燈」
[00:00:04.000 --> 00:00:14.000]  大家知道我最近一直在講詩篇
[00:00:14.000 --> 00:00:22.000]  今日講的詩篇是「詩篇一百一十九篇」
[00:00:22.000 --> 00:00:29.000]  「詩篇一百一十九篇」有甚麼特別大家知不知道
[00:00:30.000 --> 00:00:33.000]  有沒有人知道
[00:00:33.000 --> 00:00:38.000]  是全本聖經最長的一篇
[00:00:38.000 --> 00:00:46.000]  也是在聖經的中間
[00:00:46.000 --> 00:00:51.000]  有多長有多少字大家知不知道
[00:00:51.000 --> 00:00:53.000]  有沒有聖經可以找一下
[00:00:57.000 --> 00:01:06.000]  很少詩篇或其他章節會有這麼長的篇
[00:01:06.000 --> 00:01:14.000]  一共是一百七十六節
[00:01:14.000 --> 00:01:23.000]  如果大家懂得唸完整篇「詩篇一百一十九篇」就很厲害了
[00:01:28.000 --> 00:01:31.000]  有時研究聖經章節也很有趣
[00:01:31.000 --> 00:01:39.000]  因為是在聖經的中間
[00:01:39.000 --> 00:01:50.000]  很多人都說「詩篇一百一十八篇」正正中中是聖經上半集
[00:01:58.000 --> 00:02:02.000]  「詩篇一百一十九篇」就是中間一開始之後
[00:02:02.000 --> 00:02:11.000]  大家先看前兩頁「詩篇一百一十七篇」有甚麼特別
[00:02:11.000 --> 00:02:21.000]  有甚麼特別?只有兩節是全本聖經最短的
[00:02:28.000 --> 00:02:30.000]  所以下次跟別人比賽
[00:02:30.000 --> 00:02:37.000]  你唸「詩篇一百一十九篇」,我唸「詩篇一百一十七篇」
[00:02:37.000 --> 00:02:39.000]  看誰唸得最好
[00:02:39.000 --> 00:02:51.000]  為甚麼有一百七十六節這麼多呢?
[00:02:56.000 --> 00:03:01.000]  我知道「詩篇」原本是希伯來文寫的
[00:03:01.000 --> 00:03:12.000]  很多人都說可能是大衛寫的
[00:03:12.000 --> 00:03:18.000]  但研究聖經學者說應該不是大衛
[00:03:18.000 --> 00:03:25.000]  因為大衛的詩很多時候都告訴我們是大衛寫的
[00:03:27.000 --> 00:03:30.000]  但這篇「詩篇」沒有寫作者是誰
[00:03:30.000 --> 00:03:39.000]  研究聖經學者說可能是亡國後回歸時期寫的
[00:03:39.000 --> 00:03:49.000]  原本希伯來文是一首很漂亮的詩
[00:03:54.000 --> 00:03:58.000]  有時我們看「詩篇」都覺得不像我們習慣的唐詩
[00:03:58.000 --> 00:04:05.000]  我們看慣「詩篇」就覺得不像傳統中文的唐詩
[00:04:05.000 --> 00:04:10.000]  因為不要忘記原文不是中文
[00:04:10.000 --> 00:04:14.000]  原文是希伯來文
[00:04:14.000 --> 00:04:19.000]  後期因為廣泛的人懂得希列文
[00:04:20.000 --> 00:04:24.000]  就把整本舊約翻譯成希列文
[00:04:24.000 --> 00:04:40.000]  不單止整篇詩篇 整個舊約翻譯成希列文
[00:04:40.000 --> 00:04:47.000]  後來大家知道我們去到羅馬時期
[00:04:48.000 --> 00:04:51.000]  就有拉丁文的版本
[00:04:51.000 --> 00:05:00.000]  拉丁文的版本就是根據希列文翻譯過來
[00:05:00.000 --> 00:05:10.000]  後來到了十六世紀就有英王御準的版本
[00:05:17.000 --> 00:05:21.000]  這個版本就是由拉丁文翻譯過來
[00:05:21.000 --> 00:05:29.000]  後來到中國馬利遜就把英文版本翻譯成和合本
[00:05:29.000 --> 00:05:38.000]  經過這麼多次翻譯
[00:05:38.000 --> 00:05:41.000]  原本的詩詞和押韻就沒有了
[00:05:48.000 --> 00:05:50.000]  內容當然沒有改變
[00:05:50.000 --> 00:05:57.000]  詩篇一直以來都給基督徒一個很大的安慰
[00:05:57.000 --> 00:06:03.000]  你不開心的時候
[00:06:03.000 --> 00:06:07.000]  你看詩篇一定幫助到你
[00:06:07.000 --> 00:06:10.000]  給我們很多鼓勵
[00:06:10.000 --> 00:06:12.000]  神有很多教導在裏面
[00:06:14.000 --> 00:06:17.000]  回到詩篇第119篇
[00:06:17.000 --> 00:06:20.000]  原來是分了22段
[00:06:20.000 --> 00:06:24.000]  大家看聖經裏面
[00:06:24.000 --> 00:06:27.000]  今天的版本都分開22個標題
[00:06:27.000 --> 00:06:34.000]  每段有8節
[00:06:34.000 --> 00:06:39.000]  很工整的
[00:06:40.000 --> 00:06:44.000]  第一節的標題是耶和華的律法
[00:06:44.000 --> 00:06:50.000]  一共有8節
[00:06:50.000 --> 00:06:54.000]  標題是信從耶和華的律法
[00:06:54.000 --> 00:06:58.000]  又有8節
[00:06:58.000 --> 00:07:01.000]  因耶和華的律法蒙福
[00:07:01.000 --> 00:07:06.000]  又有8節
[00:07:06.000 --> 00:07:10.000]  全部都有22段
[00:07:10.000 --> 00:07:12.000]  每段有8節
[00:07:12.000 --> 00:07:17.000]  大家數學行不行
[00:07:17.000 --> 00:07:22.000]  有些年輕人讀A級數學
[00:07:22.000 --> 00:07:26.000]  22乘8是多少
[00:07:26.000 --> 00:07:29.000]  22乘8就是176
[00:07:29.000 --> 00:07:34.000]  所以詩篇第119篇有176節
[00:07:37.000 --> 00:07:39.000]  這不算奇怪
[00:07:39.000 --> 00:07:43.000]  原來在原文裏面
[00:07:43.000 --> 00:07:49.000]  每段代表一個希伯來的字母
[00:07:49.000 --> 00:07:57.000]  今日英文有26個字母
[00:07:57.000 --> 00:08:02.000]  希伯來文只有22個字母
[00:08:04.000 --> 00:08:06.000]  所以第一段
[00:08:06.000 --> 00:08:08.000]  我當它是A
[00:08:08.000 --> 00:08:11.000]  我當它是代表A
[00:08:11.000 --> 00:08:13.000]  原來每節開頭
[00:08:13.000 --> 00:08:15.000]  第一個希伯來文都是由A開始
