
[00:00:00.000 --> 00:00:03.800]  鼎姊妹在去年7月14日
[00:00:03.800 --> 00:00:08.440]  美國聯合航空公司有13位資深機務員
[00:00:08.440 --> 00:00:12.160]  因為發現機尾噴了兩個英文字
[00:00:12.160 --> 00:00:15.520]  「拜拜」和兩個公仔
[00:00:15.520 --> 00:00:17.240]  一個好像魔鬼的公仔
[00:00:17.240 --> 00:00:19.240]  一個笑蝦的公仔
[00:00:19.240 --> 00:00:22.600]  加上之前美國聯邦政府
[00:00:22.600 --> 00:00:25.920]  因為收到恐怖份子
[00:00:25.920 --> 00:00:30.400]  說威脅會帶一些爆炸裝置上機
[00:00:30.400 --> 00:00:34.840]  於是全機的機組人員和乘客都要下機
[00:00:34.840 --> 00:00:40.720]  讓機長、機械師和保安人員作出保安檢查
[00:00:40.720 --> 00:00:43.880]  經過詳細檢查認為航機是安全的
[00:00:43.880 --> 00:00:45.320]  一場虛驚
[00:00:45.320 --> 00:00:50.240]  但這13位機務員因為仍然心裏很不安樂
[00:00:50.240 --> 00:00:52.000]  「拜拜」是甚麼意思呢?
[00:00:52.000 --> 00:00:53.600]  是否真的「拜拜」呢?
[00:00:53.600 --> 00:00:57.360]  加上之前一些恐怖的預言
[00:00:57.360 --> 00:01:02.640]  所以他們堅決拒絕上機執行職務
[00:01:02.640 --> 00:01:05.120]  該班航機被迫取消
[00:01:05.120 --> 00:01:10.960]  最終他們因為不服高層指令而被解僱
[00:01:10.960 --> 00:01:13.360]  這是新聞的消息
[00:01:13.360 --> 00:01:16.680]  信服是否很容易呢?
[00:01:16.680 --> 00:01:19.000]  我相信很不容易
[00:01:19.000 --> 00:01:23.640]  我們內心的本性就是不服
[00:01:23.640 --> 00:01:27.680]  你叫我向前,我就是要向後
[00:01:27.680 --> 00:01:31.400]  你叫我向右,我就是要向左
[00:01:31.400 --> 00:01:35.440]  這是人性裏面深層的罪
[00:01:35.440 --> 00:01:38.760]  加上很多外在的因素
[00:01:38.760 --> 00:01:44.480]  所以會造成我們在信服上很多掙扎的現象
[00:01:44.480 --> 00:01:47.400]  甚至我們會為了不信服
[00:01:47.400 --> 00:01:52.760]  我們要面對一個我們不想面對的後果
[00:01:52.760 --> 00:01:58.040]  若拿書是一本大家很熟悉的先知書
[00:01:58.040 --> 00:01:59.920]  可能你最熟悉的是甚麼呢?
[00:01:59.920 --> 00:02:03.720]  就是有條大魚吞了若拿
[00:02:03.720 --> 00:02:06.280]  小朋友會覺得很奇怪
[00:02:06.280 --> 00:02:08.920]  但亦都覺得沒有可能
[00:02:08.920 --> 00:02:10.880]  為何吞了之後又不死
[00:02:10.880 --> 00:02:14.040]  還在適當的時候透出來
[00:02:14.040 --> 00:02:16.120]  然後才繼續他的任務
[00:02:16.120 --> 00:02:18.800]  簡直是匪夷所思
[00:02:18.800 --> 00:02:21.280]  因此這本書雖然大家很熟悉
[00:02:21.280 --> 00:02:23.840]  但亦都引起很多的爭議
[00:02:23.840 --> 00:02:25.520]  其中有兩個爭議
