
[00:00:00.000 --> 00:00:04.320]  上個禮拜我有機會到夏威夷的大島
[00:00:04.320 --> 00:00:06.100]  不是去度假
[00:00:06.100 --> 00:00:10.500]  而是去拜訪青年使命團的創辦人
[00:00:10.500 --> 00:00:12.500]  Loren Cunningham牧師
[00:00:12.500 --> 00:00:15.200]  爲什麼要去拜訪他呢
[00:00:15.200 --> 00:00:17.400]  因爲他常常說一句話
[00:00:17.400 --> 00:00:20.100]  他說他來我們教會很多次
[00:00:20.100 --> 00:00:23.400]  可是我卻從來沒有去過他們的總部
[00:00:23.400 --> 00:00:25.500]  去探望他過一次
[00:00:25.500 --> 00:00:29.100]  我必須要還一個人情債
[00:00:29.700 --> 00:00:32.300]  當然除了這個還有更重要的原因
[00:00:32.300 --> 00:00:35.900]  就是我自己很想能夠跟他有一些交通
[00:00:35.900 --> 00:00:39.400]  能夠知道神在他身上的託付
[00:00:39.400 --> 00:00:42.500]  而且看見神在他生命當中
[00:00:42.500 --> 00:00:44.700]  藉着他所做的事情
[00:00:44.700 --> 00:00:50.200]  當我第一次站在萬國大學的校園
[00:00:50.200 --> 00:00:54.600]  特別是站在那個插滿萬國旗的
[00:00:54.600 --> 00:00:57.600]  他們叫萬國廣場的時候
[00:00:57.900 --> 00:01:00.800]  我的眼淚不能夠不掉下來
[00:01:00.800 --> 00:01:04.200]  因爲我曾經聽過Loren Cunningham講到
[00:01:04.200 --> 00:01:08.800]  他們進入到大島買地建學校的過程
[00:01:08.800 --> 00:01:12.400]  那個時候其實在大島的
[00:01:12.400 --> 00:01:16.400]  Kelua Kona這個地方是荒蕪之地
[00:01:16.400 --> 00:01:18.900]  人們要去大島
[00:01:18.900 --> 00:01:21.200]  也會去東邊的Hilo
[00:01:21.200 --> 00:01:25.000]  絕對不會到西邊的Kelua Kona
[00:01:25.200 --> 00:01:29.200]  而且當時在Kelua Kona也沒有什麼地方可買的
[00:01:29.200 --> 00:01:32.400]  只有一個很破舊的旅館
[00:01:32.400 --> 00:01:36.400]  他們就買下了這個破舊的旅館
[00:01:36.400 --> 00:01:38.400]  神對他說
