
[00:00:00.000 --> 00:00:03.400]  第一節讓我們先聽神的導議,讓我們先同心投靠
[00:00:03.400 --> 00:00:06.800]  女士姐妹,讓我們先聽神的導議,先同心禱告
[00:00:06.800 --> 00:00:12.800]  慈悲的天父,多謝祢讓我們回到祢的說話裏面,一同學習
[00:00:12.800 --> 00:00:16.400]  求祢讓我們學會怎樣去聆聽祢的說話
[00:00:16.400 --> 00:00:18.100]  隨著聖靈的引導
[00:00:18.100 --> 00:00:20.600]  可以將所聽到的道理
[00:00:20.600 --> 00:00:23.000]  更新我們的生命
[00:00:23.000 --> 00:00:26.000]  使我們更貼近主祢的心腸
[00:00:26.300 --> 00:00:30.000]  讓我們知道我們所跟從的是怎樣的位置
[00:00:30.000 --> 00:00:31.300]  求祢的幫助
[00:00:31.300 --> 00:00:33.300]  我們親愛的天父,我們感謝祢
[00:00:33.300 --> 00:00:35.300]  讓我們能夠再次有生命
[00:00:35.300 --> 00:00:37.800]  在星期天我們一起,聚在一起
[00:00:37.800 --> 00:00:40.300]  來到聆聽主理的說話
[00:00:40.300 --> 00:00:41.800]  聆收主理的教訓
[00:00:41.800 --> 00:00:44.100]  讓我們明白祢是什麼樣的一位主
[00:00:44.100 --> 00:00:46.600]  我們在這裏再次懇求祢
[00:00:46.600 --> 00:00:50.100]  讓祢的話語成為我們的引導
[00:00:50.100 --> 00:00:54.300]  也讓我們隨時葬服在聖靈的引導
[00:00:54.300 --> 00:00:56.800]  使我們能夠按照主理的教訓
[00:00:56.800 --> 00:00:58.300]  來活出我們的生命
[00:00:58.300 --> 00:01:00.300]  我們大家風主耶穌的名臣
[00:01:00.300 --> 00:01:01.300]  Amen
[00:01:01.300 --> 00:01:05.300]  不知道大兄姊妹有沒有試過
[00:01:05.300 --> 00:01:08.300]  買東西的時候找續有錯誤呢?
[00:01:08.300 --> 00:01:11.800]  有沒有,我不知道弟兄姊妹在買東西的時候
[00:01:11.800 --> 00:01:14.800]  找錢的時候有找過錯誤的時候呢?
[00:01:14.800 --> 00:01:17.800]  也不知道你有沒有試過曾經被人誤會
[00:01:17.800 --> 00:01:20.800]  你是有什麼特別的身份
[00:01:20.800 --> 00:01:24.800]  而給你一些特別的優待的待遇呢?
[00:01:24.800 --> 00:01:26.800]  你不知道有沒有經歷過
[00:01:26.800 --> 00:01:30.800]  被某人認為你是很有特殊的人物
[00:01:30.800 --> 00:01:32.300]  被誤會你成特殊的人物呢?
[00:01:32.300 --> 00:01:33.800]  有特殊的優惠呢?
[00:01:33.800 --> 00:01:37.300]  最近呢,剛剛上個禮拜我去完旅行
[00:01:37.300 --> 00:01:38.800]  上個禮拜我去旅行
[00:01:38.800 --> 00:01:42.300]  就去了洛杉磯旅行
[00:01:42.300 --> 00:01:43.800]  去了洛杉磯
[00:01:43.800 --> 00:01:46.800]  碰巧有禮拜日時間
[00:01:46.800 --> 00:01:48.300]  剛好是星期日
[00:01:48.300 --> 00:01:51.300]  每次去旅行,就算是禮拜日
[00:01:51.300 --> 00:01:52.300]  我都會去聚會的
[00:01:52.300 --> 00:01:55.300]  出去旅行呢,如果碰到星期日呢
[00:01:55.300 --> 00:01:56.800]  我都是去聚會的
[00:01:56.800 --> 00:02:00.300]  你知道有很多基督徒一放假就沒有上帝了
[00:02:00.300 --> 00:02:02.800]  我沒有的,我經常都掛念上帝的
[00:02:02.800 --> 00:02:05.300]  有些基督徒一放假就沒有上帝了
[00:02:05.300 --> 00:02:07.800]  上帝在禮拜日有什麼給我學習呢?
[00:02:07.800 --> 00:02:10.800]  上帝在那個主日給我什麼學習呢?
[00:02:10.800 --> 00:02:13.800]  我就去了一間教會
[00:02:13.800 --> 00:02:18.800]  那間教會是一間超級巨型教會
[00:02:18.800 --> 00:02:21.800]  那是一間比較大型的教會
[00:02:21.800 --> 00:02:26.800]  他們的禮堂可以坐五千人一堂
[00:02:26.800 --> 00:02:29.300]  禮堂可以坐五千人
[00:02:29.300 --> 00:02:31.300]  一堂崇拜可以坐五千人
[00:02:31.300 --> 00:02:33.300]  一堂崇拜可以坐五千人
[00:02:33.300 --> 00:02:35.300]  他總共有兩堂崇拜
[00:02:35.300 --> 00:02:36.800]  他一共有兩堂崇拜
[00:02:36.800 --> 00:02:40.300]  我都想早點去
[00:02:40.300 --> 00:02:42.800]  他最早的一堂崇拜是八點半
