
[00:00:00.000 --> 00:00:07.340]  好,我們今天是講到哥倫多後書六章十四節到七章一節
[00:00:07.340 --> 00:00:15.100]  我們知道結婚、婚姻等等都是很多特別的事件、特別的趣事會發生
[00:00:15.100 --> 00:00:22.340]  有一個有錢,非常有錢的老公有一天就對他太太說
[00:00:22.340 --> 00:00:26.000]  他說你生日快到了,太太說是的
[00:00:26.000 --> 00:00:30.260]  他說你想要些什麼,我什麼都可以給你
[00:00:30.260 --> 00:00:36.680]  為什麼呢?因為這個有錢的老公有什麼不可以給太太呢?
[00:00:36.680 --> 00:00:40.600]  然後太太就想一想,她就跟他說
[00:00:40.600 --> 00:00:45.100]  好啊,我就想你答應我一件事好不好?
[00:00:45.100 --> 00:00:51.360]  他說沒問題,你要什麼都可以,我就是要跟你離婚
[00:00:51.360 --> 00:00:59.440]  老公就呆一呆,然後老公的反應又沒有半點失望或者傷心
[00:00:59.440 --> 00:01:09.200]  他說真的抱歉了,我只不過今年預備給你的生日禮物的預算是沒有那麼多的
[00:01:09.200 --> 00:01:14.860]  大家都知道,因為離婚一半的身家都是給了太太的
[00:01:14.860 --> 00:01:20.180]  有時候我們也是,在婚姻裡面都覺得淡而無味
[00:01:20.180 --> 00:01:25.040]  有些人走就走不掉,有些人就進入不了
[00:01:25.040 --> 00:01:30.480]  婚姻是一個很奇怪的事,有些人竭盡所能很想進入去
[00:01:30.480 --> 00:01:35.280]  也有很多人竭盡所能很想從婚姻離開
[00:01:35.280 --> 00:01:40.500]  而離開的不久之後又想竭盡所能想進入去
[00:01:40.500 --> 00:01:46.600]  有人這樣說,婚姻就好像一個照妖鏡一樣
[00:01:46.600 --> 00:01:52.860]  慢慢照,照著照著,真身就顯現了
[00:01:52.860 --> 00:01:58.620]  無論對方看到你的真身,或者你看到自己的真身也說不定
[00:01:58.620 --> 00:02:05.280]  因為在這個狀態裡面,你未必見過自己有這樣的情況出現
[00:02:05.280 --> 00:02:12.880]  唯一的婚姻,真的不容易,特別是我們看到全世界的離婚率越來越高
[00:02:12.880 --> 00:02:18.200]  高度差不多也不再高了,為什麼呢?因為人們都不結婚了
[00:02:18.200 --> 00:02:24.300]  作為基督徒,我們經常說婚姻是神所賜的禮物
[00:02:24.300 --> 00:02:35.160]  我們也知道聖經說:哪人獨居不好,你要為他準備一個配偶幫助他
[00:02:35.160 --> 00:02:40.700]  耶穌也這麼說:神配合的,人不能分開
[00:02:40.700 --> 00:02:47.740]  但是我們往往看到,究竟婚姻是否真的可以這麼容易走到尾呢?
