
[00:00:00.000 --> 00:00:03.000]  今天講的這篇道是講爸爸
[00:00:03.000 --> 00:00:08.000]  2006年我講過同樣的這篇
[00:00:08.000 --> 00:00:11.000]  不過題目不同
[00:00:11.000 --> 00:00:14.000]  在這裏都很想認識一下你們
[00:00:14.000 --> 00:00:15.000]  怎樣認識呢
[00:00:15.000 --> 00:00:16.000]  我想問弟兄姊妹
[00:00:16.000 --> 00:00:19.000]  無論你信耶穌信了多久都好
[00:00:19.000 --> 00:00:21.000]  你老老實實地回答我
[00:00:21.000 --> 00:00:23.000]  你覺得你所信的耶穌
[00:00:23.000 --> 00:00:26.000]  真是一個又真又活的主人
[00:00:26.000 --> 00:00:30.000]  如果是的話就舉手
[00:00:30.000 --> 00:00:33.000]  每一堂都挺多人的
[00:00:33.000 --> 00:00:36.000]  我們的上帝是一個又真又活的上帝
[00:00:36.000 --> 00:00:38.000]  四十多年前
[00:00:38.000 --> 00:00:41.000]  當我第一次進到教會
[00:00:41.000 --> 00:00:44.000]  有人跟我說耶穌愛你
[00:00:44.000 --> 00:00:48.000]  我當時跟爸爸關係破裂
[00:00:48.000 --> 00:00:52.000]  我說天父爸爸會讓你經歷不一樣的人生
[00:00:52.000 --> 00:00:55.000]  我當時抱著的看法
[00:00:55.000 --> 00:00:56.000]  試下信吧
[00:00:56.000 --> 00:00:58.000]  我不知道你們有沒有人像我這樣
[00:00:58.000 --> 00:01:00.000]  試下信吧
[00:01:00.000 --> 00:01:03.000]  試下信
[00:01:03.000 --> 00:01:04.000]  不止信了
[00:01:04.000 --> 00:01:05.000]  就信了
[00:01:05.000 --> 00:01:08.000]  四十多年
[00:01:08.000 --> 00:01:09.000]  有沒有風雨呢
[00:01:09.000 --> 00:01:10.000]  有啊
[00:01:10.000 --> 00:01:11.000]  認識我的人都知道
[00:01:11.000 --> 00:01:13.000]  經歷過水災火災
[00:01:13.000 --> 00:01:16.000]  生老病死
[00:01:16.000 --> 00:01:18.000]  悲歡離合
[00:01:18.000 --> 00:01:20.000]  很多事情都經歷過
[00:01:20.000 --> 00:01:21.000]  但更加重要的是
[00:01:21.000 --> 00:01:23.000]  在這些經歷裏
[00:01:23.000 --> 00:01:26.000]  耶穌同在
[00:01:26.000 --> 00:01:27.000]  當然有些人問
[00:01:27.000 --> 00:01:31.000]  師母你祈禱上帝一定聽嗎
[00:01:31.000 --> 00:01:33.000]  當然不是
[00:01:33.000 --> 00:01:35.000]  最近就不聽了
[00:01:35.000 --> 00:01:38.000]  兩個星期前去溫哥華
[00:01:38.000 --> 00:01:41.000]  要服事
[00:01:41.000 --> 00:01:42.000]  但去到的時候
[00:01:42.000 --> 00:01:45.000]  一定有一樣東西叫Jet Lag
[00:01:45.000 --> 00:01:47.000]  第一天Jet Lag
[00:01:47.000 --> 00:01:51.000]  第二天到Jet Lag
[00:01:51.000 --> 00:01:54.000]  第三天教會弟兄姊妹就問我們
[00:01:54.000 --> 00:01:55.000]  師母你還有沒有Jet Lag
[00:01:55.000 --> 00:01:57.000]  我們為你祈禱
