
[00:00:00.000 --> 00:00:10.000]  我們今天和大家分享一種很有力量、很有感受的愛
[00:00:10.000 --> 00:00:13.000]  我們一起讀題目吧
[00:00:13.000 --> 00:00:16.000]  「活出愛的味道」
[00:00:16.000 --> 00:00:21.000]  今天這首詩歌「愛的真體」不是我選的
[00:00:21.000 --> 00:00:24.000]  為什麼我還沒說下集
[00:00:24.000 --> 00:00:27.000]  已經有人幫我拼了下集呢
[00:00:27.000 --> 00:00:31.000]  今天我只說哥林多前書的頭三節
[00:00:31.000 --> 00:00:36.000]  大家很明白哥林多前書的主題是講愛的
[00:00:36.000 --> 00:00:39.000]  愛是發揮很大的力量
[00:00:39.000 --> 00:00:42.000]  同樣愛令到人去連繫
[00:00:42.000 --> 00:00:46.000]  我們看看最近中國出了一個紀錄片
[00:00:46.000 --> 00:00:47.000]  又很威風的
[00:00:47.000 --> 00:00:49.000]  我們看一看
[00:00:49.000 --> 00:00:52.000]  看不看到上面紅色的幾個字
[00:00:52.000 --> 00:00:53.000]  我們一起讀
[00:00:53.000 --> 00:00:55.000]  厲害了我的國
[00:00:55.000 --> 00:00:57.000]  我都知道你很平淡地說
[00:00:57.000 --> 00:01:00.000]  因為你感受不到那種力量
[00:01:00.000 --> 00:01:02.000]  厲害啊沙尋
[00:01:02.000 --> 00:01:03.000]  厲害啊神的國
[00:01:03.000 --> 00:01:05.000]  那你又會有些感受
[00:01:05.000 --> 00:01:07.000]  因為這是屬於你的國度
[00:01:07.000 --> 00:01:08.000]  屬於神的國度
[00:01:08.000 --> 00:01:10.000]  你會有感受
[00:01:10.000 --> 00:01:12.000]  身為中國人
[00:01:12.000 --> 00:01:14.000]  我不講政治
[00:01:14.000 --> 00:01:17.000]  不過我會因為中國本身
[00:01:17.000 --> 00:01:18.000]  各樣的改善
[00:01:18.000 --> 00:01:20.000]  民生的改善
[00:01:20.000 --> 00:01:23.000]  各樣人之間文化的改善
[00:01:23.000 --> 00:01:26.000]  我會感覺到自豪
[00:01:26.000 --> 00:01:28.000]  我是中國人
[00:01:28.000 --> 00:01:30.000]  雖然在政治立場上
[00:01:30.000 --> 00:01:33.000]  我未必跟領導是同樣的想法
[00:01:33.000 --> 00:01:36.000]  不過為了我們自己本身
[00:01:36.000 --> 00:01:38.000]  我們的同胞
[00:01:38.000 --> 00:01:41.000]  能夠有好的發展
[00:01:41.000 --> 00:01:42.000]  有更好的生活
[00:01:42.000 --> 00:01:44.000]  我會自豪
[00:01:44.000 --> 00:01:46.000]  所以這個厲害了我的國
[00:01:46.000 --> 00:01:48.000]  其實是一個政治片
[00:01:48.000 --> 00:01:52.000]  不是說這幾年中國的發展是多好多好
[00:01:52.000 --> 00:01:55.000]  其實這套片在2018年3月裏面推出
[00:01:55.000 --> 00:01:57.000]  是一個紀錄片
[00:01:57.000 --> 00:02:00.000]  紀錄中國在習近平
[00:02:00.000 --> 00:02:03.000]  我們說習總領導下的五年裏面
[00:02:03.000 --> 00:02:05.000]  各樣科技上
[00:02:05.000 --> 00:02:07.000]  文化上的發展
[00:02:07.000 --> 00:02:09.000]  所以這個名字就厲害了
[00:02:09.000 --> 00:02:11.000]  原來好像是突飛猛進
[00:02:11.000 --> 00:02:13.000]  甚至乎我們經常提到的
[00:02:13.000 --> 00:02:15.000]  中國四大文明
[00:02:15.000 --> 00:02:17.000]  我們現在都有中國的新四大文明
[00:02:17.000 --> 00:02:19.000]  很多人掛在後面
[00:02:19.000 --> 00:02:21.000]  我們回去中國看看吧
[00:02:21.000 --> 00:02:23.000]  是完全不同了
[00:02:23.000 --> 00:02:24.000]  我們看看了
[00:02:24.000 --> 00:02:27.000]  祖國真的這麼好嗎
[00:02:27.000 --> 00:02:28.000]  我們真的要看看了
[00:02:28.000 --> 00:02:30.000]  不過不用看之前
[00:02:30.000 --> 00:02:32.000]  我們在新聞紙上
[00:02:32.000 --> 00:02:34.000]  我們在一些傳聞上
[00:02:34.000 --> 00:02:36.000]  我們應該都聽到
[00:02:36.000 --> 00:02:37.000]  中美爭拗
[00:02:37.000 --> 00:02:38.000]  在年頭的時候
[00:02:38.000 --> 00:02:40.000]  中美爭拗帶來一個很大的震撼
[00:02:40.000 --> 00:02:42.000]  我們很多時候覺得
[00:02:42.000 --> 00:02:44.000]  中美爭拗關我們甚麼事呢
[00:02:44.000 --> 00:02:45.000]  香港是一個自由港
[00:02:45.000 --> 00:02:47.000]  香港是一個很發達的城市
[00:02:47.000 --> 00:02:49.000]  不關我們的事
[00:02:49.000 --> 00:02:54.000]  當美國說要向中國納很重的關稅
[00:02:54.000 --> 00:02:58.000]  很多貨品要納關稅的時候
[00:02:58.000 --> 00:03:00.000]  其中有感謝主
[00:03:00.000 --> 00:03:02.000]  今早呢
[00:03:02.000 --> 00:03:06.000]  中興通訊
[00:03:06.000 --> 00:03:08.000]  我們說中興通訊是甚麼來的
[00:03:08.000 --> 00:03:10.000]  做些甚麼的
