
[00:00:00.000 --> 00:00:07.000]  經過了聖誕節的三個禮拜
[00:00:07.000 --> 00:00:13.000]  不知道你們還有沒有想念耶穌基督誕生的故事呢?
[00:00:13.000 --> 00:00:20.000]  當世界各地都將那些燈飾、聖誕裝置拆掉的時候
[00:00:20.000 --> 00:00:25.000]  你們還會不會想著耶穌基督誕生的故事呢?
[00:00:25.000 --> 00:00:30.000]  耶穌基督的誕生是一個epiphany
[00:00:30.000 --> 00:00:36.000]  在某些教會的傳統當中就叫做顯現期
[00:00:36.000 --> 00:00:40.000]  主要是講到博士來朝見耶穌基督
[00:00:40.000 --> 00:00:46.000]  又講及到耶穌基督的成長和壽針
[00:00:46.000 --> 00:00:52.000]  另外亦會強調耶穌基督的聖功是能夠彰顯神的榮耀
[00:00:52.000 --> 00:00:57.000]  最後就是耶穌基督的登山補訓的故事
[00:00:57.000 --> 00:01:03.000]  所以我們要記得,原來聖誕節是關乎一個旅程
[00:01:03.000 --> 00:01:07.000]  是一個adventure,是一個journey
[00:01:07.000 --> 00:01:11.000]  我們要一同繼續去追尋神
[00:01:11.000 --> 00:01:17.000]  我們繼續要依靠明亮的神聖的指引
[00:01:17.000 --> 00:01:22.000]  在以弗所書,在以塞亞書第九章我們看見
[00:01:22.000 --> 00:01:27.000]  在黑夜中行走的百姓看見了大光
[00:01:27.000 --> 00:01:33.000]  住在死刃之地的人有光照耀他們
[00:01:33.000 --> 00:01:38.000]  因有一英孩為我們而生,有一子賜給我們
[00:01:38.000 --> 00:01:42.000]  政權必擔在他的肩頭上
[00:01:42.000 --> 00:01:50.000]  他的名稱為奇妙賊士,全能的神,永在的父,和平的君
[00:01:50.000 --> 00:01:53.000]  剛才我們聽到詩班的詠唱
[00:01:53.000 --> 00:01:56.000]  我不知道你們有沒有留意歌詞
[00:01:56.000 --> 00:02:00.000]  我希望你們留意這首歌,是一首很好的歌
[00:02:00.000 --> 00:02:04.000]  我們這次聽了第二次,希望你們有機會再聽第三次,第四次
[00:02:04.000 --> 00:02:06.000]  是一首美好的詩歌
[00:02:06.000 --> 00:02:10.000]  我將歌詞的某些內容再向你們重覆一下
[00:02:10.000 --> 00:02:15.000]  基督明亮神聖,上主之光,亮照遠方
[00:02:15.000 --> 00:02:19.000]  太初創造天地萬物的神
[00:02:19.000 --> 00:02:22.000]  神創造人出於地土
[00:02:22.000 --> 00:02:26.000]  差遣獨生子降生於世間
