
[00:00:00.000 --> 00:00:02.240]  各位英雄姊妹朋友們早安
[00:00:02.240 --> 00:00:03.720]  早安
[00:00:03.720 --> 00:00:04.960]  是的
[00:00:04.960 --> 00:00:06.440]  今天我要跟各位分享
[00:00:06.440 --> 00:00:07.800]  祝福滿滿
[00:00:07.800 --> 00:00:10.120]  因為這是新的一年
[00:00:10.120 --> 00:00:13.440]  我們進入這一個新的一個意象
[00:00:13.440 --> 00:00:15.800]  一個新的一個氣息
[00:00:15.800 --> 00:00:19.040]  剛才大家看的節目的表演
[00:00:19.040 --> 00:00:20.720]  大有神的統戰
[00:00:20.720 --> 00:00:21.640]  是的
[00:00:21.640 --> 00:00:24.800]  剛才我們先行唸的詩篇第九十篇說
[00:00:24.800 --> 00:00:28.480]  求你使我們早早飽得你的慈愛
[00:00:28.480 --> 00:00:32.200]  好叫我們一生一世歡呼喜樂
[00:00:32.200 --> 00:00:35.280]  求你照著你使我們受苦的日子
[00:00:35.280 --> 00:00:37.800]  和我們遭難的年歲
[00:00:37.800 --> 00:00:39.280]  叫我們喜樂
[00:00:39.280 --> 00:00:42.200]  所以今年我們要歡呼喜樂
[00:00:42.200 --> 00:00:44.520]  我們要喜樂
[00:00:44.520 --> 00:00:50.840]  今天慶祝那麼有許多的祝福語
[00:00:50.840 --> 00:00:53.640]  讓我來跟各位先拜個早年
[00:00:53.640 --> 00:00:56.320]  然後說一些祝福的吉祥話
[00:00:56.320 --> 00:01:00.920]  敬祝各位福相如初
[00:01:00.920 --> 00:01:03.520]  祝福各位諸事順利
[00:01:03.520 --> 00:01:05.640]  諸事吉祥
[00:01:05.640 --> 00:01:08.680]  諸入門百福作
[00:01:08.680 --> 00:01:10.480]  金豬祥瑞
[00:01:10.480 --> 00:01:12.320]  金豬賀歲
[00:01:12.320 --> 00:01:13.600]  祝福滿滿
[00:01:13.600 --> 00:01:15.320]  諸報平安
[00:01:15.320 --> 00:01:18.400]  敬祝各位諸肥人富
[00:01:18.400 --> 00:01:21.400]  敬祝各位春花百朵開
[00:01:21.400 --> 00:01:23.640]  豬豬飲金福
[00:01:23.640 --> 00:01:26.680]  敬祝各位喜從豬來
[00:01:26.680 --> 00:01:28.160]  諸事如意
[00:01:28.160 --> 00:01:29.560]  豬銳銀祥
[00:01:29.560 --> 00:01:31.000]  豬年好運
[00:01:31.000 --> 00:01:33.120]  金豬送春
[00:01:33.120 --> 00:01:34.440]  豬年旺旺來
[00:01:34.440 --> 00:01:36.920]  豬年到福氣到
[00:01:36.920 --> 00:01:38.160]  好的
[00:01:38.160 --> 00:01:40.440]  其實呢
[00:01:40.440 --> 00:01:43.400]  中國人的春節剛才有講
[00:01:43.400 --> 00:01:47.480]  其實跟猶太人的愉悅節非常的像
[00:01:47.480 --> 00:01:52.040]  我們的春節的時間是什麼日子啊
[00:01:52.040 --> 00:01:53.800]  正月初一
[00:01:53.800 --> 00:01:56.000]  猶太人的愉悅節是
[00:01:56.000 --> 00:01:59.440]  聖經上面說一年之首
[00:01:59.440 --> 00:02:03.720]  那麼我們過年要回什麼地方
[00:02:03.720 --> 00:02:05.160]  回家
[00:02:05.160 --> 00:02:07.080]  那麼猶太人愉悅節
[00:02:07.080 --> 00:02:09.040]  他們要怎麼樣
[00:02:09.040 --> 00:02:11.720]  他們要歸附家
[00:02:11.720 --> 00:02:14.800]  因為他們要準備出去
[00:02:14.800 --> 00:02:20.880]  那麼我們中國人過年有什麼預備的工作啊
[00:02:20.880 --> 00:02:24.000]  大掃除吃年夜飯等等
[00:02:24.000 --> 00:02:25.960]  那麼猶太人呢
[00:02:25.960 --> 00:02:27.640]  整裝帶發
[00:02:27.640 --> 00:02:30.320]  然後還有羔羊宴
[00:02:30.320 --> 00:02:31.760]  我們吃的是什麼
[00:02:31.760 --> 00:02:33.560]  今天不知道有沒有人帶來
[00:02:33.560 --> 00:02:35.640]  好像小野有帶
[00:02:35.640 --> 00:02:37.880]  無效麵皮餃子
[00:02:37.880 --> 00:02:40.360]  還有無效麵做的
[00:02:40.360 --> 00:02:42.320]  還有吃長年菜
[00:02:42.320 --> 00:02:45.520]  長年菜是什麼
[00:02:45.520 --> 00:02:47.720]  有人台灣是南部
[00:02:47.720 --> 00:02:51.080]  是吃的是菠菜帶根的
[00:02:51.080 --> 00:02:52.840]  所以長長的
[00:02:52.840 --> 00:02:56.040]  那麼北部人是吃的是芥蘭菜
[00:02:56.040 --> 00:02:57.480]  說是長年菜
[00:02:57.480 --> 00:02:59.680]  那麼猶太人吃的是什麼呢
[00:02:59.680 --> 00:03:02.920]  羊肉無效餅還有苦菜
[00:03:02.920 --> 00:03:07.920]  那麼我們過年要守夜要幹什麼
[00:03:07.920 --> 00:03:09.720]  大團圓是不是
[00:03:09.720 --> 00:03:12.520]  像我記得我以前小時候
[00:03:12.520 --> 00:03:16.320]  年夜飯吃完了就拿了壓歲錢就守夜
[00:03:16.320 --> 00:03:18.920]  就開始玩十點半
[00:03:18.920 --> 00:03:20.520]  一個小時全部曙光
[00:03:20.520 --> 00:03:24.560]  每年如此
[00:03:24.560 --> 00:03:26.920]  猶太人也是大團圓
[00:03:26.920 --> 00:03:29.680]  但是他們團圓是整裝帶發
[00:03:29.680 --> 00:03:30.920]  那麼其他的日子
[00:03:30.920 --> 00:03:35.680]  連結其他日子我們要做什麼
[00:03:35.680 --> 00:03:37.960]  我們一般是要祭祖我們要團拜
[00:03:37.960 --> 00:03:40.360]  我們還要回良家
[00:03:40.360 --> 00:03:42.320]  那麼猶太人呢
[00:03:42.320 --> 00:03:44.360]  他們會有聖會
[00:03:44.360 --> 00:03:45.800]  他們不能做工的
[00:03:45.800 --> 00:03:47.800]  就隨時準備要走了
[00:03:47.800 --> 00:03:49.440]  而且世世代代
[00:03:49.440 --> 00:03:52.200]  我們的春節成為一個傳統
[00:03:52.200 --> 00:03:54.840]  而且逾越節呢
[00:03:54.840 --> 00:03:56.960]  守為聖日
[00:03:56.960 --> 00:03:58.960]  聖經上面都講的
[00:03:58.960 --> 00:04:03.880]  所以我們在門眉門框上面要貼什麼
[00:04:03.880 --> 00:04:05.680]  春聯紅色的
[00:04:05.680 --> 00:04:07.480]  猶太人要怎麼樣
[00:04:07.480 --> 00:04:09.360]  塗羔羊的血
[00:04:09.360 --> 00:04:10.920]  為什麼呢
[00:04:10.920 --> 00:04:15.720]  因為我們要放鞭炮趕年壽
[00:04:15.720 --> 00:04:23.240]  而猶太人是要躲避那個殺投生長子的滅命天使
[00:04:23.240 --> 00:04:26.920]  所以有許多相似之處
[00:04:26.920 --> 00:04:29.280]  但冰人屬什麼
[00:04:29.280 --> 00:04:30.720]  豬
