
[00:00:00.000 --> 00:00:02.000]  祝大家新年平安
[00:00:02.000 --> 00:00:06.500]  在2015年可以多多經歷主恩救庸
[00:00:06.500 --> 00:00:11.500]  與你身邊的人再一次說一聲新年平安 主恩救庸
[00:00:11.500 --> 00:00:21.500]  我們最重要的是救庸 救就可以了
[00:00:21.500 --> 00:00:25.000]  我們今天會思想一段經文
[00:00:25.000 --> 00:00:29.000]  在肥立比書第三章十二到十六節
[00:00:29.000 --> 00:00:31.000]  在你的程序的第三頁
[00:00:31.000 --> 00:00:38.000]  找到我想姊妹幫我們讀第十二到十四節
[00:00:38.000 --> 00:00:41.000]  弟兄讀十五到十六節
[00:00:41.000 --> 00:00:44.000]  請姊妹
[00:00:59.000 --> 00:01:13.000]  主恩救庸
[00:01:13.000 --> 00:01:17.000]  所以我們中間凡是成熟的人
[00:01:17.000 --> 00:01:20.000]  總要存這樣的心
[00:01:20.000 --> 00:01:23.000]  若在什麼事上存別樣的心
[00:01:23.000 --> 00:01:27.000]  神也會把這些事指示你們
[00:01:27.000 --> 00:01:30.000]  然而我們達到什麼地步
[00:01:30.000 --> 00:01:33.000]  就當照這個地步行
[00:01:33.000 --> 00:01:35.000]  我們再一次同心去禱告
[00:01:35.000 --> 00:01:39.000]  希望我們去仰望你
[00:01:39.000 --> 00:01:42.000]  求你的靈去指教我們
[00:01:42.000 --> 00:01:44.000]  讓我們明白真理
[00:01:44.000 --> 00:01:48.000]  讓我們的心降伏在真理面前
[00:01:48.000 --> 00:01:51.000]  求主藉著你的話去改變我們
[00:01:51.000 --> 00:01:54.000]  讓我們看到我們人生的前變
[00:01:54.000 --> 00:01:58.000]  你為我們設定了目標、方向
[00:01:58.000 --> 00:02:02.000]  幫助我們努力去追求
[00:02:02.000 --> 00:02:03.000]  我們交託你
[00:02:03.000 --> 00:02:05.000]  奉耶穌基督的聖名
[00:02:05.000 --> 00:02:06.000]  阿們
[00:02:06.000 --> 00:02:09.000]  我不知道你覺不覺得
[00:02:09.000 --> 00:02:13.000]  香港人很多怨氣、很多不滿
