
[00:00:00.000 --> 00:00:21.000]  餘生久美 平安
[00:00:21.000 --> 00:00:24.720]  非常感恩 又能夠再來跟大家一起
[00:00:24.720 --> 00:00:27.400]  崇拜 爾神 分享
[00:00:27.400 --> 00:00:34.400]  我們今天就特別研究關於舊約的傳道書裏面的智慧
[00:00:34.400 --> 00:00:38.400]  舊約的傳道書很多人說是好難理解的
[00:00:38.400 --> 00:00:43.400]  今天我們去研究一段《南宗之難》
[00:00:43.400 --> 00:00:47.400]  這是傳道書最後的一段聖經
[00:00:47.400 --> 00:00:51.400]  難在哪裏呢?
[00:00:51.400 --> 00:00:58.400]  我們來看 我們剛纔唸的時候你可能發覺
[00:00:58.400 --> 00:01:05.400]  在當中有一個非常好像非常矛盾的人生的意念
[00:01:05.400 --> 00:01:11.400]  對於一些基督徒或者曾經念過傳道書的基督徒來說
[00:01:11.400 --> 00:01:17.400]  傳道書最令你印象最深的是什麼 記得嗎?
[00:01:17.400 --> 00:01:20.400]  虛空的虛空
[00:01:20.400 --> 00:01:23.400]  日光地下都是虛空
[00:01:23.400 --> 00:01:28.400]  所以虛空是整個傳道書裏面一個的主題
[00:01:28.400 --> 00:01:32.400]  就是你看傳道書一集不斷地講到虛空的虛空
[00:01:32.400 --> 00:01:36.400]  剛纔我們唸的經文裏面也包括了這樣的話語
[00:01:36.400 --> 00:01:39.400]  因爲首先我們發覺剛纔唸的時候
[00:01:39.400 --> 00:01:42.400]  給我們看到好像傳道書裏面
[00:01:42.400 --> 00:01:46.400]  那個聖經裏面告訴我們人生是好消極的
[00:01:46.400 --> 00:01:47.400]  人生是好虛空的
[00:01:47.400 --> 00:01:52.400]  你看第八節裏面說不過他要想到黑暗的日子
[00:01:52.400 --> 00:01:58.400]  而且這些日子很多要來的都是虛空的
[00:01:58.400 --> 00:02:03.400]  還有人生第十節你說無論是幼年或者壯年
[00:02:03.400 --> 00:02:09.400]  年輕的也好 壯年的也好 什麼年紀都是虛空
[00:02:09.400 --> 00:02:13.400]  還有第十二章第八節裏面說傳道者說
[00:02:13.400 --> 00:02:18.400]  結論剛纔我們唸的最後一節說總結了虛空的虛空
[00:02:18.400 --> 00:02:22.400]  一切的都是虛空
[00:02:22.400 --> 00:02:24.400]  好 看了這個以後
[00:02:24.400 --> 00:02:27.400]  我要請你看另外剛纔我們所念過的經文
[00:02:27.400 --> 00:02:29.400]  可能你們沒有留意
[00:02:29.400 --> 00:02:32.400]  另外一些經文也很特別
[00:02:32.400 --> 00:02:35.400]  因爲除了剛纔我們看到好消極以外
[00:02:35.400 --> 00:02:42.400]  我們有看到傳道書裏面充滿了要我們快樂的經文
[00:02:42.400 --> 00:02:44.400]  快樂跟虛空不是對立嗎
[00:02:44.400 --> 00:02:45.400]  我先念給你看看
[00:02:45.400 --> 00:02:50.400]  剛纔我們所念的經文等一下我引用更多的
[00:02:50.400 --> 00:02:56.400]  第八節那裏說人無論多長壽都當樂在其中
[00:02:56.400 --> 00:03:00.400]  快樂你無論是什麼年紀都要樂在其中
[00:03:00.400 --> 00:03:02.400]  不過他要想到黑暗日子
[00:03:02.400 --> 00:03:03.400]  剛纔我們念過了
[00:03:03.400 --> 00:03:07.400]  跟着第九節下去又講年輕人
