
[00:00:00.000 --> 00:00:08.500]  今天我們要跟弟兄姊妹一同來看一個《使徒行傳》第三章
[00:00:08.500 --> 00:00:11.700]  《使徒行傳》第三章
[00:00:11.700 --> 00:00:16.000]  題目是《耶穌的名》
[00:00:16.000 --> 00:00:21.300]  我們要從這一章裡面來看到
[00:00:21.300 --> 00:00:25.800]  在初期教會他們傳福音的時候
[00:00:25.800 --> 00:00:33.700]  他們是什麼個情況
[00:00:33.700 --> 00:00:39.300]  這一章主要講到一個生來是缺腿的人
[00:00:39.300 --> 00:00:41.900]  他能夠得到醫治
[00:00:41.900 --> 00:00:45.600]  這個人是四十多歲了
[00:00:45.600 --> 00:00:50.400]  那麼就在耶穌還沒有降生以前
[00:00:50.400 --> 00:00:52.800]  他已經活在地上了
[00:00:52.800 --> 00:00:55.900]  他生來就是缺腿的
[00:00:55.900 --> 00:00:58.500]  所以他沒有辦法生活
[00:00:58.500 --> 00:01:05.200]  所以每天就到聖殿的門口去要飯
[00:01:05.200 --> 00:01:09.700]  去求人的救 召集他
[00:01:09.700 --> 00:01:13.900]  這個在那天
[00:01:13.900 --> 00:01:18.100]  彼得跟約翰他就到聖殿去禱告了
[00:01:18.100 --> 00:01:24.000]  這是在生初禱告的時候 就是下午三點鐘的時候
[00:01:24.000 --> 00:01:29.100]  當時猶太人他們一天有禱告兩次的習慣
[00:01:29.100 --> 00:01:33.800]  一天早晨是在九點鐘有禱告一次
[00:01:33.800 --> 00:01:36.800]  那麼下午是三點鐘
[00:01:36.800 --> 00:01:39.300]  所以這個下午三點鐘的時候
[00:01:39.300 --> 00:01:44.300]  彼得跟約翰他們就到聖殿去禱告了
[00:01:44.300 --> 00:01:48.900]  這個時候就看見這個乞丐
[00:01:48.900 --> 00:01:51.200]  這個缺腿的人
[00:01:51.200 --> 00:01:58.500]  他就跟他們要他們的救濟
[00:01:58.500 --> 00:02:00.600]  所以彼得就跟他說
[00:02:00.600 --> 00:02:02.200]  金銀我都沒有
[00:02:02.200 --> 00:02:04.900]  你要希望我們給你錢 我們沒有
[00:02:04.900 --> 00:02:06.900]  但是把我所有的給你
[00:02:06.900 --> 00:02:08.000]  我們有什麼呢
[00:02:08.000 --> 00:02:12.500]  我們就是有納撒頓耶穌基督的名
[00:02:12.500 --> 00:02:14.700]  要叫你起來行走
[00:02:14.700 --> 00:02:18.500]  你的生活你的困難就是因為你不能行走
[00:02:18.500 --> 00:02:20.800]  你這樣你每天都來要飯
[00:02:20.800 --> 00:02:25.100]  每天這樣來也沒有解決根本的問題
[00:02:25.100 --> 00:02:27.200]  你只要能夠起來行走的話
[00:02:27.200 --> 00:02:29.100]  那你的生活就解決了
[00:02:29.100 --> 00:02:31.900]  你的人生就改變了
[00:02:31.900 --> 00:02:36.200]  所以他就我們沒有金銀什麼我們都沒有
