
[00:00:00.000 --> 00:00:03.000]  我們同心來到祷告
[00:00:03.000 --> 00:00:06.000]  神的獨生兒子耶穌基督
[00:00:06.000 --> 00:00:08.000]  求祢施恩賀禮這個罪人
[00:00:08.000 --> 00:00:12.000]  願意在主祿面前示達宣講主的恩言
[00:00:12.000 --> 00:00:16.000]  求主耶穌的補血再一次潔淨這個不配人的罪
[00:00:16.000 --> 00:00:20.000]  容忍主來到洗凈孩子
[00:00:20.000 --> 00:00:22.000]  能夠成為神話語的出口
[00:00:22.000 --> 00:00:24.000]  將主的恩言解明
[00:00:24.000 --> 00:00:26.000]  願意真理聖靈
[00:00:26.000 --> 00:00:28.000]  來開啟我們眾人心竅
[00:00:28.000 --> 00:00:30.000]  帶領我們進入真理
[00:00:30.000 --> 00:00:32.000]  恭敬、交托、仰望
[00:00:32.000 --> 00:00:35.000]  奉主耶穌基督聖名祈禱
[00:00:35.000 --> 00:00:36.000]  阿彌陀佛
[00:00:36.000 --> 00:00:42.000]  五秦節
[00:00:42.000 --> 00:00:45.000]  也就是說聖靈降臨日
[00:00:45.000 --> 00:00:49.000]  是猶太人的三大節祇之一
[00:00:49.000 --> 00:00:53.000]  扣後成為基督教的聖靈降臨日
[00:00:53.000 --> 00:00:55.000]  猶太教的雞孫
[00:00:55.000 --> 00:00:58.000]  五秦節是從雨節
[00:00:58.000 --> 00:01:02.000]  就是紀念以色列人出埃及
[00:01:02.000 --> 00:01:04.000]  離開埃及的日子
[00:01:04.000 --> 00:01:07.000]  開始起計算五十天
[00:01:07.000 --> 00:01:09.000]  一秦就是十天
[00:01:09.000 --> 00:01:12.000]  所以五秦節就是五十天
[00:01:12.000 --> 00:01:17.000]  聖靈降臨日的日期
[00:01:17.000 --> 00:01:20.000]  就是我們基督教的計算方法
[00:01:20.000 --> 00:01:23.000]  就是復活節後第五十天
[00:01:23.000 --> 00:01:28.000]  以及耶穌升天之後十天
[00:01:28.000 --> 00:01:30.000]  對於基督教來說
[00:01:30.000 --> 00:01:33.000]  五秦節就是我們今天選讀的經文
[00:01:33.000 --> 00:01:36.000]  就是《使徒行傳》第二章所記載
[00:01:36.000 --> 00:01:38.000]  就是聖靈降臨
[00:01:38.000 --> 00:01:41.000]  就是他信徒的事件
[00:01:41.000 --> 00:01:43.000]  這套戲記載
[00:01:43.000 --> 00:01:47.000]  五秦節當日聖靈傾注在門徒的身上
[00:01:47.000 --> 00:01:49.000]  使得門徒得著能力
[00:01:49.000 --> 00:01:56.000]  他也在聖殿裡高聲宣講
[00:01:56.000 --> 00:02:03.000]  帶領三千人收針加入教會
[00:02:03.000 --> 00:02:10.000]  有人說聖靈降臨是教會的起始
[00:02:10.000 --> 00:02:13.000]  不過用一個更加地道的說法
[00:02:13.000 --> 00:02:20.000]  聖靈降臨是借養教會和猶太人
[00:02:20.000 --> 00:02:27.000]  整個救恩歷史的體系連接在一起
[00:02:27.000 --> 00:02:31.000]  使徒行傳來技術聖靈降臨
[00:02:31.000 --> 00:02:36.000]  在耶穌復活、耶穌升天之後
[00:02:36.000 --> 00:02:42.000]  明顯是要將這三件事一併來作為解釋
[00:02:42.000 --> 00:02:47.000]  即是去救恩歷史的三部曲
[00:02:47.000 --> 00:02:50.000]  耶穌來從死裡復活
[00:02:50.000 --> 00:02:52.000]  然後升天
[00:02:52.000 --> 00:02:54.000]  然後去差遣門徒
[00:02:54.000 --> 00:02:59.000]  來承接祂在地上宣教的工作
[00:02:59.000 --> 00:03:01.000]  而在差遣的同時
[00:03:01.000 --> 00:03:03.000]  來聖遇告
[00:03:03.000 --> 00:03:05.000]  來聖靈降臨
[00:03:05.000 --> 00:03:07.000]  在耶穌升天之後
[00:03:07.000 --> 00:03:09.000]  門徒再等十天
[00:03:09.000 --> 00:03:11.000]  然後聖靈降臨
[00:03:11.000 --> 00:03:16.000]  就是這段事徒行傳第二章的技術
[00:03:16.000 --> 00:03:20.000]  聖耶穌來到被聖靈充滿
[00:03:20.000 --> 00:03:24.000]  和門徒被聖靈充滿
[00:03:24.000 --> 00:03:30.000]  是在老家福音和事徒行傳是互相平衡的
[00:03:30.000 --> 00:03:33.000]  老家福音三章二十二節
[00:03:33.000 --> 00:03:39.000]  是當說到耶穌去接受這個朕禮之後
