
[00:00:00.000 --> 00:00:03.960]  我們會連續兩個星期會講基督的抉擇是什麼回事
[00:00:03.960 --> 00:00:06.260]  因為當我們跟基督連結的話
[00:00:06.260 --> 00:00:09.500]  究竟基督的選擇是不是等於我們的選擇
[00:00:09.500 --> 00:00:11.660]  我們的選擇是不是等於基督的選擇呢
[00:00:11.660 --> 00:00:15.560]  這是我們去瞭解的一個很重要的課題
[00:00:15.560 --> 00:00:18.580]  在聖經裡面就這樣提到
[00:00:18.580 --> 00:00:22.240]  如果我們看《荒唐書》一二三書
[00:00:22.240 --> 00:00:24.540]  其中一個很主要的脈絡
[00:00:24.540 --> 00:00:28.620]  是講律法對比因典和真理的問題
[00:00:28.620 --> 00:00:33.080]  這裡請你留意是律法對比因典和真理
[00:00:33.080 --> 00:00:35.880]  很多時候我們基督徒很強調了因典
[00:00:35.880 --> 00:00:37.640]  但是忽略了真理
[00:00:37.640 --> 00:00:39.100]  所以跟你旁邊的弟子們說一聲
[00:00:39.100 --> 00:00:40.620]  因典和真理
[00:00:40.620 --> 00:00:45.100]  在《若幻一書》第一章十四節講到
[00:00:45.100 --> 00:00:47.380]  道成了肉身住在我們中間
[00:00:47.380 --> 00:00:50.100]  充充滿滿的有因典有真理
[00:00:50.100 --> 00:00:52.480]  這個很明顯講到耶穌的道成肉身
[00:00:52.480 --> 00:00:54.180]  是來到人世間裡面
[00:00:54.180 --> 00:00:57.920]  是有因典和真理在我們當中的
[00:00:57.920 --> 00:01:00.500]  而《若幻一書》第一章十六節講到
[00:01:00.500 --> 00:01:03.460]  從他豐滿的因典裡面我們領受了
[00:01:03.460 --> 00:01:06.020]  而且是因上加因
[00:01:06.020 --> 00:01:07.940]  十七節更加清楚講到
[00:01:07.940 --> 00:01:10.180]  律法是直著摩西傳的
[00:01:10.180 --> 00:01:13.180]  因典和真理是由耶穌基督而來的
[00:01:13.180 --> 00:01:15.020]  耶穌當時的出現
[00:01:15.020 --> 00:01:18.980]  是帶來了社會上一個很重要的變革
[00:01:18.980 --> 00:01:22.020]  這個變革是一個顛覆性的變革
[00:01:22.020 --> 00:01:26.740]  這個是導致耶穌最後要釘十字架的好主的原因
[00:01:26.740 --> 00:01:34.620]  他顛覆了當時宗教的很重要的主線和基調
[00:01:34.620 --> 00:01:37.620]  他要將基督教的出現
[00:01:37.620 --> 00:01:41.780]  回復猶太教最原先的原則
[00:01:41.780 --> 00:01:43.740]  亦都是五百多年之後
[00:01:43.740 --> 00:01:49.500]  我們五百多年前馬丁路德的改教運動
[00:01:49.500 --> 00:01:51.540]  亦都是因著這樣的緣故
[00:01:51.540 --> 00:01:56.540]  將天主教偏離了聖經原則的部分
[00:01:56.540 --> 00:01:58.540]  要修正糾正
[00:01:58.540 --> 00:02:00.020]  到今天你問我
[00:02:00.020 --> 00:02:02.020]  二千多年後的教會
[00:02:02.020 --> 00:02:05.540]  我們都仍然繼續不斷地需要修正
[00:02:05.540 --> 00:02:09.140]  因為很多時候我們偏離了因典和真理
[00:02:09.140 --> 00:02:10.540]  在聖經裡面這樣講
[00:02:10.540 --> 00:02:12.540]  在羅馬書歷二章十三節
[00:02:12.540 --> 00:02:15.540]  原來在神面前不是聽律法為異
[00:02:15.540 --> 00:02:17.540]  乃是行律法輕而
[00:02:17.540 --> 00:02:18.540]  不要忘記
