
[00:00:00.000 --> 00:00:06.140]  今個月份是我們慶祝主耶穌基督降生的月份
[00:00:06.140 --> 00:00:08.180]  我們很感恩的就是
[00:00:08.180 --> 00:00:13.020]  過去我們體會到主耶穌基督降生
[00:00:13.020 --> 00:00:14.520]  為要拯救罪人
[00:00:14.520 --> 00:00:17.200]  我們一班都是蒙恩的罪人
[00:00:17.200 --> 00:00:19.940]  主耶穌在世三十三年的時間
[00:00:19.940 --> 00:00:23.340]  完成了救贖的大功
[00:00:23.340 --> 00:00:28.680]  並且是讓我們犯信的人得著永生
[00:00:28.680 --> 00:00:32.500]  主耶穌完成了祂的使命
[00:00:32.500 --> 00:00:35.440]  離開返回天家
[00:00:35.440 --> 00:00:39.340]  這個結束並不是所有事情的結束
[00:00:39.340 --> 00:00:44.480]  也是教會使命的開始
[00:00:44.480 --> 00:00:48.080]  今天我們所讀的經文
[00:00:48.080 --> 00:00:50.940]  所講的主題是
[00:00:50.940 --> 00:00:54.580]  再次了思上教會的大使命
[00:00:54.580 --> 00:00:59.380]  就是主耶穌基督給教會的大使命
[00:00:59.380 --> 00:01:02.460]  當我們再次思上教會大使命的時候
[00:01:02.460 --> 00:01:04.500]  首先我們要問一個問題就是
[00:01:04.500 --> 00:01:08.780]  我們是否對主耶穌有信心呢?
[00:01:08.780 --> 00:01:14.100]  主耶穌說:我是擁有天上地下所有權柄的
[00:01:14.100 --> 00:01:17.040]  我們時刻倚靠主
[00:01:17.040 --> 00:01:21.080]  我們是否有信心呢?
[00:01:21.080 --> 00:01:25.720]  第二個問題就是我們一班屬主的門徒
[00:01:25.720 --> 00:01:32.500]  如果主耶穌說你們踏上門徒的路徑
[00:01:32.500 --> 00:01:37.280]  聖經的教導不是單單講理論
[00:01:37.280 --> 00:01:41.380]  那你是否甘心去謙卑作薄人呢?
[00:01:41.380 --> 00:01:46.820]  你是否甘心信服跟隨主的腳踪呢?
[00:01:46.820 --> 00:01:50.180]  這個你要回答
[00:01:50.180 --> 00:01:53.500]  主耶穌應許我們與我們同在
[00:01:53.500 --> 00:01:55.700]  我們實在覺得好得無比
[00:01:55.700 --> 00:01:57.420]  是莫大的福氣
[00:01:57.420 --> 00:01:59.380]  我們不可以忽略
[00:01:59.380 --> 00:02:01.540]  因為有主耶穌的同工
[00:02:01.540 --> 00:02:03.960]  是侍奉生命的圓滿
[00:02:03.960 --> 00:02:05.920]  我們要心存感恩
[00:02:05.920 --> 00:02:10.180]  實踐主耶穌所託付我們的大使命
[00:02:10.180 --> 00:02:13.160]  你領受了這個應許了嗎?
[00:02:13.160 --> 00:02:16.960]  我們再次思上教會的大使命的時候
[00:02:16.960 --> 00:02:21.380]  我們要問,有沒有信心?
[00:02:21.380 --> 00:02:24.360]  是否甘心?
[00:02:24.360 --> 00:02:30.220]  有沒有感謝的心?
[00:02:30.220 --> 00:02:31.740]  經文我們很熟悉
[00:02:31.740 --> 00:02:36.380]  記載在《馬太福音》第28章16至20節
[00:02:36.380 --> 00:02:38.700]  我們一起讀出來,預備,請
[00:02:38.700 --> 00:02:41.420]  十一個門徒往加利利去
[00:02:41.420 --> 00:02:44.080]  到了耶穌約定的山上
[00:02:44.080 --> 00:02:46.720]  他們見了耶穌就拜祂
[00:02:46.720 --> 00:02:49.060]  然而還有人疑惑
[00:02:49.060 --> 00:02:51.720]  耶穌進前來對他們說
[00:02:51.720 --> 00:02:55.600]  天上地下所有的權柄都伺給我了
[00:02:55.600 --> 00:02:59.620]  所以你們要去使萬民作我的門徒
[00:02:59.620 --> 00:03:03.360]  奉父子聖靈的名給他們施浸
[00:03:03.360 --> 00:03:05.480]  凡我所吩咐你們的
[00:03:05.480 --> 00:03:07.600]  都教訓他們遵守
[00:03:07.600 --> 00:03:10.000]  我還有常與你們同在
[00:03:10.000 --> 00:03:12.560]  直到世界的末了
[00:03:12.560 --> 00:03:15.960]  是很熟悉的經文
[00:03:15.960 --> 00:03:18.720]  我們差不多都會背了
[00:03:18.720 --> 00:03:20.160]  教會的使命
[00:03:20.160 --> 00:03:23.400]  主耶穌向十一個門徒
[00:03:23.400 --> 00:03:27.640]  來到地上述說和吩咐
[00:03:27.640 --> 00:03:29.360]  十一個門徒
[00:03:29.360 --> 00:03:32.660]  他們知道耶穌基督從死裡復活了
[00:03:32.660 --> 00:03:35.760]  在《馬太福音》第28章很清楚的說
[00:03:35.760 --> 00:03:40.640]  耶穌埋葬三天復活
[00:03:40.640 --> 00:03:41.880]  當時有兩個婦女
[00:03:41.880 --> 00:03:43.280]  一個是莫達拉瑪利亞
[00:03:43.280 --> 00:03:45.480]  第二位是瑪利亞
[00:03:45.480 --> 00:03:48.920]  去到耶穌的墳墓那裡
[00:03:48.920 --> 00:03:52.520]  發現墳墓是空的
[00:03:52.520 --> 00:03:54.680]  耶穌不在裡面了
[00:03:54.680 --> 00:03:56.440]  當他們驚訝
[00:03:56.440 --> 00:03:57.800]  很恐慌的時候
[00:03:57.800 --> 00:04:01.800]  他們就見到耶穌的顯現了
[00:04:01.800 --> 00:04:05.080]  他們很快的聽到耶穌的吩咐
[00:04:05.080 --> 00:04:06.680]  然後就跑回去
[00:04:06.680 --> 00:04:08.960]  跟一群門徒說
[00:04:08.960 --> 00:04:11.720]  耶穌基督已經復活了
[00:04:11.720 --> 00:04:15.400]  耶穌又向門徒顯現
