
[00:00:00.000 --> 00:00:03.440]  這個故事是一個很出名的故事
[00:00:03.440 --> 00:00:05.680]  因爲雅各是十二支派
[00:00:05.680 --> 00:00:06.880]  即是十二個兒子
[00:00:06.880 --> 00:00:07.840]  即是現在分開
[00:00:07.840 --> 00:00:10.320]  以色列分了十二個支派的爸爸
[00:00:10.320 --> 00:00:11.520]  是不是?大家知不知道?
[00:00:11.520 --> 00:00:13.120]  現在有十二個支派
[00:00:13.120 --> 00:00:15.040]  雅各就是他們的爸爸
[00:00:15.040 --> 00:00:16.800]  這個經文
[00:00:16.800 --> 00:00:19.680]  其實是配合着這個月的主題
[00:00:19.680 --> 00:00:20.960]  彼此相愛
[00:00:20.960 --> 00:00:23.280]  因爲這個經文發生的事情
[00:00:23.280 --> 00:00:25.920]  是雅各離開了家二十年之後
[00:00:25.920 --> 00:00:28.720]  回去見他的哥哥
[00:00:28.720 --> 00:00:32.000]  二十年裏面是經過很多歲月
[00:00:32.000 --> 00:00:35.520]  很多的風霜日子可以這麼說
[00:00:35.520 --> 00:00:37.040]  我昨晚整晚都睡得不好
[00:00:37.040 --> 00:00:38.560]  或者基本睡不着
[00:00:38.560 --> 00:00:40.480]  爲什麼呢?
[00:00:40.480 --> 00:00:43.440]  惦記,惦記廣告
[00:00:43.440 --> 00:00:47.600]  因爲我昨天上了我哥哥住的地方
[00:00:47.600 --> 00:00:51.040]  在深水埗一個劏房裏面
[00:00:51.040 --> 00:00:53.040]  幫他清潔他的物品
[00:00:53.040 --> 00:00:55.200]  因爲他有些丁姐妹知道
[00:00:55.200 --> 00:00:57.040]  我哥哥是兩三個星期前
[00:00:57.040 --> 00:00:58.880]  遇到一個交通意外
[00:00:58.880 --> 00:01:02.160]  他的腳都傷得很嚴重
[00:01:02.160 --> 00:01:05.920]  但是他住在這個劏房住了幾年
[00:01:05.920 --> 00:01:06.720]  我不知道多少年
[00:01:06.720 --> 00:01:09.360]  但是我有四五年沒有見過他
[00:01:09.360 --> 00:01:11.200]  他住的地方和我們的辦公室
[00:01:11.200 --> 00:01:13.840]  只是相距六分鐘的路程
[00:01:13.840 --> 00:01:15.840]  但是這麼多年沒有見過
[00:01:15.840 --> 00:01:18.000]  當我上去幫他收拾東西的時候
[00:01:18.000 --> 00:01:20.960]  收拾完之後你知道有什麼可以收拾走
[00:01:20.960 --> 00:01:23.200]  只有一袋這麼少的東西
