
[00:00:00.000 --> 00:00:01.520]  今天我揀選的經文
[00:00:01.520 --> 00:00:03.920]  上星期譚師傅也透露了
[00:00:03.920 --> 00:00:07.720]  既然我們的金句是提摩大後書四章七節
[00:00:07.720 --> 00:00:12.400]  不如我們就用這段經文作為我們今天講道的經文
[00:00:12.400 --> 00:00:14.800]  提摩大後書四章一至八節
[00:00:14.800 --> 00:00:15.280]  我們一起讀
[00:00:15.280 --> 00:00:16.680]  準備一二三
[00:00:16.680 --> 00:00:18.480]  我在神面前
[00:00:18.480 --> 00:00:23.200]  並在將來審判活人死人的基督耶穌面前
[00:00:23.200 --> 00:00:27.320]  憑著祂的顯現和祂的角度祝福你
[00:00:27.320 --> 00:00:32.160]  無要全道,無論得時不得時,總要專心
[00:00:32.160 --> 00:00:38.600]  並用百般的忍耐,各樣的教訓、責備人、警戒人、勸勉人
[00:00:38.600 --> 00:00:43.040]  因為時候要到,人必厭煩純正的道理
[00:00:43.040 --> 00:00:46.640]  以妥法養,就隨從自己的情慾
[00:00:46.640 --> 00:00:48.640]  增添好些師父
[00:00:48.640 --> 00:00:53.760]  並用演繹不聽真道,偏向荒謬的言語
[00:00:53.760 --> 00:00:58.160]  你卻要凡事謹慎,忍受苦難
[00:00:58.160 --> 00:01:01.560]  作全道的功夫,盡你的職份
[00:01:01.560 --> 00:01:03.560]  我現在被囂電
[00:01:03.560 --> 00:01:05.960]  我離世的時候到了
[00:01:05.960 --> 00:01:09.040]  那美好的帳我已經打過了
[00:01:09.040 --> 00:01:11.840]  當跑的路我已經跑盡了
[00:01:11.840 --> 00:01:14.680]  所信的道我已經守住了
[00:01:14.680 --> 00:01:18.840]  從此以後,有公義的顧面為我存留
[00:01:18.840 --> 00:01:21.800]  就是按著公義審判的主
[00:01:21.800 --> 00:01:24.280]  到了那日,要賜給我的
[00:01:24.280 --> 00:01:29.200]  不但賜給我,也賜給凡愛無他顯然的人
[00:01:29.200 --> 00:01:32.440]  這段經文上星期也有輕輕說過
[00:01:32.440 --> 00:01:36.480]  上星期譚陽師母最主要說的是
[00:01:36.480 --> 00:01:40.760]  提摩泰的角度,門徒的傳承和承傳
[00:01:40.760 --> 00:01:43.800]  從提摩泰的角度看回他的生命
[00:01:43.800 --> 00:01:45.440]  這是一個很好的背景
[00:01:45.440 --> 00:01:49.440]  因為提摩泰的後書是寫給提摩泰的
[00:01:49.440 --> 00:01:51.920]  不過今天重點看回保羅的生平
[00:01:51.920 --> 00:01:54.920]  看看他在他的晚年期間
[00:01:54.920 --> 00:01:58.880]  他如何忠於主導,如何守住他的侍奉
[00:01:58.880 --> 00:02:02.880]  以致能夠給我們學習的地方
[00:02:02.880 --> 00:02:06.400]  假設大家也有看過《時代行傳》
[00:02:06.400 --> 00:02:07.600]  差不多這兩年
[00:02:07.600 --> 00:02:10.400]  陳志強牧師每個月都和我們分享《時代行傳》
[00:02:10.400 --> 00:02:14.680]  有些團體也用《時代行傳》來查經
[00:02:14.680 --> 00:02:16.400]  《時代行傳》到尾的時候
[00:02:16.400 --> 00:02:19.480]  保羅正在接受一個監禁
[00:02:19.480 --> 00:02:22.080]  當時的猶太教徒誣告他
[00:02:22.080 --> 00:02:25.680]  所以被羅馬政府抓了要坐牢
[00:02:25.680 --> 00:02:29.560]  但羅馬政府也看不見保羅有什麼錯
[00:02:29.560 --> 00:02:32.600]  所以當他到達羅馬的時候
[00:02:32.600 --> 00:02:34.880]  關禁了兩年就釋放了
[00:02:34.880 --> 00:02:37.080]  其實關禁那兩年也是很自由的
[00:02:37.080 --> 00:02:38.760]  可以很多人來探望他
[00:02:38.760 --> 00:02:42.840]  他又可以和別人宣講福音
[00:02:42.840 --> 00:02:46.400]  所以在主后59至62年那幾年期間
[00:02:46.400 --> 00:02:47.560]  他寫了四卷方書
[00:02:47.560 --> 00:02:49.120]  稱為《監獄書信》
[00:02:49.120 --> 00:02:51.200]  包括《以弗所》、《哥羅西書》、
[00:02:51.200 --> 00:02:53.160]  《肥理門書》和《肥勒比書》
[00:02:53.160 --> 00:02:55.000]  在《肥勒比書》中可以看到
[00:02:55.000 --> 00:02:56.560]  保羅就算坐牢的時候
[00:02:56.560 --> 00:02:57.680]  仍然充滿著喜樂
[00:02:57.680 --> 00:02:59.560]  仍然見證著上帝的恩典
[00:02:59.560 --> 00:03:02.320]  原來在《時代行傳》完結後
[00:03:02.320 --> 00:03:05.920]  在主后62至67年那五年期間
[00:03:05.920 --> 00:03:07.840]  保羅被釋放了
[00:03:07.840 --> 00:03:11.520]  更有機會繼續做第五次的宣教旅程
[00:03:11.520 --> 00:03:13.480]  他去到不同的教會裡面
[00:03:13.480 --> 00:03:16.040]  其中去到《以弗所》就留下了提摩泰
