
[00:00:00.000 --> 00:00:04.020]  開始之前我們一起低頭有個祈禱
[00:00:04.020 --> 00:00:07.600]  差天火地多謝你
[00:00:07.600 --> 00:00:11.400]  你讓我們能夠一同聚集來敬拜
[00:00:11.400 --> 00:00:16.200]  我們又多謝你賜給我們從來以來寶貴的話語
[00:00:16.200 --> 00:00:19.400]  願聖靈親自在我們心裏動功
[00:00:19.400 --> 00:00:21.800]  叫無論講的聽的
[00:00:21.800 --> 00:00:26.100]  我們都一同謙卑的在你的面前來學習
[00:00:26.100 --> 00:00:29.400]  願我們的心意被你的話來更新
[00:00:29.400 --> 00:00:34.200]  我們這樣禱告 奉主耶穌基督的名字祈求 阿們
[00:00:34.200 --> 00:00:39.800]  好 大家不知道有沒有在之前的崇拜程序裏聽過
[00:00:39.800 --> 00:00:43.200]  就是我們九月尾就會開會友大會
[00:00:43.200 --> 00:00:44.600]  如果你是會友的話
[00:00:44.600 --> 00:00:47.500]  你就會在大概八月尾或者九月初的時候
[00:00:47.500 --> 00:00:51.500]  就會收到教會寄給你的一本小冊子
[00:00:51.500 --> 00:00:53.300]  如果你說我沒有收過
[00:00:53.300 --> 00:00:55.400]  那你當然不是會友了
[00:00:55.400 --> 00:00:58.600]  希望你都能夠快點轉會
[00:00:58.600 --> 00:01:01.700]  這本小冊子其實裏面就有包括了
[00:01:01.700 --> 00:01:05.700]  各部的時工報告來年的計劃
[00:01:05.700 --> 00:01:09.900]  也都有教會未來一年的財政預算等等
[00:01:09.900 --> 00:01:11.800]  其實這段日子
[00:01:11.800 --> 00:01:15.100]  無論執事 同工 或者各個委員會
[00:01:15.100 --> 00:01:21.700]  都是努力地在計劃2018至2019年的時工
[00:01:21.700 --> 00:01:26.700]  當中自然會牽涉到一些具體的時工策略
[00:01:26.700 --> 00:01:29.600]  也都包括了一些資源的運用
[00:01:29.600 --> 00:01:33.000]  例如怎樣去用錢 用人
[00:01:33.000 --> 00:01:36.100]  怎樣可以有較好的調配
[00:01:36.100 --> 00:01:38.100]  今天我們看的這段經文
[00:01:38.100 --> 00:01:41.300]  其實都有涉及金錢的運用
[00:01:41.300 --> 00:01:43.600]  時工的計劃部署
[00:01:43.600 --> 00:01:47.300]  和人方面的配搭和合作
[00:01:47.300 --> 00:01:51.000]  盼望我們都透過保羅所寫的這段經文
[00:01:51.000 --> 00:01:53.500]  讓我們一起來去反思
[00:01:53.500 --> 00:01:58.900]  究竟我們在這些事情上所做的 是否合神心意
[00:01:58.900 --> 00:02:03.200]  前書的十六章一至十二節
[00:02:03.200 --> 00:02:06.700]  如果你看比起之前的教導
[00:02:06.700 --> 00:02:09.200]  所講的東西好像很瑣碎
[00:02:09.200 --> 00:02:12.000]  只是一些事務性的交代
[00:02:12.000 --> 00:02:16.300]  如果比起保羅之前所講的偉大的神學討論
[00:02:16.300 --> 00:02:18.700]  例如吃不吃得祭物
[00:02:18.700 --> 00:02:21.100]  弟兄姊妹的恩賜
[00:02:21.100 --> 00:02:23.700]  或者甚麼是復活的身體等等
[00:02:23.700 --> 00:02:27.000]  好像這些都不是很重要的事
[00:02:27.000 --> 00:02:29.700]  不過從這段經文所談論到
[00:02:29.700 --> 00:02:33.000]  怎樣去用錢 怎樣去計劃
[00:02:33.000 --> 00:02:35.500]  以及怎樣去跟合作夥伴合作
[00:02:35.500 --> 00:02:38.100]  這些這麼實際的事情上
[00:02:38.100 --> 00:02:43.800]  我們可以看到保羅是怎樣去實踐 去所教導的
[00:02:43.800 --> 00:02:45.200]  可能大家都知道的
[00:02:45.200 --> 00:02:48.700]  說這麼多 前書其實是一封回信來的
[00:02:48.700 --> 00:02:51.600]  是保羅寫給教會的一封回信
[00:02:51.600 --> 00:02:53.700]  即是說那麼多教會
[00:02:53.700 --> 00:02:57.200]  曾經在之前寫過信給保羅
[00:02:57.200 --> 00:03:01.300]  問他一些問題 應該怎樣去處理
[00:03:01.300 --> 00:03:03.100]  大家看一至四節
[00:03:03.100 --> 00:03:09.900]  你就會看到保羅正在回答他們其中關於捐款的問題
[00:03:09.900 --> 00:03:11.300]  第一節說
[00:03:11.300 --> 00:03:14.200]  關於為聖徒捐款的事
[00:03:14.200 --> 00:03:18.100]  我從前怎樣吩咐加拉太的宗教會
[00:03:18.100 --> 00:03:21.000]  你們也該怎樣做
[00:03:21.000 --> 00:03:26.700]  究竟保羅吩咐加拉太教會捐款給誰呢?
[00:03:26.700 --> 00:03:31.400]  你看到第三節
[00:03:31.400 --> 00:03:37.400]  你就會知道其實是想他們捐給耶路撒冷的信徒
[00:03:37.400 --> 00:03:42.500]  而且保羅不單止叫加拉太教會這樣做
[00:03:42.500 --> 00:03:50.600]  在第一節說他已經吩咐加拉太的宗教會這樣做
[00:03:50.600 --> 00:03:55.800]  在《使徒行傳》的十一章二十七至三十節說到
[00:03:55.800 --> 00:04:00.100]  耶路撒冷那邊有嚴重的饑荒
[00:04:00.100 --> 00:04:03.400]  而在加拉太書二章十節
[00:04:03.400 --> 00:04:07.500]  也提到耶路撒冷教會當時的領袖
[00:04:07.500 --> 00:04:10.200]  瓦國、彼得和約翰
[00:04:10.200 --> 00:04:14.500]  他們特別要求保羅和加拉太的信徒
[00:04:14.500 --> 00:04:19.100]  要記得耶路撒冷教會窮人的需要
[00:04:19.100 --> 00:04:20.300]  所以你可以知道
[00:04:20.300 --> 00:04:25.300]  其實當時耶路撒冷教會的需要真的頗大
[00:04:25.300 --> 00:04:27.500]  在哥倫多前書一章五節
[00:04:27.500 --> 00:04:31.700]  保羅也提到哥倫多教會是一個甚麼教會呢?
[00:04:31.700 --> 00:04:34.500]  他們是凡事富足
[00:04:34.500 --> 00:04:37.200]  即是說他們各方面都不缺乏
[00:04:37.200 --> 00:04:42.000]  當然他們自然有能力來捐獻
[00:04:42.000 --> 00:04:45.200]  不過保羅叫他們這樣做
[00:04:45.200 --> 00:04:53.100]  不單要他們在物質上幫助其他信徒解困
[00:04:53.100 --> 00:04:58.700]  更要實踐在基督裡面合一的愛
[00:04:58.700 --> 00:05:03.500]  在第一節你會看到保羅用了「聖徒」這個字
[00:05:03.500 --> 00:05:09.200]  「聖徒」是提醒我們信主的人一個很特別的身份
[00:05:09.200 --> 00:05:13.100]  就是因為基督的愛、基督的救贖
[00:05:13.100 --> 00:05:17.000]  猶太人和愛邦人也包括了我們
[00:05:17.000 --> 00:05:19.300]  我們同得救恩
[00:05:19.300 --> 00:05:22.900]  我們都是一起被分別為聖
[00:05:22.900 --> 00:05:26.000]  大家同屬一家人
[00:05:26.000 --> 00:05:33.600]  所以彼此關心、互相幫助是很應該的事
