
[00:00:00.000 --> 00:00:04.220]  奉主明問候弟兄姊妹平安
[00:00:04.220 --> 00:00:11.420]  我今天講的是「上帝興起耶護」
[00:00:11.420 --> 00:00:23.800]  其實我們大約第九章是踏入獵王之下高潮的一部分
[00:00:23.800 --> 00:00:30.600]  第九章我會用三講來講,現在先講第一講是「上帝興起耶護」是九章一度十三節
[00:00:30.600 --> 00:00:36.300]  就是第九章我將以三場時間來翻譯,這是第一部分
[00:00:36.300 --> 00:00:42.600]  大家手上有大綱,看著這個大綱看著章節的程序
[00:00:42.600 --> 00:00:47.600]  你看著這個大綱明白這個章節的程序
[00:00:47.600 --> 00:00:52.600]  首先我講一講大圖畫,來到第九章
[00:00:52.600 --> 00:00:58.400]  來到第九章是若蘭王,是若蘭王
[00:00:58.400 --> 00:01:01.800]  若蘭王是誰?你記不記得我這張紙很重要
[00:01:01.800 --> 00:01:06.600]  你知道若蘭王是誰,大家都明白,是阿哈的第二個兒子
[00:01:06.600 --> 00:01:08.400]  是阿哈的第二個兒子
[00:01:08.400 --> 00:01:11.400]  南部有一個若蘭王,南部也有一個若蘭王
[00:01:11.400 --> 00:01:16.600]  那些關係我一早兩堂之前已經告訴你了,所以你應該要看了這張紙
[00:01:16.600 --> 00:01:21.400]  這個關係我在兩章講到之前已經告訴大家了
[00:01:21.400 --> 00:01:25.800]  大圖畫這個是北郭,這是講百郭
[00:01:25.800 --> 00:01:32.000]  阿哈第二仔,阿哈的第二個兒子,聖雞哥哥,陳階哥哥
[00:01:32.000 --> 00:01:35.800]  做了王,十二年這麼久,做了十二年之久
[00:01:35.800 --> 00:01:40.400]  是三章第一節講的,是三章第一,十二節所講的
[00:01:40.400 --> 00:01:44.200]  三章第一節講的,三章第一節所講的
[00:01:44.200 --> 00:01:48.400]  那整個六王紀去到八章十五節呢
[00:01:48.400 --> 00:01:53.000]  整個六王紀下到八章十五節都是若蘭作王的時期
[00:01:53.000 --> 00:01:55.400]  都是若蘭作王的時期
[00:01:55.400 --> 00:02:01.400]  好了,那我上次來講呢,就是有另一個南國的君王叫做阿哈姐
[00:02:01.400 --> 00:02:04.400]  就是我上次已經講過南國有一個王
[00:02:04.400 --> 00:02:06.000]  又要看回這張表了
[00:02:06.000 --> 00:02:07.200]  大家要看看這張表
[00:02:07.200 --> 00:02:12.000]  南國阿哈姐呢,又剛好是若蘭哥哥同名
[00:02:12.000 --> 00:02:14.000]  對,若蘭哥哥同名
[00:02:14.000 --> 00:02:16.400]  所以你說我很混亂
[00:02:16.400 --> 00:02:19.400]  所以我很混亂
[00:02:19.400 --> 00:02:21.400]  就因為這樣問你,所以我給你一張紙
[00:02:21.400 --> 00:02:25.400]  所以正是因為我混亂,我才給一張頭髮給你
[00:02:25.400 --> 00:02:29.400]  那八章的十六到二十四節呢
[00:02:29.400 --> 00:02:36.400]  就是講這個南國的若蘭她的人生,沒什麼好講的
[00:02:36.400 --> 00:02:40.400]  八章十六到二十四節講南國若蘭的人生
