
[00:00:00.000 --> 00:00:01.400]  各位親愛的弟兄姊妹你們好
[00:00:01.400 --> 00:00:04.720]  今天我們會繼續查考尼希米記
[00:00:04.720 --> 00:00:09.480]  雖然不能夠現場直播跟大家一起分享
[00:00:09.480 --> 00:00:12.440]  因為現在你們正在查經的時候
[00:00:12.440 --> 00:00:14.760]  我就已經在以色列了
[00:00:14.760 --> 00:00:18.000]  但是仍然心裡牽掛的
[00:00:18.000 --> 00:00:22.880]  我不知道有沒有機會可以加入你們當中
[00:00:22.880 --> 00:00:24.480]  不過機會應該很微的
[00:00:24.480 --> 00:00:25.440]  因為要帶隊
[00:00:25.440 --> 00:00:26.960]  不是自己去旅行
[00:00:26.960 --> 00:00:29.720]  但是很想跟不同的弟兄姊妹
[00:00:29.720 --> 00:00:32.360]  有屬靈裡面的分享
[00:00:32.360 --> 00:00:34.360]  今天我們查尼希米記
[00:00:34.360 --> 00:00:37.280]  我們會講數據背後
[00:00:37.280 --> 00:00:39.240]  我有一個掙扎
[00:00:39.240 --> 00:00:44.320]  究竟我們會不會講這次這段經文呢?
[00:00:44.320 --> 00:00:46.480]  如果我自己很真誠地講
[00:00:46.480 --> 00:00:48.080]  我要靈修的時候
[00:00:48.080 --> 00:00:53.840]  我也不會很詳細去看尼希米記第七章
[00:00:53.840 --> 00:00:55.240]  為什麼呢?
[00:00:55.240 --> 00:00:57.240]  大家看到第七章裡面
[00:00:57.240 --> 00:01:00.560]  全部都是一些人名、數字
[00:01:00.560 --> 00:01:02.280]  我們會跳過去的
[00:01:02.280 --> 00:01:06.720]  所以你也很少在崇拜的講道裡面
[00:01:06.720 --> 00:01:10.800]  聽到別人講尼希米記第七章的
[00:01:10.800 --> 00:01:13.920]  但是因為我們是整卷書去查的
[00:01:13.920 --> 00:01:16.480]  所以我們要迎難而上
[00:01:16.480 --> 00:01:21.320]  跟大家一起分享這段經文裡面的重點
[00:01:21.320 --> 00:01:24.040]  其實也夠悶的
[00:01:24.040 --> 00:01:26.520]  但是又不可以不講的
[00:01:26.520 --> 00:01:29.760]  我們也會在當中去尋找
[00:01:29.760 --> 00:01:33.320]  有什麼屬靈的提醒和教導
[00:01:33.320 --> 00:01:35.480]  我們先看回上一次
[00:01:35.480 --> 00:01:37.680]  我們看尼希米記的時候
[00:01:37.680 --> 00:01:42.280]  就是說他如何很有智慧地去退卻了敵人
[00:01:42.280 --> 00:01:45.080]  特別凍結他們的詭計
[00:01:45.080 --> 00:01:47.720]  因為敵人假意的
[00:01:47.720 --> 00:01:49.080]  尼德是去跟他講
[00:01:49.080 --> 00:01:50.000]  我有一些秘密
[00:01:50.000 --> 00:01:51.320]  我想通知你
[00:01:51.320 --> 00:01:53.400]  約他去尼德去見面
[00:01:53.400 --> 00:01:54.840]  但是見完面之後
[00:01:54.840 --> 00:01:57.400]  就可以散播謠言
[00:01:57.400 --> 00:02:00.360]  打擊別人對尼希米的信心
[00:02:00.360 --> 00:02:03.080]  也引他去聖殿那裡
[00:02:03.080 --> 00:02:03.920]  就是去見面
[00:02:03.920 --> 00:02:06.440]  但是尼希米知道自己不應該進聖殿
[00:02:06.440 --> 00:02:08.320]  特別去內部的地方
[00:02:08.320 --> 00:02:10.320]  更加很可悲地
[00:02:10.320 --> 00:02:12.920]  賄賂一些聖職人員
[00:02:12.920 --> 00:02:15.080]  要陷害尼希米
[00:02:15.080 --> 00:02:16.640]  但是尼希米一一的
[00:02:16.640 --> 00:02:19.840]  都已經去凍結了他們的詭計
[00:02:19.840 --> 00:02:21.640]  去求神有幫助
[00:02:21.640 --> 00:02:24.120]  所以大家可以上網
[00:02:24.120 --> 00:02:29.400]  在YouTube裡面找尼希米記
[00:02:29.400 --> 00:02:32.400]  怎麼治卻那些敵人
[00:02:32.400 --> 00:02:36.600]  而城牆很快就建好了
[00:02:36.600 --> 00:02:39.560]  所以他就需要人來管理
[00:02:39.560 --> 00:02:41.360]  教會是神的家
[00:02:41.360 --> 00:02:43.160]  但是也需要人來管理
[00:02:43.160 --> 00:02:48.960]  但是誰可以擔當這個重要職位呢?
[00:02:48.960 --> 00:02:52.680]  尼希米首先安排了三種人
[00:02:52.680 --> 00:02:55.040]  來看守著
[00:02:55.040 --> 00:02:56.280]  是什麼呢?
[00:02:56.280 --> 00:02:58.880]  就是守門口的
[00:02:58.880 --> 00:03:00.320]  唱歌的
[00:03:00.320 --> 00:03:02.040]  以及利未人
[00:03:02.040 --> 00:03:03.280]  我們一起來看尼希米
[00:03:03.280 --> 00:03:05.120]  建立七章的第一節
[00:03:05.120 --> 00:03:08.600]  他說「城牆修完,我安了門線」
[00:03:08.600 --> 00:03:10.600]  「守門的、歌唱的」
[00:03:10.600 --> 00:03:14.840]  「和利未人都已經派定了」
[00:03:14.840 --> 00:03:18.120]  聖經編排的次序
[00:03:18.120 --> 00:03:19.160]  經常都是什麼呢?
[00:03:19.160 --> 00:03:20.640]  就是剛剛反過來的
[00:03:20.640 --> 00:03:22.360]  就是先是利未人
[00:03:22.360 --> 00:03:24.360]  然後就是唱歌的
[00:03:24.360 --> 00:03:26.040]  然後就是守門的
[00:03:26.040 --> 00:03:27.720]  如果我們看回第七章
[00:03:27.720 --> 00:03:29.160]  你自己去研究吧
[00:03:29.160 --> 00:03:32.920]  利未人在第七章第40節裡面有記載
[00:03:32.920 --> 00:03:36.720]  唱歌的就在第44節裡面有記載
[00:03:36.720 --> 00:03:39.840]  然後45節才是守門的
[00:03:39.840 --> 00:03:43.200]  但是第一節開始還剛剛反過來
[00:03:43.200 --> 00:03:44.920]  為什麼呢?
[00:03:44.920 --> 00:03:50.480]  就是說尼希米非常重視治安問題
[00:03:50.480 --> 00:03:52.920]  因為仍然有外敵進來入侵
[00:03:52.920 --> 00:03:54.520]  所以守門那些
[00:03:54.520 --> 00:03:55.960]  我們說「secure」
[00:03:55.960 --> 00:03:58.240]  那些守衛就很重要了
[00:03:58.240 --> 00:04:00.160]  所以就將守門的
[00:04:00.160 --> 00:04:02.920]  放在第一位
[00:04:02.920 --> 00:04:06.640]  凸顯了守衛的工作
[00:04:06.640 --> 00:04:08.600]  但是可能奇怪
[00:04:08.600 --> 00:04:10.440]  守門的已經可以了
[00:04:10.440 --> 00:04:13.440]  為什麼還要找那些唱歌者、詩歌班呢?
[00:04:13.440 --> 00:04:14.680]  又或者利未人
[00:04:14.680 --> 00:04:17.680]  就是神職人員來做事呢?
[00:04:17.680 --> 00:04:19.480]  因為很簡單
[00:04:19.480 --> 00:04:22.800]  回歸的人數很少而已
[00:04:22.800 --> 00:04:26.160]  這個時候可以分派來做守門的
[00:04:26.160 --> 00:04:27.000]  不是一道門
[00:04:27.000 --> 00:04:29.280]  有不同的入口
