
[00:00:00.000 --> 00:00:03.600]  好,我不知道大家在你自己的生命裏面的經歷
[00:00:03.600 --> 00:00:06.880]  就是你很認真、很努力的去倚靠神
[00:00:06.880 --> 00:00:10.000]  但是往往有時候你得到的結果
[00:00:10.000 --> 00:00:11.440]  不是一個順境
[00:00:11.440 --> 00:00:14.400]  反而是一個衝擊和逆境
[00:00:14.400 --> 00:00:15.880]  希西加就是這樣
[00:00:15.880 --> 00:00:19.400]  我們一起來先讀歷代之下三十二章的第一節
[00:00:19.400 --> 00:00:20.680]  三十二章的第一節
[00:00:20.680 --> 00:00:21.680]  大家聽我讀出
[00:00:21.680 --> 00:00:23.680]  「借虔誠的事以後
[00:00:23.680 --> 00:00:27.000]  亞述王西拿基納來侵入猶大
[00:00:27.000 --> 00:00:32.800]  圍困一切堅固城,想要攻破佔據」
[00:00:32.800 --> 00:00:34.400]  這裏很清楚一開始就說
[00:00:34.400 --> 00:00:36.800]  在虔誠的事之後
[00:00:36.800 --> 00:00:40.000]  就發生了一些很不幸的事
[00:00:40.000 --> 00:00:44.200]  究竟希西加是一個怎樣的王呢?
[00:00:44.200 --> 00:00:47.200]  聖經很清楚講前無古人
[00:00:47.200 --> 00:00:52.600]  希西加是一個非常愛主、尊重神的王
[00:00:52.600 --> 00:00:55.400]  我們一起來讀列王記下十八章
[00:00:55.400 --> 00:00:56.800]  第五到第六節
[00:00:56.800 --> 00:00:58.000]  十八章第五到第六節
[00:00:58.000 --> 00:00:59.600]  我們一起來讀出
[00:00:59.600 --> 00:01:03.400]  「希西加依靠耶和華以識列的神
[00:01:03.400 --> 00:01:06.400]  在他前後的猶大列王中
[00:01:06.400 --> 00:01:08.400]  沒有一個及他的
[00:01:08.400 --> 00:01:10.600]  因為他尊靠耶和華
[00:01:10.600 --> 00:01:12.000]  總不離開
[00:01:12.000 --> 00:01:16.400]  謹守耶和華所吩咐摩西的誡命」
[00:01:16.400 --> 00:01:19.400]  希西加依靠耶和華
[00:01:19.400 --> 00:01:22.000]  他前後的猶大列王中
[00:01:22.000 --> 00:01:23.400]  沒有一個及他的
[00:01:23.400 --> 00:01:24.800]  很清楚
[00:01:24.800 --> 00:01:28.400]  聖經很清晰地去讚揚
[00:01:28.400 --> 00:01:30.800]  希西加是一個很敬虔的王
[00:01:30.800 --> 00:01:33.600]  但究竟希西加怎樣敬虔呢?
[00:01:33.600 --> 00:01:35.000]  可能我們不太熟悉
[00:01:35.000 --> 00:01:36.600]  我跟大家去了解一下
[00:01:36.600 --> 00:01:38.600]  究竟希西加做了些什麼
[00:01:38.600 --> 00:01:40.400]  第一就是去潔淨聖殿
[00:01:40.400 --> 00:01:43.000]  希西加的父親叫做阿哈斯
[00:01:43.000 --> 00:01:45.400]  是一個非常非常敗壞的王
[00:01:45.400 --> 00:01:48.200]  他引入了很多外邦的臣子
[00:01:48.200 --> 00:01:51.000]  但更加可怕和恐怖的是什麼呢?
[00:01:51.000 --> 00:01:55.400]  他將這些臣的偶像放在聖殿裡面
[00:01:55.400 --> 00:01:57.800]  就好像滿天神佛那樣
[00:01:57.800 --> 00:02:00.800]  在聖殿裡面不單單有耶和華的敬拜
[00:02:00.800 --> 00:02:04.000]  也有不同國家的偶像的敬拜
[00:02:04.000 --> 00:02:06.000]  希西加當他一作王的時候
[00:02:06.000 --> 00:02:09.400]  他知道最重要的事情就是要清理門戶
[00:02:09.400 --> 00:02:12.600]  要好好的帶領人民回到臣的身邊
[00:02:12.600 --> 00:02:14.400]  於是他下命令
[00:02:14.400 --> 00:02:17.800]  要人來帶去將這些偶像
[00:02:17.800 --> 00:02:20.600]  從聖殿裡面帶去除去
[00:02:20.600 --> 00:02:22.200]  你不要以為很簡單
[00:02:22.200 --> 00:02:23.200]  不知道大家知不知道
