
[00:00:00.000 --> 00:00:02.900]  好多謝陳牧師的介紹
[00:00:02.900 --> 00:00:05.900]  亦都好多謝楊牧師的帶領
[00:00:05.900 --> 00:00:07.900]  多謝各位弟兄姊妹 各位朋友
[00:00:07.900 --> 00:00:09.900]  給我今日有這個機會
[00:00:09.900 --> 00:00:12.900]  來大家當中做一些分享
[00:00:12.900 --> 00:00:14.900]  不過開始之前
[00:00:14.900 --> 00:00:17.900]  大會說要解釋一下
[00:00:17.900 --> 00:00:19.900]  今日這個PowerPoint
[00:00:19.900 --> 00:00:21.900]  它就落了個黃頸
[00:00:21.900 --> 00:00:23.900]  為甚麼呢 因為酒樓太好生意
[00:00:23.900 --> 00:00:25.900]  太多人用
[00:00:25.900 --> 00:00:27.900]  變了藍底就沒有了
[00:00:27.900 --> 00:00:29.900]  現在只得黃底
[00:00:29.900 --> 00:00:33.900]  大家看這些相要用少少想像力
[00:00:33.900 --> 00:00:36.900]  我盡量去解釋一下
[00:00:36.900 --> 00:00:38.900]  如果我沒有記錯
[00:00:38.900 --> 00:00:40.900]  我們這個福金午餐
[00:00:40.900 --> 00:00:42.900]  起碼有三十多年的歷史
[00:00:42.900 --> 00:00:45.900]  因為我記得我八十年代的時候
[00:00:45.900 --> 00:00:48.900]  初初入行在政府做政務主任
[00:00:48.900 --> 00:00:50.900]  沒多久
[00:00:50.900 --> 00:00:52.900]  我都帶朋友帶同事
[00:00:52.900 --> 00:00:55.900]  來這裏吃午餐
[00:00:55.900 --> 00:00:58.900]  亦都在教會這麼多年
[00:00:58.900 --> 00:01:00.900]  都有這個心態
[00:01:00.900 --> 00:01:01.900]  繼續這個時空非常好
[00:01:01.900 --> 00:01:04.900]  亦都多謝弟兄姊妹和朋友的支持
[00:01:04.900 --> 00:01:06.900]  今日就和大家選擇了說甚麼呢
[00:01:06.900 --> 00:01:08.900]  說人生競技場
[00:01:08.900 --> 00:01:10.900]  誰掌管明天
[00:01:10.900 --> 00:01:14.900]  這個是比較長的一個課題
[00:01:14.900 --> 00:01:16.900]  我們在香港
[00:01:16.900 --> 00:01:18.900]  不論做哪個行業
[00:01:18.900 --> 00:01:22.900]  做公務 做私人企業 做專業
[00:01:22.900 --> 00:01:24.900]  都是要競爭的
[00:01:24.900 --> 00:01:28.900]  因為香港人至少已經習慣了
[00:01:28.900 --> 00:01:30.900]  是爬金字塔的
[00:01:30.900 --> 00:01:33.900]  所以人生競技場
[00:01:33.900 --> 00:01:36.900]  我們個個都明白是甚麼回事
[00:01:36.900 --> 00:01:40.900]  這個是羅馬的鬥獸場
[00:01:40.900 --> 00:01:44.900]  在座亦都應該不少朋友去過羅馬
[00:01:44.900 --> 00:01:48.900]  參觀過這個歷史文物
[00:01:48.900 --> 00:01:50.900]  亦都在2000年的時候
[00:01:50.900 --> 00:01:53.900]  有一齣戲叫做《Gladiator》
[00:01:53.900 --> 00:01:55.900]  是Russell Crowe做的
[00:01:55.900 --> 00:01:57.900]  Russell Crowe本來是一個將軍
[00:01:57.900 --> 00:01:59.900]  但是被人陷害
[00:01:59.900 --> 00:02:02.900]  就變了要做一個Gladiator
[00:02:02.900 --> 00:02:05.900]  做一個戰鬥手
[00:02:05.900 --> 00:02:07.900]  最終他幾經艱辛
[00:02:07.900 --> 00:02:09.900]  是可以報到仇
[00:02:09.900 --> 00:02:12.900]  但亦都獻上了自己的生命
[00:02:12.900 --> 00:02:14.900]  人生的歷程
[00:02:14.900 --> 00:02:18.900]  往往就需要經過這些的爭鬥
[00:02:18.900 --> 00:02:21.900]  21世紀就沒有鬥獸場
[00:02:21.900 --> 00:02:23.900]  有奧運
[00:02:23.900 --> 00:02:27.900]  這張相就是李慧思
[00:02:27.900 --> 00:02:30.900]  香港的單車手在2016年的奧運
[00:02:30.900 --> 00:02:33.900]  本來他應該有機會拿獎牌
[00:02:33.900 --> 00:02:35.900]  但是碰一碰
[00:02:35.900 --> 00:02:36.900]  跌一跌
[00:02:36.900 --> 00:02:38.900]  沒有機會入決賽
[00:02:38.900 --> 00:02:41.900]  沒有機會入決賽就拿不到獎牌
[00:02:41.900 --> 00:02:46.900]  亦都是很低落的心情
[00:02:46.900 --> 00:02:48.900]  但是香港人很支持他
[00:02:48.900 --> 00:02:51.900]  依然有很多有聲無聲的掌聲
[00:02:51.900 --> 00:02:52.900]  所以做人
[00:02:52.900 --> 00:02:54.900]  你贏是輸
