
[00:00:00.000 --> 00:00:11.000]  今天這段經文是在《約翰福音》的十四章一到十一到六節
[00:00:11.000 --> 00:00:20.000]  因為這裡的螢光我看不到我要放的
[00:00:20.000 --> 00:00:23.000]  會影響我的思路
[00:00:23.000 --> 00:00:33.000]  今天和大家講的題目叫做超越人生的局限
[00:00:33.000 --> 00:00:39.000]  超越人生的局限這個題目我是婉轉座
[00:00:39.000 --> 00:00:42.000]  今天講生死學
[00:00:42.000 --> 00:00:47.000]  提到死亡沒有人想提
[00:00:47.000 --> 00:00:54.000]  剛才我們讀的《約翰福音》十四章那一套我們沒有讀
[00:00:54.000 --> 00:00:57.000]  希望大家可以打開聖經
[00:00:57.000 --> 00:01:00.000]  是耶穌要離別這班門徒
[00:01:00.000 --> 00:01:02.000]  告訴他們我快要走了
[00:01:02.000 --> 00:01:04.000]  我要釘十字架了
[00:01:04.000 --> 00:01:07.000]  這班門徒憂愁
[00:01:07.000 --> 00:01:11.000]  所以耶穌才說你們心裡不要憂愁
[00:01:11.000 --> 00:01:14.000]  你們信神也當信我
[00:01:14.000 --> 00:01:23.000]  人生的生離死別離愁別緒是不容易受的
[00:01:23.000 --> 00:01:26.000]  有沒有試過親人離開世界
[00:01:26.000 --> 00:01:28.000]  有的舉手
[00:01:28.000 --> 00:01:31.000]  有的沒有這麼厲害
[00:01:31.000 --> 00:01:40.000]  我有兩次親友的離開對我的影響很震撼
[00:01:40.000 --> 00:01:45.000]  一個是我小時候大約八歲左右
[00:01:45.000 --> 00:01:50.000]  我聽到我的姑婆離開世界
[00:01:50.000 --> 00:01:56.000]  其實那時我小時候很突然我生瘡很厲害
[00:01:56.000 --> 00:02:01.000]  我的瘡我看似乒乓球般大
[00:02:01.000 --> 00:02:05.000]  每一次睡覺很痛
[00:02:05.000 --> 00:02:11.000]  當時醫學不是那麼昌明
[00:02:11.000 --> 00:02:13.000]  睡得不好
[00:02:13.000 --> 00:02:21.000]  我姑婆竟然將她的肚腩給我睡在那裡
[00:02:21.000 --> 00:02:24.000]  之前的枕頭全都濃和血水
[00:02:24.000 --> 00:02:28.000]  因為扯一聲濃水就出來
[00:02:28.000 --> 00:02:34.000]  我姑婆就是這樣讓她的肚子給我睡
[00:02:34.000 --> 00:02:36.000]  我覺得很舒服
