
[00:00:00.000 --> 00:00:04.500]  我們今天會繼續思想關聖經裡面有關於社會倫理的訊息
[00:00:04.500 --> 00:00:06.700]  我們特別提到關於人權的訊息
[00:00:06.700 --> 00:00:08.300]  我們大家一起同心
[00:00:08.300 --> 00:00:10.900]  我們祈禱仰望神帶領我們
[00:00:10.900 --> 00:00:18.800]  天父我們同心禱告
[00:00:18.800 --> 00:00:22.600]  我們感謝祢賜下祢寶貴的真理
[00:00:22.600 --> 00:00:26.800]  主人祢的真理是叫人得生命
[00:00:26.800 --> 00:00:28.800]  叫人得以自由
[00:00:29.300 --> 00:00:32.100]  能夠脫離罪一切的困所
[00:00:32.100 --> 00:00:35.100]  能夠叫我們靠著祢
[00:00:35.100 --> 00:00:39.200]  可以領受滿足和真正的平安
[00:00:39.200 --> 00:00:41.400]  主我們禱告祢
[00:00:41.400 --> 00:00:44.100]  求祢自己引導我們作祢的兒女
[00:00:44.100 --> 00:00:47.600]  主不要讓我們輕視祢的說話
[00:00:47.600 --> 00:00:50.900]  在繁忙的生活裡面
[00:00:50.900 --> 00:00:53.600]  求祢常常感動我們的心
[00:00:53.600 --> 00:00:58.000]  知道將祢的話豐豐富富藏在心裡面
[00:00:58.900 --> 00:01:01.400]  又叫我們因為行在祢的路上
[00:01:01.400 --> 00:01:04.200]  我們得著祢給我們的豐盛
[00:01:04.200 --> 00:01:07.300]  我們今天仰望真理的聖靈
[00:01:07.300 --> 00:01:10.100]  再次指教我們明白真理
[00:01:10.100 --> 00:01:12.700]  也要知道在這個社會裡面
[00:01:12.700 --> 00:01:16.600]  知道如何按祢的真理去分辨是非
[00:01:16.600 --> 00:01:19.100]  以致不單止我們自己
[00:01:19.100 --> 00:01:21.300]  也幫助我們身邊的人
[00:01:21.300 --> 00:01:24.300]  社會上不同的人群
[00:01:24.300 --> 00:01:26.400]  都能夠因為跟隨祢
[00:01:26.600 --> 00:01:30.300]  敬畏祢而得到真正生命的好處
[00:01:30.300 --> 00:01:32.100]  我們同心仰望
[00:01:32.100 --> 00:01:34.100]  求主帶領這段時間
[00:01:34.100 --> 00:01:36.800]  奉耶穌基督聖名祈禱
[00:01:36.800 --> 00:01:37.800]  阿門
[00:01:37.800 --> 00:01:39.200]  大家再見
[00:01:39.200 --> 00:01:40.600]  翻開聖經的羅馬書
[00:01:40.600 --> 00:01:43.000]  我們剛才讀過的第一第二章
[00:01:43.000 --> 00:01:48.100]  我們今天試一下從人權的角度
[00:01:48.100 --> 00:01:50.700]  來思想這些經文
[00:01:50.700 --> 00:01:52.200]  但是看聖經之前
[00:01:52.200 --> 00:01:54.400]  我跟大家先分享幾個重點
[00:01:55.800 --> 00:01:59.200]  大家都會想起過去的一個世紀
[00:01:59.200 --> 00:02:00.400]  二十世紀
[00:02:00.400 --> 00:02:02.800]  很多人都說二十世紀裡面
[00:02:02.800 --> 00:02:05.500]  是充滿著各種的暴力
[00:02:05.500 --> 00:02:06.600]  戰爭
[00:02:06.600 --> 00:02:09.200]  和違反人權的事情
[00:02:09.200 --> 00:02:11.900]  最明顯的大家一定會記得
[00:02:11.900 --> 00:02:15.600]  在二十世紀裡面的兩次世界大戰
[00:02:15.600 --> 00:02:17.600]  兩次的大戰
[00:02:17.600 --> 00:02:19.600]  一些統計發現
[00:02:19.600 --> 00:02:23.300]  最少有六千萬人在當中死亡
[00:02:24.500 --> 00:02:27.400]  你可以想一想香港有七百萬人人口
[00:02:27.400 --> 00:02:31.700]  差不多是十倍香港人口的數目的人
[00:02:31.700 --> 00:02:34.300]  是在兩次戰爭當中死亡
[00:02:34.300 --> 00:02:36.700]  不單只是兩次的戰爭
[00:02:36.700 --> 00:02:37.700]  其實在後期
[00:02:37.700 --> 00:02:41.500]  1973年就在蘇聯裡面的地方
